time,rssi
-580351062,-74
-580349766,-82
-580348667,-81
-580347565,-80
-580346455,-79
-580345352,-67
-580344245,-66
-580343142,-67
-580342035,-69
-580340935,-69
-580339818,-69
-580338725,-69
-580337614,-69
-580336508,-74
-580335400,-76
-580334285,-89
-580333184,-85
-580332077,-80
-580330975,-82
-580329869,-92
-580328757,-88
-580327647,-83
-580326538,-86
-580325432,-84
-580324325,-98
-580323227,-82
-580322122,-84
-580321016,-84
-580319901,-91
-580318806,-93
-580317697,-87
-580316590,-80
-580315482,-86
-580314370,-85
-580313263,-90
-580312156,-94
-580311056,-93
-580309951,-86
-580308846,-81
-580307738,-81
-580306636,-80
-580305531,-90
-580304416,-92
-580303317,-85
-580302212,-93
-580301111,-95
-580299999,-90
-580298890,-80
-580297787,-71
-580296679,-78
-580295576,-86
-580294472,-80
-580293360,-92
-580292255,-84
-580291147,-82
-580290045,-90
-580288942,-94
-580287828,-88
-580286726,-86
-580285621,-92
-580284516,-94
-580283401,-97
-580282303,-94
-580281199,-92
-580280094,-97
-580278982,-102
-580277878,-85
-580276775,-87
-580275669,-95
-580274563,-92
-580273456,-84
-580272353,-82
-580271252,-81
-580270138,-81
-580269036,-80
-580267930,-85
-580266817,-85
-580265701,-86
-580264603,-80
-580263501,-86
-580262391,-87
-580261287,-83
-580260174,-80
-580259069,-83
-580257961,-91
-580256852,-86
-580255746,-87
-580254639,-91
-580253538,-92
-580252427,-90
-580251321,-86
-580250219,-86
-580249103,-88
-580248012,-84
-580246908,-82
-580245797,-87
-580244692,-83
-580243592,-83
-580242491,-83
-580241383,-94
-580240286,-84
-580239171,-82
-580238065,-82
-580236959,-78
-580235852,-78
-580234743,-76
-580233634,-80
-580232531,-88
-580231423,-82
-580230315,-83
-580229212,-94
-580228101,-89
-580226994,-78
-580225895,-87
-580224783,-96
-580223683,-88
-580222578,-85
-580221475,-87
-580220365,-78
-580219263,-84
-580218161,-81
-580217051,-82
-580215945,-83
-580214841,-88
-580213732,-90
-580212621,-85
-580211517,-80
-580210411,-80
-580209304,-80
-580208198,-80
-580207089,-83
-580205979,-87
-580204878,-88
-580203773,-87
-580202669,-87
-580200459,-86
-580199350,-85
-580198240,-85
-580197133,-88
-580196031,-84
-580194922,-83
-580193820,-81
-580192716,-84
-580191610,-84
-580190505,-93
-580189393,-76
-580188292,-88
-580187193,-86
-580186085,-87
-580184980,-91
-580183870,-78
-580182773,-95
-580181670,-86
-580180554,-91
-580179453,-94
-580178351,-89
-580177252,-79
-580176142,-94
-580175037,-98
-580173922,-98
-580172819,-94
-580171720,-90
-580169497,-94
-580168387,-85
-580167279,-98
-580166176,-91
-580163974,-92
-580162866,-87
-580161753,-82
-580160656,-85
-580159549,-89
-580158439,-93
-580157335,-91
-580156227,-94
-580155114,-92
-580154016,-92
-580152905,-100
-580151799,-94
-580150698,-92
-580149593,-93
-580148489,-96
-580147385,-92
-580146281,-88
-580145177,-97
-580144067,-97
-580142957,-98
-580141859,-92
-580140755,-92
-580139651,-93
-580138545,-92
-580137436,-90
-580136334,-85
-580135227,-91
-580134126,-90
-580133022,-92
-580131912,-93
-580130807,-89
-580129702,-92
-580128598,-96
-580127493,-97
-580126385,-82
-580125283,-79
-580124179,-84
-580123071,-93
-580121967,-76
-580120861,-85
-580119760,-82
-580118655,-87
-580117547,-81
-580116440,-87
-580115330,-88
-580114219,-89
-580113120,-78
-580112009,-80
-580110910,-78
-580109803,-80
-580108699,-89
-580107593,-86
-580106483,-96
-580105383,-100
-580104271,-87
-580103164,-91
-580102056,-87
-580100955,-82
-580099849,-88
-580098742,-87
-580097635,-91
-580096539,-82
-580095427,-80
-580094316,-80
-580093220,-84
-580092114,-89
-580091014,-87
-580089905,-82
-580088802,-82
-580087701,-82
-580086591,-96
-580085488,-81
-580084383,-80
-580083276,-86
-580082167,-85
-580081061,-86
-580079954,-83
-580078842,-68
-580077736,-89
-580076642,-64
-580075540,-62
-580074436,-70
-580073330,-79
-580072223,-77
-580071121,-75
-580070020,-73
-580068909,-76
-580067809,-76
-580066695,-76
-580065597,-73
-580064492,-71
-580063387,-58
-580062276,-48
-580061171,-52
-580060066,-63
-580058950,-63
-580057837,-67
-580056740,-73
-580055636,-65
-580054529,-58
-580053423,-57
-580052311,-42
-580051212,-51
-580050844,-51
-580049592,-52
-580048491,-52
-580047386,-61
-580046285,-51
-580045180,-47
-580044075,-58
-580042975,-53
-580041873,-53
-580040761,-57
-580039659,-59
-580038554,-56
-580037448,-57
-580036339,-57
-580035236,-54
-580034128,-51
-580033030,-51
-580031918,-49
-580030812,-51
-580029707,-57
-580028604,-53
-580027495,-54
-580026396,-44
-580025293,-43
-580024189,-62
-580023079,-68
-580021980,-68
-580020873,-71
-580019770,-74
-580018660,-74
-580017554,-76
-580016452,-76
-580015344,-72
-580014236,-64
-580013129,-72
-580012027,-73
-580010925,-83
-580009817,-78
-580008711,-80
