time,bpm
1687344051712,81.0
1687344053915,80.0
1687344059118,81.0
1687344064114,80.0
1687344066717,81.0
1687344069309,82.0
1687344070516,85.0
1687344074510,88.0
1687344075715,89.0
1687344078305,88.0
1687344079512,86.0
1687344085909,88.0
1687344089717,87.0
1687344092311,86.0
1687344098712,85.0
1687344100103,86.0
1687344102514,85.0
1687344103903,87.0
1687344106500,92.0
1687344107711,96.0
1687344108912,97.0
1687344110303,96.0
1687344111505,95.0
1687344112897,94.0
1687344114104,95.0
1687344115305,96.0
1687344116703,97.0
1687344117902,100.0
1687344119295,101.0
1687344120502,100.0
1687344124300,101.0
1687344126901,100.0
1687344128098,93.0
1687344129498,89.0
1687344130710,88.0
1687344132093,89.0
1687344133297,90.0
1687344134496,93.0
1687344135899,95.0
1687344137094,97.0
1687344143493,98.0
1687344144893,99.0
1687344146095,98.0
1687344148701,99.0
1687344151294,100.0
1687344152491,99.0
1687344153699,95.0
1687344155094,96.0
1687344156288,95.0
1687344158889,94.0
1687344160090,93.0
1687344161491,92.0
1687344162691,91.0
1687344164094,92.0
1687344165288,93.0
1687344169087,92.0
1687344172892,90.0
1687344174284,92.0
1687344175485,91.0
1687344176886,89.0
1687344179294,88.0
1687344180687,86.0
1687344183282,85.0
1687344193477,87.0
1687344194688,88.0
1687344196077,85.0
1687344197278,84.0
1687344199875,85.0
1687344202476,84.0
1687344203685,85.0
1687344204881,88.0
1687344206276,90.0
1687344208874,91.0
1687344210080,88.0
1687344211277,87.0
1687344213881,86.0
1687344215273,88.0
1687344217684,87.0
1687344219071,89.0
1687344220277,91.0
1687344221675,92.0
1687344222878,95.0
1687344224073,97.0
1687344225472,99.0
1687344226679,100.0
1687344231874,101.0
1687344233068,99.0
1687344234469,98.0
1687344235679,95.0
1687344236871,90.0
1687344238274,89.0
1687344239468,94.0
1687344240870,97.0
1687344242067,100.0
1687344244676,101.0
1687344245868,99.0
1687344247264,98.0
1687344248465,96.0
1687344249673,95.0
1687344251069,97.0
1687344252267,94.0
1687344253667,97.0
1687344256064,91.0
1687344257464,92.0
1687344261265,97.0
1687344262466,96.0
1687344263863,94.0
1687344267665,93.0
1687344268863,94.0
1687344270258,92.0
1687344271470,89.0
1687344275267,87.0
1687344277862,88.0
1687344279255,86.0
1687344280459,87.0
1687344283054,88.0
1687344284259,91.0
1687344285659,92.0
1687344286857,93.0
1687344288061,95.0
1687344290667,96.0
1687344293263,95.0
1687344294459,96.0
1687344295851,98.0
1687344297055,97.0
1687344298450,98.0
1687344300854,97.0
1687344303452,95.0
1687344304848,92.0
1687344306053,94.0
1687344307252,95.0
1687344308656,94.0
1687344309847,93.0
1687344311245,92.0
1687344312451,93.0
1687344316248,92.0
1687344318850,95.0
1687344320046,93.0
1687344321449,95.0
1687344322649,98.0
1687344324044,97.0
1687344325242,98.0
1687344326446,101.0
1687344327844,97.0
1687344329042,100.0
1687344330444,106.0
1687344331644,102.0
1687344332842,100.0
1687344334164,99.0
1687344335559,100.0
1687344336769,104.0
1687344337959,106.0
1687344339365,108.0
1687344340562,111.0
1687344341955,109.0
1687344343159,105.0
1687344344358,96.0
1687344345766,91.0
1687344346953,92.0
1687344349558,89.0
1687344350762,90.0
1687344352155,92.0
1687344353351,93.0
1687344355953,94.0
1687344358563,91.0
1687344359756,89.0
1687344361156,91.0
1687344362351,90.0
1687344363556,92.0
1687344364950,93.0
1687344367551,95.0
1687344368756,94.0
1687344369951,90.0
1687344371347,89.0
1687344372548,90.0
1687344373947,88.0
1687344376353,87.0
1687344378945,88.0
1687344380344,87.0
1687344381542,84.0
1687344382753,85.0
1687344384141,84.0
1687344386745,86.0
1687344387948,85.0
1687344390540,86.0
