time,content
2023-06-21T18:40:30.773Z,一回目
2023-06-21T18:40:39.705Z,袋から取り出す
2023-06-21T18:40:59.581Z,テントを広げる
2023-06-21T18:41:02.409Z,足を伸ばす
2023-06-21T18:41:19.582Z,ポールを持ち上げる
2023-06-21T18:41:29.691Z,袋を被せる
2023-06-21T18:41:59.602Z,フックに引っ掛ける
2023-06-21T18:42:29.602Z,中の紐を結ぶ
,
2023-06-21T18:45:05.289Z,BLEの取り付け
2023-06-21T18:45:45.288Z,一回目
2023-06-21T19:03:16.519Z,二回目
2023-06-21T19:03:26.491Z,袋から取り出す
2023-06-21T19:04:26.515Z,ポールを持ち上げる
2023-06-21T19:04:56.513Z,袋を被せる
2023-06-21T19:05:26.513Z,フックに引っ掛ける
2023-06-21T19:06:06.518Z,中の紐を結ぶ
,
2023-06-21T19:07:56.509Z,BLEの取り付け
2023-06-21T19:08:26.532Z,二回目
2023-06-21T19:20:34.771Z,三回目
2023-06-21T19:20:44.730Z,袋から取り出す
2023-06-21T19:21:34.737Z,ポールを持ち上げる
2023-06-21T19:21:54.749Z,袋を被せる
2023-06-21T19:22:54.750Z,フックに引っ掛ける
2023-06-21T19:23:34.739Z,中の紐を結ぶ
2023-06-21T19:26:04.778Z,BLEの取り付け
2023-06-21T19:26:44.751Z,三回目
2023-06-21T19:40:44.797Z,四回目
2023-06-21T19:40:54.711Z,袋から取り出す
2023-06-21T19:41:44.737Z,ポールを持ち上げる
2023-06-21T19:42:04.750Z,袋を被せる
2023-06-21T19:42:34.747Z,フックに引っ掛ける
2023-06-21T19:43:34.746Z,中の紐を結ぶ
2023-06-21T19:45:34.751Z,BLEの取り付け
2023-06-21T19:46:24.751Z,四回目
