time,rssi
1056651358,-60
1056652470,-57
1056653584,-53
1056654703,-57
1056655817,-56
1056656931,-55
1056658041,-55
1056659156,-55
1056660268,-55
1056661385,-62
1056662502,-55
1056663620,-58
1056664736,-58
1056665855,-58
1056666976,-60
1056668088,-60
1056669205,-60
1056670323,-63
1056671431,-70
1056672545,-63
1056673657,-73
1056674769,-69
1056675881,-75
1056676982,-66
1056678097,-64
1056679198,-68
1056680320,-66
1056681425,-71
1056682538,-73
1056683645,-67
1056684750,-70
1056685862,-66
1056686978,-67
1056688080,-66
1056689195,-78
1056690300,-80
1056691412,-79
1056692510,-72
1056693627,-83
1056694743,-69
1056695859,-70
1056696967,-76
1056698077,-80
1056699187,-72
1056700305,-84
1056701415,-76
1056702530,-76
1056703643,-74
1056704752,-71
1056705869,-71
1056706979,-75
1056708079,127
1056709194,-70
1056710305,-78
1056711413,-78
1056712527,-67
1056713641,-67
1056714753,-68
1056715866,-69
1056716978,-70
1056718090,-71
1056719197,-71
1056720306,-82
1056721417,-80
1056722526,-65
1056723637,-64
1056724749,-69
1056725859,-69
1056726971,-60
1056728080,-75
1056729192,-78
1056730301,-74
1056731414,-87
1056732529,-71
1056733631,-80
1056734743,-86
1056735845,-75
1056736957,-74
1056738061,-76
1056739167,-79
1056740280,-69
1056741391,-73
1056742503,-72
1056743607,-76
1056744712,-75
1056745823,-76
1056746933,-73
1056748039,-68
1056749154,-65
1056750254,-65
1056751363,-66
1056752475,-68
1056753580,-68
1056754684,-75
1056755791,-69
1056756900,-75
1056758014,-66
1056759123,-71
1056760231,-70
1056761343,-68
1056762452,-75
1056763560,-68
1056764668,-76
1056765779,-68
1056766888,-66
1056767996,-67
1056769108,-65
1056770213,-68
1056771321,-69
1056772432,-75
1056773542,-68
1056774646,-75
1056775759,-66
1056776865,-70
1056777973,-66
1056779085,-69
1056780189,-75
1056781295,-71
1056782399,-74
1056783513,-69
1056784620,-67
1056785730,-69
1056786837,-67
1056787947,-76
1056789047,-70
1056790152,-79
1056791264,-73
1056792370,-77
1056793477,-77
1056794584,-66
1056795695,-76
1056796806,-71
1056797909,-80
1056799011,-77
1056800119,-70
1056801222,-78
1056802332,-77
1056803441,-74
1056804551,-73
1056805661,-78
1056806766,-76
1056807870,-69
1056808974,-76
1056810078,-70
1056811182,-69
1056812287,-68
1056813399,-74
1056814500,-67
1056815609,-75
1056816708,-75
1056817816,-77
1056818930,-77
1056820034,-76
1056821143,-73
1056822253,-73
1056823361,-73
1056824465,-70
1056825573,-76
1056826679,-71
1056827787,-76
1056828899,-73
1056830005,-73
1056831109,-67
1056832218,-67
1056833327,-77
1056834430,127
1056835544,-74
1056836652,-72
1056837762,-76
1056838864,-73
1056839974,-73
1056841082,-73
1056842191,-70
1056843295,-78
1056844404,-70
1056845512,-77
1056846621,-70
1056847730,-72
1056848843,-72
1056849953,-72
1056851050,-76
1056852164,-74
1056853271,-77
1056854376,-76
1056855480,-76
1056856590,-75
1056857698,-68
1056858806,-67
1056859920,-70
1056861021,-75
1056862137,-76
1056863241,-71
1056864345,-70
1056865456,-73
1056866563,-72
1056867675,-72
1056868784,-78
1056869893,-75
1056871002,-71
1056872111,-70
1056873221,-79
1056874324,-79
1056875434,-69
1056876543,-72
1056877654,-75
1056878761,-73
1056879871,-70
1056880972,-77
1056882078,-77
1056883188,-81
1056884296,-77
1056885403,-72
1056886512,-72
1056887623,-77
1056888730,-73
1056889838,-81
1056890939,-76
1056892050,-83
1056893152,-88
1056894260,-74
1056895360,-96
1056896471,-78
1056897573,-84
1056898683,-88
1056899784,-77
1056900893,-78
1056902008,-83
1056903117,-86
1056904216,-76
1056905330,-85
1056906438,-85
1056907547,-77
1056908648,-78
1056909756,-81
1056910859,-76
1056911967,-70
1056913073,-67
1056914182,-69
1056915290,-69
1056916402,-71
1056917511,127
1056918622,-72
1056919732,-75
1056920844,-68
1056921950,-72
1056923058,-79
1056924164,-72
1056925276,-76
1056926387,-69
1056927496,-71
1056928604,-68
1056929709,-77
1056930809,-71
1056931919,-75
1056933027,-79
1056934139,-83
1056935246,-75
1056936354,-81
1056937463,-70
1056938574,-79
1056939683,-70
1056940791,-69
1056941899,-74
1056943009,-68
1056944117,-82
1056945224,-78
1056946333,-86
1056947438,-64
1056948545,-63
1056949653,-61
1056950255,-64
1056951775,-82
1056952877,-64
1056953979,-62
1056955081,-66
1056956184,-66
1056957294,-65
1056958394,-69
1056959501,-65
1056960604,-66
1056961714,-65
1056962821,-60
1056963927,-63
1056965036,-62
1056966146,-74
1056967253,-69
1056968363,-67
1056969474,-65
1056970583,-81
1056971690,-68
1056972791,-68
1056973900,-74
1056975006,-70
1056976112,-77
1056977222,-73
1056978330,-70
1056979437,-72
1056980539,-70
1056981652,-70
1056982755,-77
1056983860,-70
1056984963,-78
1056986070,-81
1056987175,-80
1056988281,-80
1056989384,-72
1056990489,-72
1056991594,-72
1056992699,-68
1056993805,-69
1056994907,-70
1056996016,-64
1056997127,-67
1056998227,-66
1057000436,-69
1057001538,-77
1057002643,-76
1057003748,-80
1057004859,-67
1057005969,-66
1057007072,-76
1057008173,-81
1057009275,-69
1057010379,-76
1057011488,-70
1057012593,-80
1057013703,-79
1057014808,-76
1057015909,-76
1057017012,-82
1057018116,-76
1057019218,-79
1057020323,-67
1057021425,-77
1057022536,-79
1057023638,-75
1057024741,-72
1057025845,-71
1057026951,-73
1057028054,-74
1057029159,-75
1057030263,-76
1057031370,-77
1057032474,-75
1057033586,-78
1057034686,-80
1057035788,-80
1057036893,-71
1057037998,-76
1057039102,-75
1057040209,-69
1057041311,-70
1057042414,-68
1057043517,-70
1057044618,-71
1057045721,-76
1057046825,-69
1057047929,-65
1057049033,-69
1057050136,-66
1057051241,-59
1057052345,-61
1057053448,-68
1057054552,-76
1057055654,-70
1057056755,-70
1057057858,-69
1057058963,-80
1057060069,-65
1057061169,-77
1057062272,-69
1057063375,-69
1057064476,-68
1057065577,-84
1057066679,-67
1057067789,-65
1057068893,-65
1057069995,-83
1057071096,-69
1057072197,-69
1057073299,-69
1057074401,-73
1057075502,-69
1057076604,-72
1057077705,-71
1057078807,-66
1057079909,-69
1057081014,-77
1057082116,-72
1057083217,-73
1057084320,-70
1057085422,-68
1057086523,-75
1057087626,-70
1057088729,-72
1057089830,-77
1057090932,-82
1057092034,-71
1057093137,-78
1057094238,-73
1057095340,-75
1057096442,-76
1057097543,-79
1057098645,-77
1057099745,-77
1057100848,-70
1057101950,-76
1057103051,-72
1057104156,-84
1057105256,-68
1057106358,-75
1057107460,-70
1057108561,-75
1057109665,-67
1057110765,-79
1057111867,-73
1057112968,-72
1057114070,-69
1057115172,-75
1057116274,-70
1057117375,-74
1057118476,-85
1057119578,-74
1057120679,-77
1057121782,-71
1057122883,-72
1057123985,-73
1057125088,-76
1057126189,-76
1057127291,-73
1057128392,-72
1057129494,-74
1057130596,-72
1057131698,-72
1057132800,-71
1057133901,-73
1057135002,-75
1057136103,-75
1057137205,-72
1057138309,-73
1057139410,-71
1057140511,-70
1057141614,-71
1057142715,-73
1057143816,-75
1057144917,-73
1057146017,-75
1057147119,-74
1057148224,-71
1057149327,-71
1057150428,-72
1057151529,-73
1057152630,-75
1057153732,-73
1057154833,-75
1057155934,-74
1057157035,-73
1057158138,-71
1057159242,-71
1057160343,-73
1057161444,-73
1057162545,-73
1057163646,-73
1057164747,-73
1057165848,-73
1057166948,-71
1057168051,-72
1057169151,-72
1057170252,-74
1057171354,-74
1057172455,-76
1057173558,-75
1057174658,-75
1057175762,-71
1057176865,-71
1057177965,-71
1057179065,-75
1057180169,-74
1057181270,-74
1057182371,-73
1057183472,-67
1057184572,-69
1057186779,-71
1057188082,-73
1057189183,-74
1057190284,-72
1057191385,-78
1057192487,-81
1057193590,-69
1057194689,-76
1057196954,-70
1057198267,-69
1057199370,-72
1057200470,-72
1057201573,-74
1057202674,-72
1057203776,-74
1057206081,-68
1057207482,-68
1057208653,-71
1057209862,-72
1057211048,-67
1057212261,-69
1057213829,-72
1057215210,-72
1057216636,-67
1057218068,-67
1057219442,-71
1057220833,-70
1057222225,-70
1057223640,-73
1057225019,-70
1057226252,-75
1057227354,-74
1057228455,-70
1057230766,-71
1057232313,-69
1057233540,-72
1057234642,-74
1057236982,-71
1057238481,-71
1057239699,-71
