time,rssi
1056651403,-61
1056652488,-62
1056653612,-65
1056654733,-63
1056655842,-74
1056656949,-74
1056658073,-72
1056659180,-61
1056660288,-62
1056661422,-58
1056662533,-68
1056663642,-64
1056664763,-67
1056665893,-70
1056667014,-66
1056668117,-65
1056669231,-66
1056670353,-69
1056671460,-73
1056672574,-63
1056673682,-65
1056674788,-78
1056676987,-68
1056678119,-70
1056679206,-71
1056680351,-72
1056681441,-72
1056682573,-69
1056683659,-64
1056684763,-76
1056685886,-76
1056687023,-63
1056688092,-65
1056689236,-67
1056690329,-68
1056691451,-78
1056694781,-83
1056695904,-67
1056697000,-67
1056698122,-71
1056699213,-80
1056700346,-71
1056701457,-68
1056702575,-86
1056703692,-66
1056704787,-65
1056705917,-65
1056707027,-69
1056709240,-67
1056710348,-68
1056711458,-69
1056712571,-66
1056713682,-66
1056714792,-76
1056715922,-68
1056717029,-73
1056718143,-75
1056719248,-66
1056720352,-74
1056721460,-68
1056722577,-74
1056723685,-70
1056724803,-57
1056725905,-59
1056727020,-73
1056728129,-70
1056730357,-85
1056731462,-85
1056732583,-89
1056733649,-84
1056734784,-87
1056740326,-83
1056741442,-87
1056742556,-88
1056746994,-89
1056749211,-92
1056750279,-84
1056751420,-85
1056753631,-87
1056754699,-86
1056755832,-88
1056756958,-87
1056758070,-97
1056759165,-84
1056760283,-84
1056761406,-87
1056764734,-87
1056765827,-87
1056766933,-84
1056768042,-84
1056769160,-84
1056770275,-83
1056771373,-87
1056774683,-87
1056775815,-94
1056776915,-93
1056777990,-83
1056779154,-87
1056782452,-87
1056783576,-86
1056784684,-86
1056785791,-89
1056786889,-85
1056787987,-87
1056789053,-88
1056794614,-89
1056795744,-87
1056796843,-87
1056800173,-89
1056803493,-90
1056804609,-88
1056805722,-86
1056811244,-92
1056812330,-89
1056813449,-88
1056814525,-88
1056821207,-88
1056822311,-87
1056823420,-88
1056824533,-88
1056830080,-90
1056831170,-87
1056832270,-88
1056833379,-88
1056838894,-88
1056840040,-88
1056841141,-87
1056842261,-88
1056847792,-87
1056848925,-90
1056850021,-90
1056851058,-89
1056857770,-88
1056858878,-88
1056859992,-88
1056866622,-87
1056867744,-87
1056868858,-88
1056875483,-92
1056876609,-89
1056877726,-79
1056878820,-79
1056879953,-73
1056881004,-61
1056882107,-65
1056883253,-66
1056884371,-73
1056885452,-75
1056886582,-74
1056887710,-78
1056888795,-73
1056889916,-70
1056890974,-72
1056892118,-74
1056893187,-68
1056894329,-78
1056895392,-73
1056896552,-73
1056897591,-83
1056898764,-70
1056899802,-80
1056900966,-77
1056902088,-66
1056903186,-66
1056904248,-65
1056905407,-71
1056906482,-85
1056907619,-82
1056908680,-69
1056909836,-69
1056910896,-70
1056912032,-71
1056913133,-67
1056914261,-68
1056915376,-69
1056916478,-66
1056917581,-68
1056918702,-67
1056919809,-65
1056920928,-68
1056922012,-68
1056923143,-72
1056925350,-72
1056926479,-67
1056927582,-72
1056928685,-68
1056929748,-64
1056930818,-71
1056931991,-70
1056933066,-78
1056934218,-74
1056935334,-77
1056936424,-71
1056938658,-73
1056939758,-73
1056940872,-71
1056941988,-71
1056943107,-71
1056944211,-68
1056945302,-70
1056946423,-62
1056947517,-49
1056948613,-59
1056949696,-73
1056950266,-68
1056951845,-61
1056952955,-72
1056954008,-63
1056955122,-63
1056956215,-67
1056957373,-60
1056958432,-63
1056959573,-61
1056960645,-71
1056961787,-71
1056962905,-54
1056964011,-57
1056965112,-63
1056966235,-78
1056967318,-80
1056968446,-87
1056969547,-80
1056970655,-86
1056971772,-79
1056972802,-85
1056975048,-83
1056976177,-83
1056977301,-84
1056978409,-84
1056979516,-83
1056980584,-84
1056981740,-84
1056982783,-88
1056983931,-84
1056985007,-84
1056986148,-95
1056987254,-97
1056988350,-84
1056992771,-85
1056993881,-86
1056994950,-91
1056996106,-88
1056997196,-89
1056998272,-90
1057004943,-90
1057006038,-91
1057007142,-91
1057013787,-92
1057014879,-90
1057015953,-92
1057020400,-84
1057021453,-83
1057022622,-80
1057023713,-84
1057024786,-84
1057025914,-93
1057030311,-87
1057031441,-87
1057032521,-87
1057033655,-91
1057039177,-86
1057040290,-86
1057041355,-89
1057042460,-90
1057043564,-85
1057044662,-83
1057045768,-70
1057046873,-71
1057047998,-68
1057049095,-69
1057050182,-75
1057051310,-54
1057052378,-56
1057053496,-62
1057054589,127
1057056765,-79
1057059024,-76
1057060138,-75
1057061184,127
1057062288,-80
1057063421,-81
1057064491,-77
1057067886,-76
1057068937,-76
1057070007,-81
1057071122,-79
1057072210,-79
1057073314,-82
1057074447,-81
1057075514,-79
1057076616,-84
1057077721,-90
1057078823,-94
1057084374,-90
1057085434,-87
1057086539,-80
1057087641,-84
1057088746,-86
1057093188,-84
1057094254,-81
1057095355,-81
1057096458,-81
1057097558,-84
1057100870,-84
1057104203,-86
1057105274,-88
1057106374,-83
1057112982,-88
1057114086,-89
1057115194,-91
1057121798,-95
1057122900,-93
1057124007,-95
1057131715,-93
1057132813,-94
1057140528,-94
1057148242,-96
1057149351,-92
1057150442,-92
1057151542,-92
1057158156,-93
1057159297,-93
1057160352,-92
1057166957,-93
1057168079,-93
1057169160,-94
1057176903,-93
1057177984,-97
1057180209,-93
1057183490,-87
1057184581,-90
1057186866,-84
1057193636,-87
1057194708,-89
1057197074,-89
1057202701,-92
1057203796,-91
1057206184,-95
1057207492,-95
1057208664,-85
1057209873,-89
1057211058,-93
1057212270,-92
1057213842,-89
1057215220,-89
1057216647,-91
1057218079,-87
1057219464,-86
1057220849,-93
1057222241,-90
1057223655,-92
1057228464,-93
1057230875,-89
1057234658,-82
1057237078,-92
1057239709,-85
1057240985,-93
1057245858,-89
1057248339,-92
1057249970,-93
1057251479,-86
1057254289,-85
1057255814,-85
1057257355,-85
1057258848,-83
1057260382,-83
1057261913,-83
1057263409,-89
1057264932,-84
1057266468,-89
1057267975,-93
1057269502,-90
1057271038,-94
1057272568,-93
1057274193,-83
1057275786,-87
1057281212,-94
1057282652,-89
1057284339,-93
1057286000,-87
1057290397,-86
1057291870,-92
1057293529,-83
1057295221,-88
1057299763,-88
1057301295,-87
1057303039,-87
1057308030,-87
1057309809,-87
1057311767,-88
1057318364,-88
1057320095,-87
1057323723,-89
1057325519,-89
1057327537,-85
1057329603,-85
1057333533,-88
1057335362,-85
1057337512,-87
1057339580,-87
1057344829,-87
1057346723,-87
1057348865,-87
1057351010,-89
1057354943,-87
1057356772,-87
1057362492,-88
1057364436,-88
1057366658,-88
1057372374,-87
1057374392,-87
1057380461,-89
1057382491,-89
1057384803,-88
1057390671,-89
1057392649,-87
1057398842,-89
1057400911,-87
1057403287,-87
1057407791,-87
1057409849,-86
1057412261,-87
1057416854,-86
1057418992,-87
1057421406,-86
1057426050,-87
1057428230,-87
1057432701,-89
1057434762,-87
1057437274,-85
1057439787,-86
1057444492,-86
1057446705,-87
1057449218,-89
1057451830,-89
1057454341,-87
1057456986,-88
1057459585,-89
1057462227,-87
1057464879,-87
1057471914,-88
1057474257,-87
1057481302,-95
1057483678,-88
1057488937,-87
1057491482,-95
1057494403,-88
1057499945,-87
1057502492,-90
1057505536,-90
1057508517,-98
1057511550,-82
1057514521,-84
1057517575,-89
1057520659,-86
1057523603,-84
1057526790,-82
1057529823,-85
1057533054,-85
1057536171,-84
1057539297,-86
1057545122,-92
1057547856,-89
1057553778,-87
1057557166,-93
1057559742,-92
1057562494,-93
1057565110,-93
1057568482,-93
1057571853,-95
1057575275,-86
1057578655,-93
1057582148,-89
1057585530,-88
1057588946,-93
1057595311,-87
1057598248,-92
1057604679,-90
1057607697,-89
1057614271,-93
1057617364,-90
1057624055,-93
1057630215,-90
1057633287,-92
1057636946,-89
1057640557,-89
1057644176,-91
1057651002,-88
1057654203,-93
1057657919,-87
1057661602,-95
1057668562,-85
1057671765,-85
1057678714,-96
1057685136,-97
1057688629,-89
1057695911,-89
1057699449,-88
1057703425,-90
1057707609,-83
1057711697,-85
1057716000,-92
1057723511,-81
1057730469,-82
1057734036,-87
1057738296,-81
1057742510,-91
1057746641,-88
1057750875,-89
1057755037,-89
1057759295,-88
1057763369,-91
1057767562,-84
1057771692,-87
1057776628,-89
1057781200,-90
1057785558,-95
1057790393,-85
1057794989,-88
1057799369,-83
1057803997,-87
1057808721,-88
1057813025,-86
1057817824,-87
1057822712,-87
1057827050,-84
1057831807,-83
1057836636,-87
1057841058,-89
1057845822,-87
1057850631,-92
1057854977,-85
1057860999,-86
1057866703,-84
1057872716,-87
1057878085,-91
1057883478,-84
1057889195,-84
1057894803,-83
1057900392,-82
1057906036,-87
1057910337,-86
1057913761,-88
1057917341,-90
1057921798,-86
1057926469,-90
1057931009,-93
1057941054,-88
1057945177,-91
1057950670,-89
1057956146,-86
1057961929,-90
1057966844,-86
1057977154,-89
1057981607,-85
1057987253,-90
1057993217,-88
1057998838,-89
1058004042,-90
1058009853,-86
1058015694,-87
1058021515,-93
1058027050,-88
1058032105,-92
1058037720,-93
1058043359,-89
1058049228,-85
1058055167,-87
1058061226,-92
1058066549,-93
1058072709,-87
1058079284,-92
1058085626,-93
1058092167,-91
1058098156,-91
1058103905,-86
1058110338,-84
1058116602,-93
1058122283,-99
1058134154,-88
1058139658,-94
1058146008,-93
1058152514,-93
1058158940,-93
1058165361,-94
1058173011,-86
1058180700,-93
1058187495,-95
1058198765,-89
1058204078,-95
1058210739,-90
1058217272,-93
1058224109,-94
1058231423,-94
1058238486,-87
1058245600,-93
1058252663,-93
1058260108,-94
1058267666,-88
1058274469,-93
1058282116,-94
1058289844,-90
1058297709,-96
1058305607,-87
1058311938,-95
1058319071,-89
1058326760,-88
1058334423,-95
1058341851,-87
1058349537,-95
1058357184,-92
1058364757,-87
1058372394,-97
1058380135,-96
1058387916,-91
1058395396,-93
1058403293,-94
1058411135,-97
1058419365,-83
1058427407,-91
1058435868,-91
1058444676,-87
1058451556,-84
1058458828,-85
1058466775,-88
1058483171,-79
1058491309,-72
1058498884,-82
1058505087,-71
1058511438,-80
1058519615,-79
1058527689,-71
1058536228,-74
1058544519,-77
1058552859,-75
1058560920,-79
1058569844,-76
1058578685,-77
1058587135,-80
1058595585,-74
1058604387,-79
1058613192,-73
1058622107,-72
1058630386,-71
1058638584,-73
1058647165,-73
1058655762,-83
1058664576,-79
1058673090,-85
1058682093,-75
1058691332,-73
1058699485,-73
