time,rssi
1061889477,-55
1061890715,-69
1061891807,-69
1061892911,-68
1061894035,-81
1061895149,-65
1061896261,-69
1061897368,-69
1061898486,-69
1061899605,-66
1061900728,-71
1061901830,-72
1061902947,-66
1061904064,-67
1061905158,-66
1061906271,-66
1061907387,-66
1061908493,-66
1061909615,-66
1061910724,-72
1061911836,-68
1061912951,-71
1061914058,-69
1061915165,-72
1061916289,-65
1061917397,-69
1061918515,-68
1061919624,-67
1061920734,-68
1061921834,-72
1061922957,-67
1061924064,-68
1061925180,-67
1061926298,-67
1061927403,-65
1061928517,-72
1061929627,-67
1061930740,-67
1061931849,-71
1061932962,-72
1061934074,-64
1061935187,-68
1061936297,-64
1061937408,-67
1061938518,-67
1061939627,-70
1061940737,-69
1061941848,-71
1061942963,-67
1061944060,-65
1061945185,-67
1061946287,-72
1061947396,-71
1061948510,-69
1061949606,-67
1061950726,-69
1061951823,-70
1061952926,-67
1061954045,-67
1061955153,-69
1061956249,-72
1061957364,-67
1061958468,-67
1061959573,-67
1061960687,-72
1061961787,-65
1061962905,-65
1061964004,-69
1061965117,-67
1061966224,-67
1061967337,-72
1061968438,-69
1061969552,-69
1061970665,-68
1061971780,-67
1061972888,-65
1061973987,-69
1061975103,-67
1061976210,-69
1061977322,-67
1061978432,-67
1061979535,-64
1061980648,-67
1061981762,-66
1061982866,-67
1061983980,-69
1061985095,-67
1061986202,-67
1061987316,-66
1061988430,-69
1061989539,-70
1061990656,-72
1061991763,-76
1061992872,127
1061993982,-81
1061995092,-80
1061996201,-75
1061997310,-77
1061998424,-78
1061999528,-73
1062000639,-75
1062001741,-70
1062002852,-77
1062003953,-76
1062005066,-75
1062006175,-76
1062007287,-71
1062008394,-76
1062009505,-78
1062010606,-74
1062011722,-76
1062012817,-71
1062013933,-78
1062015042,-70
1062016153,-71
1062017267,-69
1062018376,-81
1062019484,-82
1062020593,-75
1062021693,-80
1062022803,-75
1062023916,-75
1062025032,-70
1062026137,-72
1062027246,-76
1062028356,-75
1062029451,-76
1062030567,-76
1062031671,-76
1062032783,-76
1062033899,-73
1062035011,-71
1062036120,-75
1062037228,-76
1062038339,-75
1062039447,-75
1062041665,-76
1062042774,-73
1062043883,-74
1062044983,-76
1062046085,-76
1062047200,-77
1062048312,-75
1062049420,-77
1062050524,-76
1062051641,-74
1062052748,-73
1062053857,-74
1062054964,-75
1062056074,-75
1062057184,-76
1062058295,-77
1062059406,-75
1062060514,-73
1062061626,-73
1062062733,-75
1062063842,-77
1062064948,-77
1062066058,-77
1062067165,-77
1062068277,-77
1062069380,-74
1062070493,-75
1062071603,-74
1062072704,-77
1062073805,-75
1062074918,-77
1062076017,-77
1062077131,-74
1062078230,-75
1062079343,-72
1062080445,-74
1062081558,-75
1062082660,-77
1062083768,-78
1062084879,-77
1062085978,-75
1062087087,-74
1062088187,-67
1062089288,-70
1062090397,-68
1062091504,-69
1062092604,-69
1062093706,-68
1062095925,-68
1062097033,-77
1062098140,-67
1062099251,-81
1062100356,-72
1062101468,-81
1062102573,-73
1062103675,-81
1062104790,-79
1062105900,-75
1062106997,-74
1062108111,-80
1062109216,-76
1062110322,-77
1062111429,-80
1062112536,-81
1062113645,-77
1062114757,-68
1062115867,-68
1062116972,-68
1062118083,-70
1062119181,-80
1062120293,-77
1062121404,-77
1062122506,-80
1062123623,-79
1062124732,-73
1062125840,-80
1062126952,-70
1062128057,-70
1062129162,-70
1062130272,-80
1062131379,-77
1062132489,-68
1062133599,-73
1062134708,-68
1062135817,127
1062136923,-70
1062138036,-81
1062139137,-80
1062140247,-76
1062141355,-79
1062142467,-73
1062143573,-79
1062144682,-82
1062145781,-77
1062146892,-70
1062148003,-80
1062149114,-80
1062150209,-68
1062151322,-73
1062152436,-78
1062153542,-81
1062154650,-80
1062155759,-81
1062156866,-71
1062157977,-70
1062159082,-82
1062160196,-79
1062161305,-68
1062162412,-76
1062163517,-77
1062164625,-82
1062165734,-76
1062166844,127
1062167947,-70
1062169058,-73
1062170166,-74
1062171275,-71
1062172384,-78
1062173491,-75
1062174591,-76
1062175701,-68
1062176800,-66
1062177909,-51
1062179020,-49
1062180118,-64
1062181222,-57
1062182326,-68
1062183429,-73
1062184532,-82
1062185639,-73
1062186755,-77
1062187860,-77
1062188969,-68
1062190956,-66
1062192057,-68
1062193159,-65
1062194263,-70
1062195363,-68
1062196465,-84
1062197582,-80
1062198681,-73
1062199791,-62
1062200893,-74
1062201997,-74
1062203098,-61
1062204207,-74
1062205320,-61
1062206420,-75
1062207538,-69
1062208631,-74
1062209748,-62
1062210851,-74
1062211959,-76
1062213058,-74
1062214174,-76
1062215271,-74
1062216386,-69
1062217495,-61
1062218603,-68
1062219706,-64
1062220815,-75
1062221922,-75
1062223031,-74
1062224135,-74
1062225237,-77
1062226347,-72
1062227451,-65
1062228552,-81
1062229665,-80
1062230763,-75
1062231873,-73
1062232972,-75
1062234071,-59
1062235185,-59
1062236281,-59
1062237392,-74
1062238498,-63
1062239607,-63
1062240709,-76
1062241812,-77
1062242916,-72
1062244016,-69
1062245123,-69
1062246224,-62
1062247332,-68
1062248432,-74
1062249537,-70
1062250635,-72
1062251744,-63
1062252844,-68
1062253955,-67
1062255055,-67
1062256158,-69
1062257260,-72
1062258362,-70
1062259471,-64
1062260572,-70
1062261678,-70
1062262777,-82
1062263891,-79
1062264988,-76
1062266100,-74
1062267197,127
1062268311,-81
1062269408,-64
1062270515,-62
1062271615,-78
1062272719,-61
1062273828,-64
1062274932,-65
1062276040,-64
1062277140,-79
1062278240,127
1062279345,-69
1062280459,-69
1062281555,-73
1062282677,-63
1062283772,-71
1062284886,-74
1062285994,-73
1062287100,-72
1062288206,-59
1062289313,-68
1062290421,-67
1062291520,-69
1062292633,-75
1062293731,-71
1062294835,-76
1062295937,-73
1062297041,-73
1062298147,-76
1062299249,-77
1062300361,-72
1062301456,-76
1062302568,-84
1062303667,-78
1062304771,-75
1062305873,-64
1062306990,-60
1062308096,-60
1062309204,-63
1062310304,-75
1062312522,-64
1062313628,-64
1062314735,-63
1062315851,-73
1062316954,-68
1062318059,-68
1062319165,-73
1062320275,-65
1062321381,-84
1062322491,-65
1062323601,-84
1062324712,-62
1062325817,-85
1062326919,-62
1062328029,-86
1062329135,-66
1062330240,-80
1062331346,-69
1062332448,-79
1062333557,-75
1062334665,-80
1062335762,-75
1062336874,-81
1062337974,-79
1062339086,-82
1062341294,-73
1062342395,-87
1062343507,-77
1062344612,-77
1062345717,-80
1062346832,-79
1062347939,-77
1062349051,-70
1062350146,-80
1062351248,-77
1062352361,-83
1062353458,-78
1062354569,-78
