time,bpm
1694251543890,88.0
1694251544153,89.0
1694251546741,90.0
1694251547944,89.0
1694251549152,88.0
1694251550541,86.0
1694251551746,82.0
1694251553147,81.0
1694251558152,80.0
1694251559540,79.0
1694251560745,77.0
1694251561945,75.0
1694251565940,76.0
1694251568343,77.0
1694251569741,78.0
1694251570944,79.0
1694251572336,81.0
1694251573542,84.0
1694251574741,81.0
1694251576145,79.0
1694251577344,81.0
1694251578736,80.0
1694251581146,82.0
1694251582541,81.0
1694251585142,83.0
1694251586341,81.0
1694251587541,82.0
1694251591542,83.0
1694251592740,82.0
1694251593940,81.0
1694251595336,82.0
1694251596536,83.0
1694251597936,82.0
1694251600339,83.0
1694251606737,85.0
1694251608142,88.0
1694251609335,86.0
1694251610741,85.0
1694251613141,83.0
1694251615734,82.0
1694251617139,84.0
1694251618335,85.0
1694251619536,86.0
1694251620932,84.0
1694251622138,83.0
1694251628533,84.0
1694251631137,83.0
1694251632333,82.0
1694251634932,81.0
1694251642731,82.0
1694251645147,83.0
1694251651535,84.0
1694251655529,85.0
1694251656728,82.0
1694251659327,83.0
1694251660529,82.0
1694251664337,81.0
1694251668328,82.0
1694251672133,81.0
1694251677138,80.0
1694251681132,79.0
1694251682327,78.0
1694251686138,76.0
1694251687526,78.0
1694251689933,79.0
1694251692531,80.0
1694251693925,79.0
1694251696331,81.0
1694251697726,80.0
1694251698931,81.0
1694251700324,80.0
1694251701527,79.0
1694251702736,80.0
1694251705331,79.0
1694251706725,80.0
1694251709136,79.0
1694251710526,80.0
1694251711732,79.0
1694251714325,80.0
1694251718139,81.0
1694251719522,80.0
1694251721930,86.0
1694251723322,84.0
1694251724529,81.0
1694251727131,80.0
1694251728330,81.0
1694251729727,80.0
1694251732320,83.0
1694251733529,84.0
1694251734725,85.0
1694251736125,87.0
1694251737330,88.0
1694251738719,87.0
1694251742522,86.0
1694251743725,85.0
1694251745124,84.0
1694251747522,82.0
1694251748922,83.0
1694251750246,84.0
1694251755250,83.0
1694251756636,85.0
1694251757838,86.0
1694251759045,84.0
1694251760437,85.0
1694251761640,84.0
1694251764244,83.0
1694251765444,82.0
1694251766836,84.0
1694251768042,85.0
1694251770638,86.0
1694251771842,87.0
1694251773242,86.0
1694251774444,87.0
1694251778357,88.0
1694251779557,87.0
1694251780958,86.0
1694251783405,87.0
1694251785998,88.0
1694251788519,87.0
1694251791126,89.0
1694251793720,87.0
1694251794918,86.0
1694251796319,85.0
1694251798798,84.0
1694251799969,83.0
1694251802558,85.0
1694251803797,84.0
1694251805202,83.0
1694251806402,84.0
1694251807796,83.0
1694251809000,82.0
1694251810318,83.0
1694251814163,84.0
1694251815365,83.0
1694251823084,82.0
