time,x,y,z
1694251544162,-0.13391972,0.070266485,-0.065006256
1694251544202,0.015302181,-0.043215036,-0.0440197
1694251544244,0.22900963,-0.25531197,0.011568069
1694251544284,0.11903715,0.09715581,-0.3442111
1694251544330,-0.12591839,0.11875272,-0.44734716
1694251544367,0.24156237,-0.066780806,-0.1252141
1694251544405,0.2425065,-0.11230111,-0.111973286
1694251544446,0.0035381317,-0.038623095,-0.24992943
1694251544489,-0.08652687,0.044485092,0.028055668
1694251544526,0.19357967,0.048500538,0.19259024
1694251544568,0.2219019,0.11289859,0.030379772
1694251544607,-0.03653717,0.06522226,-0.1298294
1694251544646,-0.20649242,0.07307124,0.030062675
1694251544687,0.0073871613,0.07275915,0.047830105
1694251544739,0.10649347,0.06331873,-0.064083576
1694251544769,0.007007122,-0.20962524,0.027627468
1694251544808,0.041553497,-0.041561127,-0.1548233
1694251544858,1.320839E-4,-0.108689785,-0.14521885
1694251544890,0.046958447,0.022255898,0.1189723
1694251544940,0.17754364,-0.1772654,-0.038972378
1694251544974,0.07357454,-0.08130264,-0.18887806
1694251545015,-0.008886814,-0.019635439,0.07927275
1694251545053,0.090191364,0.18845105,0.11192703
1694251545094,0.3230009,-0.31251907,0.30358696
1694251545147,0.1842637,-0.09744358,0.30554295
1694251545176,0.90314436,-0.024115562,1.2435184
1694251545216,1.9192891,1.788354,1.3984761
1694251545256,2.317603,0.35154486,0.72886467
1694251545297,0.20116043,0.83328164,0.43032074
1694251545347,-0.66606,0.7878878,-0.12535048
1694251545386,-0.79729605,1.0873052,0.13771057
1694251545420,-0.9706917,-0.022288203,-1.6987896
1694251545462,-1.9436951,0.65102464,-1.2509422
1694251545502,-1.3450034,0.6309562,-1.177042
1694251545543,-0.97673965,-0.042093992,-0.01500988
1694251545584,-0.33450532,-0.6143764,0.59972286
1694251545625,-0.10330939,-0.15999019,-0.41369343
1694251545661,0.5238311,-1.5864854,0.73380375
1694251545702,1.6514273,-1.573626,-0.2803898
1694251545742,0.650367,-1.2077587,-0.6930475
1694251545782,1.2196996,-1.2721,-0.3707466
1694251545824,0.08293986,0.71569353,-1.975441
1694251545872,0.29055476,0.08583617,-0.79683113
1694251545908,0.8981812,-1.4471028,-1.0203762
1694251545950,0.67572665,-3.949069,0.88413143
1694251545985,0.93122315,-3.4778175,0.07067585
1694251546027,-0.76073116,-0.042408705,-0.97279835
1694251546067,-0.6357827,-0.899663,0.10226631
1694251546107,0.9723855,0.31324458,0.47062397
1694251546147,1.3334918,1.1186593,-0.53265953
1694251546190,1.5015715,0.7583704,2.184039
1694251546228,1.7697513,-1.9086869,0.3398857
1694251546269,-2.0593162,-1.2854283,0.084918976
1694251546310,-1.0201538,1.4781276,-0.77932835
1694251546350,-0.6168847,1.8816777,-2.9673057
1694251546395,1.6964009,2.589487,-3.4171677
1694251546432,5.1852217,0.071996495,7.732457
1694251546471,1.1871395,1.087062,-0.11844444
1694251546512,-0.95792294,1.392249,-0.4180374
1694251546553,-0.33003187,-1.786332,0.66188526
1694251546592,-0.35281682,0.4149459,-0.12843323
1694251546633,0.49686456,-0.19443971,0.097696304
1694251546674,0.17868638,-0.13573828,0.07591343
1694251546714,0.27540064,-0.18553597,0.08297157
1694251546756,0.33975387,5.1289797E-4,-0.107522964
1694251546796,0.1587131,0.008348703,-0.019676208
1694251546836,-0.10689235,0.18711837,-0.10185146
1694251546885,-0.31362486,0.3361453,-0.03631687
1694251546923,-0.10914898,-0.014848679,0.21552467
1694251546958,0.4472177,-0.31093442,0.119155884
1694251546997,0.5378256,-0.014430493,0.05525112
1694251547041,0.5365765,-0.21749726,0.16947079
1694251547080,0.25072098,-0.23264301,-0.095015526
1694251547119,0.14243436,0.07666597,0.040239334
1694251547161,-0.18682957,0.14606258,-0.020838737
1694251547203,-0.0877583,-0.064724654,-0.1337452
1694251547241,0.12894154,-0.14128315,0.07923412
1694251547282,0.22091818,-1.258254E-4,0.13119698
1694251547322,0.42554617,-0.19155714,0.09827709
1694251547363,0.34788704,0.15847996,-0.15610695
1694251547412,0.10105538,0.28150967,0.10146904
1694251547443,-0.06741524,-0.20285049,0.019600868
1694251547484,0.19693685,-0.39570737,0.09430504
1694251547525,0.2451067,-0.2260493,0.065011024
1694251547566,0.2910471,0.023761839,-0.08660889
1694251547605,0.16773224,0.11480674,0.14089775
1694251547646,0.23370576,-0.003998399,0.069039345
1694251547687,0.24783087,0.030349195,0.06110382
1694251547727,0.04017949,-0.047048494,-0.0040311813
1694251547768,0.1325686,-0.023892313,-0.09189701
1694251547808,0.1509583,-0.08956042,-0.0663023
1694251547849,0.016738892,-0.08255415,-0.07238102
1694251547898,-0.09988356,-0.12780534,0.07624054
1694251547950,0.1572063,-0.06520915,-0.02477932
1694251547973,0.364861,-0.113489255,0.13449955
1694251548011,0.31358075,0.01576221,0.01934433
1694251548053,0.14094782,0.111560404,-0.05072117
1694251548092,0.087827444,-0.09226962,0.10980511
1694251548142,0.2656672,-0.019865297,-0.005176544
1694251548173,0.21797895,-0.033228986,-0.041604996
1694251548213,0.10560775,0.06355737,0.0268507
1694251548255,0.15214133,-0.0011531562,-0.03762722
1694251548294,0.21542263,-0.09876621,0.018140793
1694251548340,0.16559148,-0.018178493,-0.021773338
1694251548376,0.08035421,-0.035590164,-0.009763718
1694251548425,-0.009416342,-0.07309055,0.04352951
1694251548456,0.16166782,-0.04142046,-0.008457184
1694251548497,0.21480346,0.01119935,0.022414207
1694251548540,0.21126342,0.034276046,0.043589592
1694251548577,0.23634434,-0.0040222397,0.023096085
1694251548619,0.17733812,-0.0041235033,-0.03881836
1694251548658,0.20484161,-0.0355875,0.026083946
1694251548701,0.16172767,-0.06172488,0.012271881
1694251548740,0.12018275,0.024332017,-0.011437416
1694251548781,0.13547206,-9.339005E-4,0.002453804
1694251548821,0.13887596,-0.011638811,-0.019631386
1694251548862,0.12737799,-0.0041128714,0.06595039
1694251548910,0.17654014,-0.0054255705,-0.014019012
1694251548944,0.21915293,-0.034205653,0.05843067
1694251548985,0.20286489,0.0076448135,0.019320488
1694251549023,0.20890355,0.031427193,-0.025355339
1694251549065,0.15808153,-0.025881791,0.041984558
1694251549105,0.12033105,-0.05308944,-0.04202366
1694251549158,0.12723613,-0.069399245,-0.0056962967
1694251549186,0.12893414,-0.011918798,0.0010976791
1694251549226,0.14710689,0.03854468,-0.020409584
1694251549266,0.19351864,0.023745619,0.0399971
1694251549307,0.23302293,-0.018856,0.046977043
1694251549347,0.1561706,0.07430817,0.08523941
1694251549388,0.11320734,0.10044546,-0.008590698
1694251549437,0.18587041,-0.06306431,-0.010489464
1694251549469,0.13015962,-0.13343039,-0.0014343262
1694251549509,0.25475907,-0.06676918,0.0058546066
1694251549550,0.1795206,0.018409625,-0.0020685196
1694251549592,0.043217182,0.08394532,0.15423107
1694251549631,0.17823982,0.1279634,0.017765045
