time,rssi
2035933603,-74
2035934832,-77
2035935934,-91
2035937039,-60
2035938138,-60
2035939241,-61
2035940349,-63
2035941456,-57
2035942562,127
2035943668,-59
2035944774,-59
2035945883,-60
2035946987,-62
2035948092,-60
2035949194,-60
2035950303,-67
2035951413,-60
2035952512,-62
2035953615,-64
2035954725,-63
2035955837,-62
2035956933,-61
2035958045,-65
2035959151,-64
2035960253,-66
2035961367,-62
2035962469,-61
2035963576,-67
2035964686,-71
2035965789,-76
2035966894,-64
2035968001,-65
2035969111,-63
2035970217,-61
2035971323,-64
2035972426,-61
2035973534,-62
2035974641,-62
2035975745,-60
2035976845,-62
2035977960,-63
2035979065,-66
2035980174,-63
2035981280,-66
2035982386,-66
2035983493,-65
2035984600,-70
2035985709,-64
2035986812,-67
2035987920,-65
2035989029,-67
2035990123,-68
2035991236,-63
2035992340,-72
2035993449,-78
2035994549,-66
2035995659,-68
2035996763,-64
2035997873,-68
2035998975,-66
2036000081,-67
2036001191,-68
2036002295,-84
2036003399,-66
2036004508,-73
2036005601,-66
2036006716,-70
2036007817,-67
2036008928,-66
2036010035,-65
2036011143,-67
2036012249,-69
2036013357,-65
2036014464,-67
2036015575,-65
2036016678,-63
2036017786,-66
2036018895,-68
2036019998,-66
2036021105,-64
2036022206,-64
2036023312,-66
2036024421,-65
2036025522,-65
2036026631,-66
2036027731,-64
2036028840,-65
2036029949,-65
2036031055,-65
2036032161,-65
2036033262,-66
2036034373,-66
2036035477,-65
2036036585,-66
2036037696,-66
2036038801,-63
2036039911,-63
2036041018,-66
2036042125,-68
2036043230,-67
2036044336,-66
2036045441,-76
2036046545,-65
2036047651,-64
2036048765,-66
2036049871,-67
2036050978,-67
2036052082,-63
2036053189,-65
2036054299,-65
2036055403,-66
2036056512,-82
2036057618,-64
2036058725,-69
2036059828,-63
2036060939,-66
2036062046,-74
2036063150,-66
2036064260,-70
2036065367,-66
2036066470,-66
2036067567,-70
2036068679,-66
2036069784,-66
2036070895,-65
2036071999,-65
2036073105,-66
2036074212,-70
2036075317,-67
2036076424,-67
2036077535,-65
2036078642,-67
2036079749,-67
2036080856,-69
2036081962,-74
2036083068,-69
2036084170,-70
2036085283,-66
2036086385,-71
2036087489,-67
2036088598,-71
2036089703,-69
2036090813,-69
2036091917,-66
2036093024,-78
2036094133,-78
2036095237,-62
2036096344,-63
2036097451,-68
2036098556,-67
2036099663,-70
2036100770,-68
2036101878,-69
2036102977,-68
2036104083,-67
2036105193,-68
2036106302,-67
2036107406,-66
2036108515,-66
2036109620,-76
2036110729,-72
2036111834,-67
2036112939,-67
2036114048,-70
2036115153,-69
2036116257,-70
2036117368,-77
2036118476,-69
2036119581,-66
2036120693,-72
2036121799,-59
2036122903,-63
2036124009,-69
2036125112,-63
2036126219,-73
2036127325,-64
2036128434,-73
2036129543,-67
2036130650,-70
2036131754,-70
2036132861,-69
2036133968,-69
2036135074,-73
2036136178,-70
2036137289,-65
2036138394,-75
2036139501,-66
2036140605,-67
2036141713,-67
2036142813,-65
2036143923,-67
2036145032,-68
2036146137,-66
2036147247,-72
2036148350,-67
2036149458,-75
2036150566,-71
2036151673,-73
2036152779,-81
2036153875,-83
2036154984,-66
2036156091,-65
2036157190,-62
2036158302,-73
2036159406,-67
2036160513,-68
2036161610,-69
2036162723,-77
2036163830,-74
2036164927,-61
2036166041,-62
2036167147,-61
2036168255,-61
2036169366,-64
2036170470,-64
2036171579,-62
2036172677,-62
2036173781,-63
2036174894,-61
2036175999,-65
2036177105,-63
2036178211,-68
2036179319,-64
2036180426,-62
2036181527,-65
2036182636,-63
2036183745,-66
2036184847,-64
2036185953,-60
2036187061,-64
2036188169,-64
2036189274,-64
2036190382,-69
2036191490,-62
2036192594,-62
2036193707,-63
2036194812,-70
2036195918,-65
2036197023,-67
2036198131,-66
2036199239,-73
2036200347,-66
2036201453,-68
2036202557,-70
2036203667,-70
2036204773,-61
2036205881,-64
2036206984,-62
2036208090,-67
2036209198,-70
2036210304,-67
2036211415,-67
2036212518,-75
2036213622,-69
2036214731,-65
2036215838,-73
2036216941,-65
2036218050,-71
2036219156,-63
2036220264,-76
2036221371,-66
2036222479,-67
2036223584,-71
2036224692,-75
2036225803,-69
2036226905,-68
2036228014,-65
2036229122,-63
2036230219,-76
2036231331,-71
2036232437,-70
2036233540,-62
2036233800,-61
2036235101,-71
2036236203,-69
2036237307,-68
2036238412,-62
2036239515,-65
2036240613,-61
2036241724,-66
2036242819,-67
2036243934,-77
2036245035,-61
2036246143,-63
2036247245,-69
2036248350,-63
2036249454,-65
2036250560,-64
2036251668,-72
2036252773,-69
2036253876,-62
2036254980,-65
2036256091,-68
2036257193,-74
2036258301,-77
2036259407,-87
2036260509,-72
2036261623,-82
2036262722,-80
2036263828,-79
2036264934,-67
2036266043,-68
2036267145,-67
2036268254,-85
2036269359,-85
2036270465,-69
2036271575,-69
2036272678,-69
2036273783,-68
2036274888,-66
2036275996,-72
2036277092,-69
2036278203,-65
2036279309,-70
2036280415,-77
2036281527,-72
2036282625,-72
2036283732,-68
2036284836,-73
2036285944,-66
2036287044,-65
2036288155,-77
2036289263,-67
2036290369,-74
2036291474,-69
2036292573,-65
2036293675,-80
2036294791,-70
2036295896,-77
2036297000,-73
2036298106,-76
2036299212,-66
2036300319,-63
2036301425,-71
2036302529,-90
2036303635,-79
2036304746,-72
2036305848,-81
2036306956,-81
2036308058,-70
2036309168,-76
2036310275,-82
2036311382,-80
2036312484,-69
2036313593,-70
2036314695,-69
2036315804,-71
2036316908,-66
2036318016,-64
2036319125,-69
2036320228,-66
2036321334,-67
2036322442,-72
2036323545,-74
2036324650,-75
2036325753,-71
2036326862,-71
2036327967,-68
2036329072,-68
2036330168,-73
2036331284,-67
2036332388,-66
2036333493,-66
2036334600,-62
2036335707,-68
2036336811,-66
2036337922,-63
2036339027,-65
2036340136,-69
2036341240,-75
2036342345,-72
2036343456,-67
2036344561,-80
2036345671,-75
2036346772,-73
2036347881,-65
2036348991,-69
2036350096,-66
2036351205,-72
2036352309,-75
2036353413,-67
2036354520,-70
2036355628,-67
2036356733,-70
2036357840,-70
2036358947,-77
2036360052,-72
2036361157,-69
2036362265,-68
2036363368,-65
2036364466,-68
2036365568,-67
2036366679,-67
2036367785,-72
2036368890,-74
2036370000,-60
2036371104,-67
2036372211,-75
2036373313,-64
2036374415,-63
2036375529,-69
2036376634,-70
2036377739,-67
2036378845,-67
2036379957,-67
2036381063,-69
2036382172,-64
2036383263,-72
2036384372,-65
2036385482,-73
2036386588,-69
2036387695,-66
2036388798,-66
2036389906,-70
2036391015,-79
2036392123,-70
2036393218,-71
2036394332,-75
2036395435,-65
2036396541,-75
2036397652,-64
2036398755,-64
2036399866,-67
2036400978,-70
2036402080,-66
2036403188,-63
2036404292,-62
2036405403,-67
2036406507,-74
2036407614,-71
2036408724,-71
2036409829,-64
2036410933,-65
2036412047,-66
2036413149,-65
2036414257,-65
2036415368,-63
2036416469,-62
2036417573,-64
2036418682,-67
2036419787,-66
2036420892,-65
2036421999,-70
2036423104,-65
2036424212,-65
2036425311,-63
2036426421,-73
2036427524,-81
2036428635,-80
2036429737,-72
2036430849,-66
2036431956,-65
2036433060,-64
2036434164,-66
2036435274,-76
2036436379,-68
2036437485,-66
2036438586,-69
2036439687,-70
2036440800,-76
2036441911,-74
2036443013,-71
2036444120,-67
2036445229,-65
2036446335,-67
2036447438,-66
2036448541,-64
2036449649,-62
2036450753,-60
2036451861,-66
2036452969,-66
2036454079,-66
2036455184,-64
2036456291,-59
2036457398,-76
2036458500,-77
2036459598,-74
2036460717,-69
2036461818,-70
2036462925,-68
2036464032,-62
2036465144,-62
2036466251,-64
2036467353,-62
2036468461,-63
2036469569,-66
2036470675,-64
2036471781,-62
2036472881,-63
2036473984,-66
2036475094,-67
