time,rssi
2046424778,-76
2046426047,-66
2046427137,-71
2046428235,-82
2046429340,-69
2046430452,-82
2046431566,-73
2046432661,-74
2046433765,-72
2046434863,-75
2046435976,-74
2046437080,-73
2046438185,-75
2046439293,-75
2046440395,-75
2046441502,-75
2046442608,-75
2046443713,-75
2046444815,-75
2046445922,-74
2046447021,-74
2046448135,-74
2046449237,-73
2046450346,-69
2046451452,-62
2046452545,-59
2046453645,-73
2046454756,-72
2046455862,-74
2046456947,-68
2046458070,-74
2046459173,-92
2046460278,-84
2046461382,-82
2046462491,-80
2046463603,-91
2046464700,-81
2046465806,-82
2046466913,-80
2046468017,-81
2046469112,-78
2046470227,-93
2046471338,-86
2046472435,-79
2046473539,-82
2046474647,-81
2046475750,-84
2046476856,-85
2046477956,-85
2046479046,-83
2046480161,-81
2046481280,-76
2046482360,-78
2046483486,-81
2046484581,-70
2046485692,-76
2046486797,-87
2046487913,-69
2046489004,-73
2046490115,-71
2046491222,-65
2046492330,-67
2046493423,-65
2046494542,-75
2046495642,-83
2046496748,-85
2046497852,-89
2046498954,-84
2046500065,-85
2046501168,-82
2046502278,-77
2046503391,-77
2046504488,-78
2046505577,-84
2046506697,-75
2046507809,-78
2046508908,-76
2046510008,-83
2046511136,-75
2046512221,-76
2046513328,-76
2046514436,-81
2046515547,-76
2046516639,-76
2046517747,-78
2046518849,-76
2046519962,-79
2046521067,-79
2046522172,-76
2046523272,-76
2046524372,-79
2046525493,-79
2046526588,-75
2046527697,-79
2046528801,-74
2046529906,-79
2046531019,-74
2046532124,-75
2046533220,-79
2046534327,-75
2046535432,-74
2046536528,-74
2046537639,-77
2046538744,-75
2046539857,-74
2046540959,-78
2046542061,-78
2046543172,-75
2046544268,-74
2046545378,-75
2046546488,-78
2046547596,-78
2046548693,-74
2046549800,-78
2046550912,-75
2046552009,-75
2046553117,-74
2046554220,-75
2046555327,-74
2046556425,-75
2046557535,-75
2046558639,-77
2046559745,-73
2046560861,-76
2046561956,-75
2046563059,-74
2046564172,-73
2046565271,-75
2046566374,-74
2046567492,-77
2046568593,-77
2046569695,-77
2046570803,-75
2046571920,-77
2046573015,-77
2046574115,-78
2046575222,-76
2046576336,-77
2046577427,-75
2046578530,-75
2046579645,-75
2046580746,-75
2046581852,-75
2046582958,-81
2046584073,-79
2046585180,-75
2046586268,-77
2046587385,-76
2046588481,-76
2046589588,-77
2046590701,-76
2046591804,-76
2046592907,-78
2046594014,-88
2046595118,-85
2046596225,-80
2046597329,-81
2046598432,-81
2046599540,-87
2046600655,-85
2046601757,-86
2046602863,-83
2046603968,-92
2046605075,-81
2046606182,-82
2046607293,-76
2046608391,-80
2046609492,-79
2046610602,-84
2046611719,-87
2046612813,-74
2046613918,-91
2046615024,-78
2046616126,-78
2046617225,-77
2046618337,-76
2046619439,-79
2046620549,-87
2046621656,-77
2046622758,-81
2046623870,-81
2046624956,-75
2046626067,-76
2046627177,-68
2046628279,-73
2046629389,-65
2046630501,-67
2046631582,-79
2046632699,-77
2046633806,-72
2046634911,-76
2046636025,-77
