time,x,y,z
1694261124618,0.04428773,-0.017562376,-0.0033597588
1694261124661,0.034972034,-0.013133603,-0.01817324
1694261124699,0.039858956,-0.01572978,-0.0062613687
1694261124739,0.118507855,-0.049785517,0.024587326
1694261124780,-0.007330383,-6.1086525E-4,-0.0071776668
1694261124820,-0.008246681,4.5814895E-4,-0.009162978
1694261124860,0.016493361,-0.0033597588,0.035430185
1694261124901,0.07223482,-0.022907447,-0.018020526
1694261124943,0.08155051,-0.031612277,-0.026725354
1694261124982,0.03436117,-0.01740966,-0.03313944
1694261125023,-0.049632803,0.024892759,-0.030848695
1694261125065,-0.04520403,0.02565634,-0.028863383
1694261125106,-0.075594574,0.043676864,-0.0786489
1694261125145,-0.17394388,0.13622294,-0.010079277
1694261125186,-0.28206703,0.18997909,-0.021533
1694261125227,-0.44425175,0.23411411,-0.031001411
1694261125265,-0.09850202,0.03848451,-0.017256944
1694261125307,-0.03894266,-0.01038471,-0.011148291
1694261125347,-0.065515295,-0.04642576,-0.042455133
1694261125389,-0.1470658,-0.0053450707,-0.038026363
1694261125429,-0.1518,0.026725354,-0.048716504
1694261125469,0.0018325958,-0.0021380284,-0.013897184
1694261125510,0.004276057,-0.037873644,-0.0071776668
1694261125551,0.0926988,-0.021838432,-0.026419923
1694261125592,0.47311515,-0.06246097,0.03634648
1694261125632,0.28970283,-0.04886922,0.045356743
1694261125673,-0.035430185,0.015577064,-0.012217305
1694261125714,0.04505131,-0.04505131,-0.05757405
1694261125753,-0.3539964,0.06001751,-0.095294975
1694261125794,-0.35231653,0.062155537,-0.0786489
1694261125834,-0.24174993,-0.010537425,-0.044898596
1694261125876,-0.12675454,-0.0021380284,-0.022143865
1694261125916,0.06918049,-0.035277467,0.009773844
1694261125956,0.05421429,-0.0627664,1.5271631E-4
1694261125996,0.018936822,-0.052381694,-0.031001411
1694261126038,0.09254608,-0.02687807,-0.043982297
1694261126078,0.22785273,0.030390546,-0.036957346
1694261126118,0.52855116,0.20540343,0.03191771
1694261126159,0.38866302,0.41615194,0.13897185
1694261126199,-1.6807957,1.244638,0.37888917
1694261126239,-1.5033394,1.7151569,1.0125091
1694261126280,-0.4260785,1.6610953,1.6221527
1694261126321,-1.1142182,1.6166549,1.9573649
1694261126361,-1.5690074,1.2933544,2.279291
1694261126402,-1.7423404,0.66737026,2.470339
1694261126442,-2.4883597,0.20891592,2.2855523
1694261126483,-1.5583172,-0.23900102,2.0431914
1694261126523,-1.2218832,-0.312763,1.7411187
1694261126565,-1.6036739,-0.27000242,1.3312281
1694261126605,-0.99036527,-0.32238412,1.0343475
1694261126645,-0.9596693,-0.21365012,0.70661837
1694261126685,-1.2735013,-0.20845777,0.49449542
1694261126725,-0.94897914,-0.23823744,0.54305923
1694261126766,-0.33017266,-0.23014349,0.6385069
1694261126807,0.16737708,-0.3231477,0.71975195
1694261126848,1.0074695,-0.3933972,0.7699956
1694261126888,1.3952162,-0.35521814,0.73532903
1694261126929,0.93935806,-0.2519819,0.6620252
1694261126969,0.75334954,-0.22311853,0.6085745
1694261127010,1.1439979,-0.26236662,0.54336464
1694261127049,0.36957347,-0.12522738,0.30772337
1694261127091,0.905455,-0.061239243,0.26710084
1694261127131,1.3287846,-0.21685717,0.40500367
1694261127172,-0.40775254,-0.054519724,0.19150625
1694261127213,0.16279559,-0.03772093,0.15286903
1694261127253,1.3266466,-0.006872234,0.08536842
1694261127293,0.9972375,0.22815818,-0.21471913
1694261127333,0.91339624,0.30680707,-0.5552765
1694261127374,1.5309811,0.25778514,-0.8558222
1694261127415,1.7814357,0.09819659,-1.163851
1694261127455,1.9847012,-0.04627304,-1.4385877
1694261127495,2.2847888,-0.31749722,-1.6458237
1694261127536,1.7594446,-0.54611355,-1.8371773
1694261127577,1.2278391,-0.6774496,-1.9312505
1694261127617,1.3402383,-0.84574294,-1.934763
1694261127658,1.264033,-1.0034989,-1.8530598
1694261127699,0.49296826,-1.0297661,-1.8002199
1694261127738,0.22235495,-0.98670006,-1.668273
1694261127780,0.46715918,-1.0111347,-1.5195273
1694261127820,0.73761976,-0.98654735,-1.4005613
1694261127860,0.6209445,-0.9934196,-1.2663237
1694261127901,0.12415836,-0.8046622,-1.1076514
1694261127942,0.70448035,-0.8249735,-0.91904676
1694261127981,0.3193298,-0.8523097,-0.70157874
1694261128023,-0.22204952,-0.6436992,-0.6427829
1694261128063,0.27351493,-0.5028948,-0.44990227
1694261128103,-0.06383542,-0.45341474,-0.3715588
1694261128144,-0.8743009,-0.2790127,-0.29886582
1694261128185,-0.42149702,-0.15271631,-0.2929099
1694261128225,-0.26939157,0.017715093,-0.22204952
1694261128265,-0.5349652,0.077121735,-0.14889841
1694261128306,-0.01863139,-0.10522154,-0.065515295
1694261128347,0.086132,-0.11346822,-0.06261369
1694261128386,-0.038026363,-0.04550946,-0.052839845
1694261128427,-0.024892759,-0.012675454,-0.038179077
1694261128468,-0.08231409,0.04886922,-0.04841107
1694261128508,-0.09896017,0.06337727,-0.040775254
1694261128549,-0.15958855,0.06719518,-0.044593163
1694261128590,-0.14477506,-0.0062613687,-0.048258353
1694261128630,-0.005192355,-0.06352998,-0.003970624
1694261128670,-0.051618114,-0.040317107,-0.0062613687
1694261128711,-0.02855795,-0.030848695,-0.008399397
1694261128752,-0.025961773,-0.016340645,-0.015882496
1694261128792,0.07391469,-0.026419923,0.010231993
1694261128833,0.07925977,-0.028099801,0.002443461
1694261128873,0.0061086523,0.011759156,-0.022143865
1694261128913,0.024587326,0.02611449,-0.026572637
1694261128954,0.027947085,0.031612277,-0.036193766
1694261128994,0.121256754,0.04886922,-0.02076942
1694261129037,0.10552697,0.06414085,-0.017104227
1694261129075,0.031306844,0.094989546,-0.0021380284
1694261129116,-0.038026363,0.13408493,0.025961773
1694261129156,-0.14095716,0.15241088,0.013439035
1694261129197,-0.2275473,0.11713341,-0.007788532
1694261129238,-0.21563543,0.10262536,-0.013286319
1694261129278,-0.23167065,0.042760566,-0.025045475
1694261129319,-0.18325958,0.056046885,-0.05222898
1694261129360,-0.22327125,0.095294975,-0.011911872
1694261129399,-0.05879578,0.0096211275,0.03176499
1694261129440,-0.03268129,0.0033597588,0.00870483
1694261129480,-0.106595986,0.034972034,-0.04505131
1694261129521,-0.003970624,0.055436023,-0.05467244
1694261129562,0.1685988,-0.04917465,0.0035124752
1694261129603,0.056046885,-0.015882496,-0.0010690142
