time,bpm
1694261874494,80.0
1694261877226,79.0
1694261879819,80.0
1694261881027,78.0
1694261883622,80.0
1694261888818,79.0
1694261890026,78.0
1694261891230,77.0
1694261893822,78.0
1694261896423,77.0
1694261897635,78.0
1694261902821,77.0
1694261904021,78.0
1694261905416,79.0
1694261908017,80.0
1694261909227,81.0
1694261910420,82.0
1694261911824,83.0
1694261913031,84.0
1694261914414,85.0
1694261915622,86.0
1694261916819,87.0
1694261918224,85.0
1694261919417,84.0
1694261920814,83.0
1694261922025,84.0
1694261923222,83.0
1694261925817,82.0
1694261929617,81.0
1694261936026,80.0
1694261938615,81.0
1694261941223,82.0
1694261942416,81.0
1694261943821,82.0
1694261948815,83.0
1694261952814,86.0
1694261954012,87.0
1694261955219,89.0
1694261956615,90.0
1694261957813,89.0
1694261959219,88.0
1694261961613,91.0
1694261963011,89.0
1694261964218,87.0
1694261966811,85.0
1694261968015,84.0
1694261969411,85.0
1694261970610,84.0
1694261975809,83.0
1694261979609,82.0
1694261980816,84.0
1694261983410,86.0
1694261984807,85.0
1694261986010,84.0
1694261987214,85.0
1694261995006,84.0
1694262005211,85.0
1694262006409,86.0
1694262007803,88.0
1694262009009,89.0
1694262010403,91.0
1694262011609,90.0
1694262015407,91.0
1694262019213,92.0
1694262020606,93.0
1694262021812,94.0
1694262023205,95.0
1694262024405,94.0
1694262030807,95.0
1694262032004,94.0
1694262033401,93.0
1694262034608,91.0
1694262036000,90.0
1694262037210,89.0
1694262039802,88.0
1694262043604,89.0
1694262044803,88.0
1694262046209,87.0
1694262053801,86.0
1694262067998,85.0
1694262070400,86.0
1694262071799,85.0
1694262074398,86.0
1694262075599,87.0
1694262076798,88.0
1694262079397,86.0
1694262081996,85.0
1694262083203,84.0
1694262084602,83.0
1694262085797,84.0
1694262087196,83.0
1694262088396,82.0
1694262094795,83.0
1694262095998,84.0
1694262097394,86.0
1694262098595,89.0
1694262099995,90.0
1694262102399,89.0
1694262103792,88.0
1694262107593,89.0
1694262108799,88.0
1694262110197,87.0
1694262111394,86.0
1694262112791,84.0
1694262115203,83.0
1694262121596,82.0
1694262122989,81.0
1694262127998,82.0
1694262130596,84.0
1694262131987,85.0
1694262133193,86.0
1694262134392,88.0
1694262135786,90.0
1694262138386,92.0
1694262142192,93.0
1694262144784,92.0
1694262147197,90.0
1694262151189,91.0
1694262152387,92.0
1694262154990,91.0
1694262159987,89.0
1694262163982,92.0
1694262165193,93.0
1694262166385,92.0
1694262167785,91.0
1694262170380,89.0
1694262175381,91.0
1694262177984,90.0
1694262179187,89.0
1694262186981,88.0
1694262188187,89.0
1694262190780,90.0
1694262193385,91.0
1694262194580,93.0
1694262195979,94.0
1694262197187,95.0
1694262198381,96.0
1694262200980,95.0
1694262202380,96.0
1694262204781,95.0
1694262206188,94.0
1694262207380,93.0
1694262208780,92.0
1694262209978,91.0
1694262211186,92.0
1694262213779,93.0
1694262215184,94.0
1694262216378,93.0
1694262218977,92.0
1694262220184,91.0
1694262221578,90.0
1694262222778,89.0
1694262226577,88.0
1694262227976,89.0
1694262238179,90.0
1694262239377,91.0
1694262243184,90.0
1694262250972,91.0
1694262255978,94.0
1694262257372,96.0
1694262258577,98.0
1694262259967,101.0
1694262261175,104.0
1694262262378,108.0
1694262264975,109.0
1694262266369,108.0
1694262267573,106.0
1694262268774,104.0
1694262270174,102.0
1694262271335,101.0
1694262275328,102.0
1694262277734,101.0
1694262279133,100.0
1694262280331,96.0
1694262281727,94.0
1694262282930,90.0
1694262284147,89.0
1694262285526,88.0
1694262289330,89.0
1694262290531,90.0
1694262291970,88.0
1694262299570,87.0
1694262303366,86.0
1694262304765,85.0
1694262305973,84.0
1694262307168,83.0
1694262309766,84.0
1694262313567,85.0
1694262316165,84.0
1694262317570,85.0
1694262318764,84.0
1694262319966,85.0
1694262331562,84.0
1694262334014,85.0
1694262335322,86.0
1694262340520,85.0
1694262343122,84.0
1694262345721,85.0
1694262346919,86.0
1694262348122,87.0
1694262349518,86.0
1694262353318,85.0
1694262354526,86.0
1694262358518,85.0
1694262359718,86.0
1694262363518,87.0
1694262366117,88.0
1694262367322,89.0
1694262369917,90.0
1694262371317,89.0
1694262372513,90.0
1694262376321,89.0
1694262377713,88.0
1694262380121,87.0
1694262381513,88.0
1694262382716,87.0
1694262392924,86.0
1694262395516,85.0
1694262398119,84.0
1694262400709,85.0
1694262401917,84.0
1694262403054,85.0
1694262405873,86.0
1694262410959,87.0
1694262413511,89.0
1694262414716,90.0
1694262417322,91.0
1694262418516,90.0
1694262419911,88.0
1694262422509,89.0
1694262424914,90.0
1694262426311,95.0
1694262427476,99.0
1694262428748,101.0
1694262430045,102.0
1694262431429,105.0
1694262432630,106.0
1694262434041,104.0
1694262435230,103.0
1694262436436,104.0
1694262437829,102.0
1694262439035,103.0
1694262441630,102.0
1694262442835,101.0
1694262444228,98.0
1694262445431,94.0
1694262446828,93.0
1694262448034,92.0
1694262450547,94.0
1694262451909,95.0
1694262453117,96.0
1694262458311,97.0
1694262462154,96.0
1694262463347,94.0
1694262464746,92.0
1694262465946,91.0
1694262467153,90.0
1694262469747,89.0
1694262472208,88.0
1694262473555,89.0
1694262474945,90.0
1694262476146,91.0
1694262477547,92.0
1694262481342,90.0
1694262482544,91.0
1694262483941,92.0
1694262485144,93.0
1694262486349,95.0
1694262487740,96.0
1694262488863,95.0
1694262492903,94.0
1694262494107,96.0
1694262495313,95.0
1694262496701,96.0
1694262501707,97.0
1694262504302,96.0
1694262506900,94.0
1694262508110,93.0
1694262509498,94.0
1694262510700,93.0
1694262512105,94.0
1694262514505,95.0
1694262515899,94.0
1694262517116,95.0
1694262518498,97.0
1694262520905,98.0
1694262522296,97.0
1694262524896,96.0
1694262526102,95.0
1694262527303,94.0
1694262531292,95.0
1694262533705,96.0
1694262540103,94.0
1694262544098,93.0
1694262545293,92.0
1694262546500,90.0
1694262547893,89.0
1694262549104,90.0
1694262550493,89.0
1694262560691,90.0
1694262561897,91.0
1694262563291,92.0
1694262564497,93.0
1694262565694,94.0
1694262567097,96.0
1694262568294,99.0
1694262573411,96.0
1694262574731,94.0
1694262575933,93.0
1694262578532,94.0
1694262584893,95.0
1694262586293,94.0
1694262588888,95.0
1694262590050,94.0
1694262593892,95.0
1694262595289,96.0
1694262597692,98.0
1694262601690,97.0
1694262604098,96.0
1694262606690,95.0
1694262608098,96.0
1694262614490,97.0
1694262615689,94.0
1694262616891,91.0
1694262618293,90.0
1694262623290,91.0
1694262627290,92.0
1694262631093,93.0
1694262636104,91.0
1694262637487,90.0
1694262642490,91.0
1694262643886,94.0
1694262645091,95.0
1694262651486,94.0
1694262652885,93.0
1694262659282,92.0
1694262660484,91.0
