,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
0,-0.079014677654,0.1194688563826602,-0.483855,-0.114655795,-0.08705759,-0.04762971375,0.36334014,-0.051207179928000016,0.170902110455826,-0.31672716,-0.122806785,-0.0872786045,-0.02017354975,0.92942095,0.008450956441999995,0.15428792209068884,-0.47905922,-0.04397463825,0.008158922249999999,0.06443572125,0.5335479,2
50,0.027899816259999967,1.022965415290131,-1.4659817,-0.20334476,-0.06836891,0.016537964,6.076038,-0.13897746386800003,1.3298550282944626,-7.932573,-0.277525545,-0.07239079500000001,0.047635198000000004,2.1618593,-0.08279036096999999,1.671451427023722,-3.3258414,-0.2969821675,-0.026373863,0.059003353,10.024923,2
100,-0.037958888998,0.042571078645365745,-0.13732338,-0.06598174375,-0.044325113,-0.014307021875,0.09148598,-0.079823999158,0.049122427656767775,-0.2318716,-0.11175083999999999,-0.080626965,-0.05058813025,0.028600216,-0.0003395939480000018,0.0631686747225133,-0.13306713,-0.0492852935,0.0021500587500000003,0.041563748750000004,0.15008116,2
150,-0.032989902574,0.04501242459887326,-0.09910393,-0.06357539,-0.030913115,-0.01193356525,0.16396332,-0.0758560278868,0.048796207726439264,-0.2779007,-0.09684968050000001,-0.07421660399999999,-0.051433445,0.022645473,0.023108911716999997,0.06666028856958371,-0.079146385,-0.013146281249999999,0.0095210075,0.04389011875,0.296875,2
200,-0.009674834660000017,1.5192165836199263,-4.204319,-0.8371482450000001,-0.0439231395,0.5418996775,2.971075,-0.09799301182,0.432684561619745,-1.1059604,-0.3071148425,-0.123322485,0.09576785674999999,1.2922144,-0.07506912214539999,0.6707851416887594,-1.2386992,-0.705079905,-0.0459706775,0.442441105,1.6475265,2
250,-0.0364601325014,0.1277591477299309,-0.27660704,-0.1299897475,-0.051570892,0.06140374925,0.22495222,-0.028559179676000003,0.19025319790307432,-0.5744095,-0.12363517,-0.0356316575,0.06112182125,0.52473164,0.04403853392999999,0.19726429446982546,-0.40447474,-0.06563353625,0.046128511999999997,0.13623512,0.54663897,2
300,0.18603614344859998,0.5957922901608543,-0.21919727,-0.086247085,0.002701997715,0.08595371225,2.8883557,0.067558869844,0.37767044897610613,-0.83805275,-0.08651399600000001,-0.006557464400000001,0.1080224525,1.5215459,0.1101245171,0.223545993912977,-0.3233099,-0.0126190185,0.055545568000000003,0.14070702,1.0973866,2
350,-0.07463278111999999,0.5267222378992165,-1.1870817,-0.4331439075,-0.08765590000000001,0.29895794,0.90004444,0.036435509432,0.507092727500029,-0.9314108,-0.396358015,0.0131001473,0.3863139175,1.3394375,-0.23711623360800002,0.6876571755060656,-1.5383643,-0.6750177875,-0.25611663,0.13833791,1.7864405,2
400,0.03203340916,1.2544618781888244,-3.338121,-0.3935633275,0.059392214,0.5360028750000001,2.7965813,0.018410236868000016,0.9613757648244593,-2.459487,-0.4523335725,-0.0344357483,0.3344510775,2.4773483,0.034488711139999996,1.1752471774149713,-1.7875466,-0.4561074925,-0.02650094,0.3841496625,6.683748,2
450,0.022482860870800002,0.3413594461633061,-0.6792221,-0.04648363625,-0.0123915675,0.04627311225,1.4113617,0.012228375991999994,0.3762103777140864,-1.0048003,-0.1045897615,-0.0093448162,0.137497545,1.1169887,0.030450583284,0.2711446759934633,-0.8293023,-0.038826823,0.054964304000000005,0.1457243,0.7678571,2
500,-0.006124582427,0.13312241522809595,-0.50101614,-0.060879588250000005,-0.0022106169750000003,0.06865262975,0.2984724,-0.0065299610080000025,0.1529725012193186,-0.39402866,-0.069159744,0.0047194958,0.060609043,0.31593084,0.036740903642,0.0944747543391406,-0.21919727,0.0030333996,0.0468842975,0.09910714550000001,0.19304085,2
550,-0.019314594682,0.366491390650643,-0.69364834,-0.2721834775,-0.039198398499999995,0.2955807425,0.73198867,0.06846493677000001,0.34791373802349,-0.8232899,-0.08202112,0.049874306,0.23960852500000002,1.063859,0.10562447882,0.2953386779123785,-0.7055324,-0.09004754,0.130684615,0.29671263999999997,0.7391679,2
600,0.08011639137599999,0.23848503260941833,-0.442549,-0.101729275,0.0922225725,0.28635651,0.44607353,-0.06084242944000001,0.5312736785238595,-1.8812866,-0.39230322500000003,-0.115103245,0.2534303675,0.8631687,-0.076590310486,0.4483226257273657,-1.2460356,-0.30677737,-0.0351493355,0.15715945,1.1466069,2
650,-0.033908815184,0.39797776647310107,-0.850163,-0.24616003,-0.037467599000000004,0.18310987499999998,1.2173977,0.033838286880000006,0.5412183591591669,-1.0785394,-0.31393688750000004,-0.0248417855,0.2518076875,1.6853108,-0.002486850259999998,0.4403111919556846,-1.5334659,-0.2399177575,0.0013272759999999988,0.2464017825,0.9857807,2
700,0.03232404876000002,1.0618754635479406,-2.5464847,-0.5188227750000001,0.14623618,0.7627242875,2.649541,-0.028015561080000015,0.8885574528780796,-1.7054472,-0.7275503249999999,0.06497991,0.45085959999999997,2.445818,0.018644328189999997,0.5953764211755856,-1.3721285,-0.3762927,0.03900718675,0.410563345,1.265027,2
750,-0.010986078320000037,1.1849416212291366,-3.3587017,-0.4685524175,0.049378633500000005,0.68328083,2.4098554,-0.046701703300000015,1.0853781361738881,-3.452291,-0.9079561325000001,-0.07532978,0.8083270775,2.3018696,0.00797889682,0.7322091442095859,-1.6464705,-0.547899605,0.12434435,0.46601712749999996,1.734426,2
800,0.06141619911999999,1.3064413643642152,-2.833974,-0.5925228499999999,-0.16110503999999998,0.68626916,3.6342716,-0.020949004639999994,1.1519487258687997,-2.5811496,-0.5992439,0.042730569999999996,0.56374258,2.8922632,-0.06531693738000001,0.7850761173850059,-2.6215568,-0.35387123,-0.135150195,0.41168106,1.9744859,2
