,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max
0,0.020559472955199998,0.06816809153331553,-0.07141161,-0.019103944,0.0071194172,0.03500765525,0.245579,-0.018666734578000003,0.08970868755212211,-0.39932442,-0.02981686575,-0.0135563615,0.027522564,0.1787026,0.0548823366006,0.138055710068587,-0.13741398,-0.017691612574999998,0.016697884,0.05584502225,0.6538048
50,0.07965328242000001,0.6459926365480415,-1.1638036,-0.3339360475,-0.0752612935,0.54513886,1.7171946,-0.019244790495999992,0.7970887344468492,-1.7194552,-0.5017801125,-0.054246961999999996,0.3237357675,1.8580601,-0.04577966178000001,0.8033305606137074,-1.6164379,-0.5813033575000001,-0.0344524385,0.528354645,2.2970352
100,0.06066446772000001,0.6295834377906582,-1.4873427,-0.33648738499999997,-0.071864487,0.49330366000000003,1.3217034,-0.0888042655,0.8116009537836342,-2.859233,-0.47925936999999996,-0.06578540999999999,0.4077646725,1.5056438,-0.06404727430400001,0.9571602147045135,-2.0943813,-0.7106793499999999,-0.0389292536,0.578880785,1.9972436
150,0.019356113119999997,0.7541598902056803,-1.1603813,-0.6127299125000001,-0.147473335,0.6376519199999999,1.812448,-0.08405726235000001,1.2489071609646625,-3.5403717,-0.6657308350000001,-0.03038108375,0.8671167775,2.4564757,0.0063618175219999976,0.9121356034715278,-2.0913343,-0.52026795,-0.01443338395,0.846734775,1.7213311
200,-0.059585812879999984,1.1609941948187577,-3.7522192,-0.6713691749999999,0.0421772005,0.692581175,2.8231611,-0.15953916337600002,1.4035334781223763,-3.2917552,-0.926881195,-0.138273075,0.609508185,3.3735616,-0.12524137570000002,1.2615253322071085,-2.2572236,-0.9452201125,-0.27281624,0.544777575,4.728879
250,0.03654989177999997,0.9899645513124591,-1.9725137,-0.63538136,-0.04507589349999999,0.61721946,1.9935026,-0.05272566123799999,1.2495464587652272,-2.7497206,-1.1187029750000002,-0.08121413,0.6078041875,2.9112291,-0.16484358144000003,1.1951375895475906,-2.6783133,-1.1421166999999999,-0.026272535500000006,0.46621841,2.3148205
300,0.051888523279999973,0.9331233369915674,-1.5432172,-0.603975275,-0.13854694299999998,0.70125986,2.127139,-0.11223049251999997,1.038245467514101,-3.4034917,-0.5503652425,-0.06749179999999999,0.3578148825,2.0341864,-0.009477410592000007,1.2340580134558838,-3.3791199,-0.78173601,-0.072107434,0.92951425,2.490395
350,0.007134925160000012,1.0815095893911384,-3.0580883,-0.5322309825,0.0777168275,0.78737475,1.9847136,0.039561594400000025,0.8710292185708782,-2.3629222,-0.5139109774999999,0.06791672,0.50618084,2.4041545,-0.02115409170000003,1.0119699836168585,-3.0704362,-0.5923271225,-0.066168547,0.6440719899999999,2.1682012
400,0.023379202920000015,0.9504762033549745,-1.9731121,-0.6550459875000001,-0.071790217,0.6775729825,2.9753847,0.02176033836,1.076358816606849,-3.7265158,-0.500868285,-0.077972143,0.4329906275,3.11561,0.016297090392000006,0.7829017388995162,-1.6469932,-0.49049091,-0.00848722465,0.5414017250000001,1.6365695
450,0.07763232149999999,0.6179389128081411,-1.5348511,-0.3271380625,0.066944122,0.4381551775,1.4404726,-0.2129393855,0.918967976491282,-3.9822774,-0.559058305,-0.16427197500000001,0.27955771,2.1226504,0.18863826342,0.9894129682379141,-2.3584495,-0.37304961999999997,0.11313939,0.558078175,2.6203463
