,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
0,-0.007151748093999999,0.04594166233620758,-0.10288417,-0.034088523499999995,-0.008732557299999999,0.00893358875,0.1284579,0.009042306136000001,0.06307390408857287,-0.18707848,-0.01901495475,0.0041720867,0.041386125999999995,0.15792418,-4.5318426599999306e-05,0.04029760455168618,-0.1026535,-0.0194420815,-0.006927967,0.02951479,0.10389042,1
50,-0.026486122335999996,0.2484209250123634,-0.7802901,-0.0800261175,-0.014213860250000002,0.0488042225,0.6085788,0.020048074334000007,0.30435683701447536,-0.77317476,-0.11411691,0.0004091263499999996,0.13059794749999998,1.1062455,-0.016463127629999998,0.39346914139916206,-1.4242635,-0.089393855,-0.011712551,0.070116995,1.0948768,1
100,0.0034549308999999966,0.16132222986819367,-0.46939743,-0.0483050045,-0.0081956388,0.04857107975,0.49559748,-0.0277547454584,0.12330942290435251,-0.44661236,-0.0761129875,-0.01355242725,0.039794683750000004,0.35321712,-0.0017345427099999956,0.22517571316914736,-0.7838316,-0.04756641375,-0.00468182565,0.0330971475,0.950902,1
150,0.08560060630799998,1.0877816117071522,-3.8700013,-0.201664055,0.20399791,0.83754156,1.4814205,0.36665242474000004,1.2231736127332165,-1.8755083,-0.2410837375,0.17799878,0.878031195,4.9082336,-0.175170160706,0.5692766167799304,-1.9296646,-0.512018915,-0.17077374,0.28987253749999997,0.9942579,1
200,0.03151101076000001,0.5431029280379036,-1.2994685,-0.13452922750000001,0.089132547,0.390541185,0.81364775,-0.19489002685999998,0.7018431197715748,-1.9245497,-0.5510272700000001,-0.177793385,0.41417258999999995,1.0719306,0.013446196109999997,0.5768853738039562,-1.152535,-0.3104684325,-0.005810260750000001,0.4280222625,1.0252261,1
250,0.07392150540000002,0.5401638721447909,-0.98290706,-0.28658795,0.020823955000000005,0.36038565499999997,1.2549291,-0.09740193803999998,0.5371209483070104,-1.3218672,-0.38919801,-0.13568759,0.1397859475,1.5676082,0.07553914768000002,0.6099341546670832,-0.98152447,-0.2788839325,0.07497144,0.2741885175,2.055983,1
300,-0.06195048111400001,0.31606061688023296,-0.68275714,-0.2318744825,-0.056468605000000005,0.1377171875,0.6077111,-0.12160706255999999,0.35041325712574417,-0.6620066,-0.3471998,-0.156168105,0.12983393499999998,1.049032,-0.0039772508140000044,0.510291233524212,-0.6510029,-0.39786422499999996,-0.1385684,0.18174600000000002,1.2229986,1
350,0.115277046738,0.2554554731320786,-0.6142439,-0.047322214,0.133456825,0.3396032475,0.56623113,0.092086827792,0.33620164988315443,-1.185642,-0.07181016300000001,0.09470653500000001,0.3096565325,0.8346895,-0.04138914063999999,0.24314059603743388,-0.79396725,-0.19363808500000002,-0.015731811,0.128126625,0.37111473,1
400,-0.09320895981999999,1.2112841518095834,-3.3399484,-0.2362557075,0.170263765,0.4519600875,1.8253953,-0.32302556576,1.664327865555607,-5.696523,-0.55914665,0.06093973,0.54147192,1.8472795,-0.0007283504800000048,0.5816540046808102,-1.5046244,-0.1592135425,0.066841365,0.34656047749999996,1.4817991,1
450,0.20738463487999997,0.686883869094779,-0.845965,-0.2143306125,-0.060024855,0.424658475,2.581641,-0.03897292794,0.562109662839547,-2.3542037,-0.1986659775,-0.056076883999999994,0.200600205,1.1379209,-0.09239895538800003,0.5305732521170636,-1.510817,-0.324321755,0.11071777499999999,0.2212147725,0.5848689,1
500,0.34841169646000003,0.8573823325372286,-0.76766396,-0.23906261,0.17406535,0.48145283250000004,2.7470965,0.03169299636999999,0.4612136170045463,-0.96490335,-0.19981348499999999,-0.027576685,0.276902205,1.2051659,-0.25509572316,0.7393016022044959,-2.684548,-0.2918913375,-0.0013966559999999961,0.18323969499999998,0.54403496,1
550,-0.21098889194,1.080876308647482,-4.1159554,-0.483706605,0.0401866435,0.44180667,0.86748314,-0.32568822284,1.0431752023697052,-2.6739933,-1.1135986,-0.33167892499999996,0.406738695,2.68004,0.200671821354,1.016572042232161,-2.2514434,-0.4220083975,0.2886219,0.87997244,2.5165844,1
600,-2.955400000187458e-07,0.651366001039393,-1.1783469,-0.4863668625,-0.12877345,0.52615128,1.8973498,-0.09546954810000001,0.48825323702434087,-1.2868071,-0.38061857,-0.127869405,0.2119650825,1.0665348,0.01607055578,0.48086183120199555,-1.1947384,-0.30733764,0.11460781,0.3720635075,0.9655714,1
650,0.1276628578432,0.4226898429032725,-0.8641558,-0.125898645,0.21396843,0.366138465,1.1368659,0.038663068558399995,0.3697610609155185,-1.6268721,-0.082171215,0.07824313499999999,0.2639249175,0.6800382,-0.14156860414,0.3000596906541199,-0.82335854,-0.332703355,-0.127437115,0.1050472275,0.42572117,1
700,-0.011804208539999994,0.2872017675730334,-1.0866766,-0.1382898275,0.00036060800000000184,0.143572015,0.7021785,-0.03040781052,0.24316928182717562,-0.939386,-0.14441658500000001,-0.0453360385,0.1089893885,0.5570734,0.02955982272,0.34021394184300197,-0.7596922,-0.1558032,0.0863919255,0.22728824749999998,0.6403408,1
750,0.03908132616799999,1.295816559552161,-3.481533,-0.4362631775,-0.0067218543,0.3305613975,3.75839,-0.07530353236000002,0.9842554991359391,-2.973781,-0.4047091275,-0.053441316,0.270371945,2.985899,-0.05148185415399998,1.0087622354813357,-2.9650278,-0.411491865,-0.005850314850000001,0.520090825,1.604886,1
800,0.07648919951,0.27009934055869644,-0.6747098,-0.100278376,0.036183119,0.2584016325,0.69973993,0.012658385496000003,0.5128173471832814,-1.2575476,-0.234018235,0.0496521935,0.345795865,1.190217,0.021769753356000003,0.5189932453337713,-1.4528732,-0.272987245,-0.0195031166,0.31595206,1.169301,1
850,0.010161080020599997,0.2583635279456334,-0.5228142,-0.1417324525,-0.036454201000000006,0.0932374025,0.5609822,-0.18232348436,0.5045636139267733,-1.0632025,-0.5705353025,-0.2004098,0.0433931055,1.1580303,0.039145554459999996,0.4694703120201212,-0.98470974,-0.286197665,0.12997651,0.3317815025,0.852273,1
900,0.16228894798000001,0.40745143580301774,-0.9090816,-0.106779686,0.15624760999999998,0.38288391749999995,1.1767108,0.090796209032,0.39235165404847655,-0.7452674,-0.10904741,0.087327245,0.3288405,1.0422535,-0.038423003431999996,0.2825515897008729,-0.6966791,-0.1717884525,-0.0216670035,0.133170605,0.7449055,1
950,0.022140808791999998,0.115645766918943,-0.18419757,-0.07361369000000001,0.0276678095,0.07809736875,0.2907299,0.06886310990000001,0.2306355498040336,-0.42545843,-0.06628585000000001,0.07322978999999999,0.18131083,0.7657461,0.007374896869999996,0.18109146029323084,-0.6253214,-0.02497506175,0.031695366,0.0758905435,0.5869627,1
1000,-0.005292971311999999,0.2639305977872799,-0.5630489,-0.2173130975,-0.0100010933,0.148263885,0.50855637,-0.043586701716,0.5055956303191728,-0.9371619,-0.441807505,-0.0428304675,0.1601166675,1.1806879,0.02338474176,0.3575134537996618,-0.8191643,-0.16671443000000002,0.047228811499999995,0.24257207,0.8808565,1
