,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
0,0.22141820445300003,0.5861438659811007,-0.8520403,-0.02617301075,0.0551878065,0.2067269175,1.879497,-0.01628011047740001,0.6834744421742516,-2.552803,-0.0698870415,0.0679256925,0.1366815575,1.6614716,0.19144692242599998,0.9135639180224665,-1.5164082,-0.1328518375,0.045808315,0.21662068,3.7287836,1
50,0.26312962501400006,0.25082550172399903,-0.12689555,0.05651494825,0.27272164,0.41770875500000004,0.95886135,0.07698791629,0.5738133688014645,-1.1080077,-0.2107602325,0.0430862905,0.314746975,1.2796947,0.07850452617999999,0.4816682692996881,-0.67075825,-0.19400322,0.0152778625,0.23748708000000002,1.8877201,1
100,0.016613223590799996,0.1678371970599391,-0.4495896,-0.006266474725,0.025595963,0.047813237,0.4069718,0.07593580241400001,0.10994566037368524,-0.29738617,0.03940260425,0.06730770999999999,0.11126089,0.3693595,0.0356646157824,0.10862231789237115,-0.28225422,0.002605915015,0.027323723,0.052024602749999996,0.3434372,1
150,0.015567667459999998,0.01398730778721118,-0.014837861,0.0041182935,0.0159336925,0.02403455975,0.051633,0.0703421302,0.029741631565395745,0.0015182495,0.051811456500000005,0.07112956000000001,0.08600747375000001,0.1467781,0.027408847726000003,0.013902014582862422,-0.010017395,0.017484664749999997,0.026915550500000003,0.0381722455,0.056362152,1
200,0.0193272900104,0.015557859268449508,-0.013489366,0.010440349750000001,0.017132401,0.0271607935,0.08742857,0.0685586642292,0.030898887848477042,-0.01575756,0.0534734725,0.06957864799999999,0.0845264195,0.13573837,0.025192985483999997,0.0139634096315471,-0.006500244,0.01557374025,0.0237112045,0.032501458999999996,0.0649271,1
250,0.022172961228000002,0.021755619089915947,-0.02621746,0.01242721075,0.0207266215,0.029450953000000002,0.10020661,0.064565076528,0.038525886991661686,-0.013106346,0.0432187315,0.065802575,0.0916723025,0.14214087,0.0268202210682,0.016075498929550687,-0.00831604,0.0163328645,0.027938366,0.03583336,0.07188511,1
300,0.023356634679999995,0.45399367331707685,-2.2407124,-0.00141853095,0.056883096499999994,0.16343881500000002,1.0416206,0.10855331978600001,0.9740557958554917,-5.122711,-0.05152714225,0.073118447,0.37544085,3.3636956,0.013064665999999994,0.5010885108647597,-2.7246842,0.00652801975,0.043633461,0.20086372,0.94579124,1
350,0.008499643538000002,0.22104391052750946,-0.62234205,-0.0377668885,0.0084316135,0.039359435,0.94172883,0.020883818888599994,0.30480230017965476,-1.1451015,-0.0132937435,0.022341251,0.042783856499999995,0.8473449,0.035850714996000003,0.2611095624896836,-1.0648599,0.02358901525,0.0543818475,0.1130244725,0.72111464,1
400,-0.2964955935146,0.7919681742005061,-3.5491161,-0.0987841875,-0.001078873865,0.02608744825,0.6888199,0.244362286474,0.6695920816879213,-0.5990033,-0.01419425025,0.017102718500000003,0.041396975,2.8107457,0.009281416379999996,0.9201946532483011,-3.1664462,0.0332329275,0.054908037,0.1652398125,2.2130423,1
450,0.34391503074,0.6709556293301471,-1.5374391,0.0464484695,0.29386878,0.716747755,1.7232151,0.0458772175,0.5138130468540548,-1.3940005,-0.24930298500000003,0.0876088125,0.28364586,1.5944123,0.05431738247,0.682786443787498,-1.6774828,-0.24758958749999999,0.11565065499999999,0.5519249525000001,1.2918768,1
500,0.10508250629999999,1.5824389278980242,-3.5205803,-0.7556473025,0.6497835000000001,1.37437435,2.3802326,-0.011608073560000001,1.1172024997470849,-2.6248207,-0.6790797725000001,0.10575223,0.71158326,2.2569456,0.05027689111999998,1.0179591652509095,-2.7928016,-0.6246314075,0.22789979,0.7377290750000001,1.7870665,1
550,0.028354906339999948,1.9850113100022329,-5.9017305,-0.991263975,0.0324962885,1.10481645,4.2147427,0.007319776699999982,1.0735764131600107,-1.9883575,-0.6266802525,-0.19771313499999998,0.371572845,3.3360133,-0.06544965421400001,1.1359249897940826,-3.0294251,-0.7540239375,-0.11208379299999999,0.6232675325,4.031033,1
600,0.13854935573999996,0.4748544217053368,-1.1052072,-0.050284683749999996,0.20886743000000002,0.4568368175,1.1050639,0.015916968297999986,0.5834515371853215,-0.97619057,-0.43286228,-0.0325140955,0.13891077000000002,1.4916139,0.017951981379999996,0.45556484611456805,-0.97392154,-0.274715155,0.012378215500000001,0.348948835,0.99489427,1
650,0.20768797588,0.49995058000069026,-0.7063172,-0.10558245,0.068632782,0.531925035,1.7416455,-0.02659034684000001,0.6280571587239825,-1.1801987,-0.3627393225,-0.055710211999999995,0.149843745,2.4147396,0.006692442359999991,0.4362370818534001,-1.1054335,-0.20193856,-0.014051914,0.2007918375,1.0964518,1
700,0.02244289588,0.15274564643679028,-0.4014325,-0.05327005775,0.050091222,0.11040823125,0.31992853,0.031644801978,0.280741386406673,-0.7454243,-0.10622292050000001,0.015305005,0.19846152,0.77842724,0.007080993610000003,0.17990805981934332,-0.3701086,-0.1105382425,0.034963131,0.12231659900000001,0.59100914,1
750,-0.0189477823596,0.2435358365105278,-0.87620413,-0.0553366485,0.0008695423599999999,0.08410497750000001,0.45910197,-0.018475209795999998,0.2724229333516387,-0.92189884,-0.06689107375,0.018005847999999998,0.10983246625,0.52498573,-0.029639301107999998,0.27879283657407333,-0.76156235,-0.0780754075,0.014026641999999999,0.0817899705,0.5800867,1
800,0.030552777406,0.235253566607555,-0.3074481,-0.143529285,-0.013391383350000001,0.16148560499999998,0.79036474,0.05515783098000001,0.3403683552729913,-0.88948417,-0.075996025,0.096389815,0.28891968749999997,0.7333323,0.025770492194000006,0.24501106659477903,-0.4479952,-0.1870684625,0.013158798349999999,0.23872375499999998,0.52511406,1
850,0.037804039830000004,0.2413445852940327,-0.46594894,-0.0863143975,0.049288645,0.161155845,0.6287627,0.10645216781799999,0.2852273271063459,-0.46731997,-0.06754612875,0.09355402,0.32301103000000003,0.78196,0.04214115184600001,0.25057636582205306,-0.4282241,-0.1363208275,0.0342783925,0.2282793525,0.652061,1
900,0.08975736664000002,0.6067707182544939,-1.1012497,-0.207205295,0.0469151735,0.44633922000000004,1.5918105,-0.07545180900799998,0.48539454117757685,-1.5521584,-0.2329841875,-0.059361385,0.2652028375,0.7814737,-0.08183929179459999,0.437405039926074,-1.3544769,-0.185525175,0.017420530134999997,0.1369369075,0.5306163,1
