time,x,y,z
1688984036716,0.2875648,0.47403142,-0.6760751
1688984037239,0.057268616,1.340391,-2.3423629
1688984037766,-0.19150625,-0.08536842,-0.12705997
1688984038292,0.060170226,0.024587326,-0.013744468
1688984038821,-0.033292156,-0.10705414,-0.07467828
1688984039349,0.107665,-0.16432275,-0.48838675
1688984039875,0.513585,-0.71837753,-0.120493166
1688984040400,-0.124005646,-0.07544186,-0.020158553
1688984040929,0.057726767,-0.009468411,0.0030543262
1688984041455,-0.75915277,1.4769194,-0.4728097
1688984041982,0.08659015,0.25671613,0.33948836
1688984042508,0.21120666,-0.013439035,0.07849618
1688984043035,0.20112738,0.7556403,0.25228736
1688984043561,0.13057245,0.26206118,0.045356743
1688984044088,0.030848695,0.032986723,-0.0030543262
1688984044615,0.69806623,-1.225243,0.44684792
1688984045139,-0.13607024,-0.0038179078,0.010842858
1688984045669,0.045662176,-0.01863139,0.08552113
1688984046195,-0.030085113,-0.025503624,0.0070249503
1688984046722,0.25030205,-0.124769226,-0.029321533
1688984047246,-0.082924955,-0.022143865,-0.01160644
1688984047776,-0.02687807,0.004428773,0.011911872
1688984048303,-0.08093964,0.0071776668,0.0053450707
1688984048828,-0.01817324,0.037110064,0.02107485
1688984049355,-0.048258353,-0.047647487,-9.162979E-4
1688984049881,-0.11927144,0.02107485,0.014660766
1688984050409,-0.12996158,0.02733622,0.013133603
1688984050935,0.014202617,0.018020526,0.01282817
1688984051463,0.018325957,0.013439035,0.0050396384
1688984051987,0.043218717,0.017562376,0.004428773
1688984052516,-0.019547688,0.004428773,-0.0013744468
1688984053043,0.01160644,-0.039858956,-0.015118915
1688984053569,-0.24846944,-0.004581489,-0.001985312
1688984054096,-0.06383542,0.02031127,0.0070249503
1688984054620,0.11652254,-0.005192355,-0.008399397
1688984055149,0.0936151,-0.025045475,-0.016493361
1688984055676,0.044745877,0.019394971,0.014202617
1688984056203,0.041996986,0.011911872,0.001985312
1688984056730,0.007483099,0.011148291,0.005192355
1688984057254,0.038026363,0.010842858,0.002443461
1688984057783,0.12629639,-0.013133603,-4.5814895E-4
1688984058309,-0.060322944,-0.016493361,-0.0027488936
1688984058836,0.00870483,0.0030543262,0.0041233404
1688984059360,-0.009315695,0.020463986,0.012980887
1688984059890,0.044135015,-0.0030543262,-0.0032070426
1688984060415,-0.0096211275,-0.005955936,0.001985312
1688984060943,-0.046883907,-0.030848695,-0.017256944
1688984061468,0.028099801,-0.005497787,0.009315695
1688984061996,-0.016340645,-0.004428773,0.0013744468
1688984062523,-0.051465396,-7.6358154E-4,0.0067195175
1688984063050,-0.012217305,-4.5814895E-4,0.0022907446
1688984063577,0.02855795,0.0021380284,-0.0021380284
1688984064104,0.016340645,6.1086525E-4,-0.0013744468
1688984064628,0.09208794,-0.0022907446,-0.009773844
1688984065156,9.162979E-4,-0.009468411,-0.0050396384
1688984065684,-0.052534413,-0.03726278,-0.024740042
1688984066209,-0.034513887,0.0015271631,0.0016798794
1688984066737,0.06795876,0.02855795,0.012217305
1688984067263,-0.052839845,-0.0056505036,0.009468411
1688984067788,0.26099217,0.0033597588,0.00992656
1688984068317,-0.029321533,0.0021380284,0.0012217305
1688984068844,-0.005192355,-0.0070249503,-0.0016798794
1688984069371,-0.03145956,-0.0067195175,6.1086525E-4
1688984069895,0.06490443,0.004428773,-0.0021380284
1688984070424,0.015118915,0.004276057,-0.0015271631
1688984070951,-0.03894266,-0.007330383,0.0
1688984071477,-0.0065668016,0.0018325958,0.0010690142
1688984072004,-0.25305092,0.008093964,0.013744468
1688984072531,-0.107665,0.057421334,0.02611449
1688984073055,0.1601994,0.020005837,0.016493361
1688984073584,-0.17348573,-4.5814895E-4,0.0067195175
1688984074111,-0.05421429,0.02031127,0.0033597588
1688984074637,-0.025809057,0.012675454,0.0056505036
1688984075165,-0.064446285,-0.0053450707,-0.0021380284
1688984075689,0.57864213,0.016340645,0.010537425
1688984076218,-0.6574437,-0.122478485,-0.110413894
1688984076744,-0.91965765,-0.05589417,-0.0693332
1688984077271,-0.13454308,0.033750303,0.0364992
1688984077798,2.4222333,0.1638646,0.30573806
1688984078324,-0.0852157,-0.025809057,0.018478673
1688984078851,-0.75701475,-0.04505131,-0.054519724
1688984079378,0.013744468,0.013439035,0.002443461
1688984079904,-0.064446285,-0.021533,-0.021685716
1688984080429,0.07086037,-0.0022907446,0.0062613687
1688984080959,0.047800206,0.002443461,-0.0041233404
1688984081484,0.18203785,-0.04230242,-0.009468411
1688984082011,-0.084146686,0.004581489,-0.002443461
1688984082538,-0.013897184,-0.010231993,-0.004581489
1688984083062,-0.022907447,-0.00290161,9.162979E-4
1688984083592,-0.0076358155,0.0035124752,0.0018325958
1688984084118,-0.0022907446,-0.007941248,-0.0032070426
1688984084645,0.015577064,0.005497787,0.0033597588
1688984085169,-0.042760566,-0.013133603,-0.007788532
1688984085698,0.053450707,0.0027488936,-0.0021380284
1688984086225,-0.06337727,-0.0071776668,-0.007330383
1688984086752,0.035124753,-0.042913284,-0.020616703
1688984087278,0.065515295,0.030085113,0.005497787
1688984087806,0.016187929,-0.005497787,0.0036651916
1688984088332,0.09712757,0.00580322,0.014813482
1688984088859,0.025503624,-0.029168816,-0.013591751
1688984089385,0.0062613687,-0.0018325958,-6.1086525E-4
1688984089909,0.20815234,-0.025809057,0.010079277
1688984090439,-0.118202426,0.010995574,0.0038179078
1688984090965,-0.100334615,0.004581489,0.0062613687
1688984091493,-0.0571159,0.007330383,-3.0543262E-4
1688984092017,0.007330383,0.0065668016,0.0027488936
1688984092546,-9.162979E-4,-7.6358154E-4,-3.0543262E-4
1688984093073,-0.018478673,-0.002443461,0.0013744468
1688984093599,9.162979E-4,0.0027488936,0.002443461
1688984094126,-0.004276057,-7.6358154E-4,-7.6358154E-4
1688984094652,0.0143553335,0.007788532,0.00992656
1688984095177,-0.030848695,-0.005955936,-3.0543262E-4
1688984095710,-0.02687807,-0.0018325958,-0.0
1688984096233,0.0010690142,0.00580322,0.004886922
1688984096759,0.010537425,-0.0033597588,-0.0018325958
1688984097286,0.0041233404,-0.0015271631,-0.0027488936
1688984097812,-0.029932396,-0.0050396384,-0.0
1688984098339,0.01160644,0.005497787,0.0032070426
1688984098866,0.0076358155,0.003970624,0.0013744468
1688984099390,-0.009010263,-0.0038179078,-4.5814895E-4
1688984099919,-0.016646078,-0.005192355,-3.0543262E-4
1688984100443,-0.011911872,-0.008246681,-0.0015271631
1688984100973,-0.029321533,-0.0015271631,0.002443461
