time,rssi
1061890714,-80
1061891806,-77
1061892910,-79
1061894033,-71
1061895147,-77
1061896259,-77
1061897368,-81
1061898485,-80
1061899604,-71
1061900720,-71
1061901829,-80
1061902946,-71
1061904063,-77
1061905158,-71
1061906270,-74
1061907386,-71
1061908493,-76
1061909614,-71
1061910723,-81
1061911830,-82
1061912950,127
1061914057,-82
1061915164,-79
1061916288,-74
1061917396,-79
1061918514,-76
1061919623,-74
1061920733,-79
1061921833,-73
1061922952,-81
1061924062,-78
1061925179,-84
1061926297,-80
1061927403,-80
1061928517,-74
1061929627,-83
1061930739,-79
1061931848,-74
1061932961,-84
1061934069,-70
1061935186,-70
1061936296,-70
1061937407,-74
1061938517,-83
1061939626,-79
1061940736,-74
1061941847,-79
1061942962,-76
1061944060,-75
1061945179,-75
1061946286,-80
1061947396,-83
1061948509,-74
1061949606,-74
1061950725,-79
1061951823,-85
1061952926,-80
1061954044,-80
1061955152,-85
1061956248,-83
1061957363,-74
1061958468,-74
1061959573,-73
1061960686,-85
1061961786,-71
1061962904,-71
1061964004,-76
1061965116,-83
1061966223,-74
1061967333,-80
1061968438,-79
1061969551,-74
1061970665,-75
1061971779,-75
1061972888,-71
1061975102,-82
1061976209,-85
1061977321,-74
1061978432,-79
1061979533,-71
1061980647,-81
1061981761,-82
1061982865,-80
1061983979,-74
1061985094,-82
1061986201,-79
1061987315,-78
1061988429,-78
1061989538,-86
1061990650,-87
1061991763,-80
1061992872,-79
1061993981,-79
1061995091,-79
1061996200,-88
1061997309,-76
1061998423,-84
1061999528,-83
1062000638,-88
1062001740,-82
1062002851,-85
1062003953,-85
1062005065,-84
1062006175,-81
1062007286,-91
1062008393,-82
1062009504,-85
1062011721,-83
1062012816,-81
1062013928,-80
1062015041,-88
1062016152,-78
1062017266,-86
1062018376,-81
1062019484,-82
1062020592,-82
1062021692,-82
1062022803,-84
1062023916,-80
1062025027,-87
1062026137,-77
1062027245,-78
1062028355,-81
1062029451,-81
1062030567,-81
1062032783,-81
1062033899,-89
1062035010,-79
1062036119,-81
1062037226,-81
1062038339,-81
1062039446,-81
1062040553,-81
1062041664,-81
1062042774,-88
1062043882,-90
1062044982,-79
1062046085,-81
1062047200,-81
1062048307,-81
1062049420,-81
1062050523,-81
1062051641,-79
1062052747,-78
1062053856,-78
1062054963,-81
1062056074,-81
1062057183,-81
1062058295,-81
1062059401,-81
1062060513,-89
1062061625,-88
1062062733,-78
1062063841,-81
1062064947,-81
1062066057,-81
1062067165,-81
1062068276,-81
1062069380,-87
1062070489,-79
1062071602,-78
1062072703,-78
1062074917,-81
1062076017,-81
1062077130,-81
1062078230,-88
1062079343,-78
1062080445,-79
1062081558,-81
1062082658,-81
1062083767,-81
1062084878,-81
1062085978,-81
1062087086,-81
1062088186,-92
1062089288,-79
1062090396,127
1062091504,-81
1062092603,-81
1062093705,-81
1062094815,-81
1062095924,-81
1062097033,-79
1062098139,-78
1062099251,-81
1062100355,-81
1062101467,-80
1062102573,-86
1062103675,-80
1062104787,-86
1062105900,-79
1062106997,-85
1062108110,-89
1062109215,-80
1062110321,-81
1062111429,-81
1062112535,-81
1062113644,-81
1062114756,-78
1062115862,-78
1062116971,-78
1062118082,-81
1062119181,-80
1062120292,-80
1062121403,-81
1062122506,-81
1062123623,-85
1062124731,-85
1062125839,-78
1062126948,-81
1062128057,-81
1062129161,-81
1062130271,-89
1062131378,-81
1062132488,-78
1062133598,-78
1062134708,-85
1062135816,-81
1062136922,-80
1062138031,-81
1062139136,-81
1062140247,-88
1062141355,-78
1062142467,-78
1062143572,-78
1062144682,-81
1062145781,-81
1062146891,-81
1062148002,-81
1062149109,-80
1062150209,-85
1062151322,-79
1062152436,-85
1062153541,-81
1062155758,-81
1062156865,-80
1062157976,-81
1062159081,-80
1062160196,-78
1062161301,-78
1062162411,-81
1062163516,-89
1062164625,-81
1062165733,-80
1062166843,127
1062167947,-81
1062169058,-78
1062170165,-81
1062171274,-81
1062172380,-82
1062173490,-79
1062174591,-81
1062175700,-82
1062176799,-77
1062177909,-74
1062179020,-75
1062180118,-65
1062181222,127
1062182326,-73
1062183427,-69
1062184532,-63
1062185639,-63
1062186753,-61
1062187860,-63
1062188968,-63
1062189681,-64
1062190955,-60
1062192057,-60
1062193159,-59
1062194261,-64
1062195363,-71
1062196464,-74
1062197581,-63
1062198681,-64
1062199791,-75
1062200893,-70
1062201997,-74
1062203097,-70
1062204207,-74
1062205318,-74
1062206420,-74
1062207538,-70
1062208630,-71
1062209747,-83
1062210851,-77
1062211958,-78
1062213057,-78
1062214170,-76
1062215271,-76
1062216382,-68
1062217494,-74
1062218602,-67
1062219706,-70
1062220815,-71
1062221921,-84
1062223030,-75
1062224134,-79
1062225236,-76
1062226347,-73
1062227448,-86
1062228551,-72
1062229665,-76
1062230762,-74
1062231872,-72
1062232971,-75
1062234071,-74
1062235184,-72
1062236281,-73
1062237392,-69
1062238495,-69
1062239606,-69
1062240708,-73
1062241811,-75
1062242915,-82
1062244016,-71
1062245122,-78
1062246224,-74
1062247331,127
1062248432,-72
1062249535,-77
1062250635,-80
1062251744,-77
1062252844,-71
1062253955,-78
1062255055,-81
1062256158,-78
1062257260,-70
1062258361,-71
1062259471,-76
1062260571,-71
1062261677,-73
1062262777,-75
1062263891,-74
1062264988,-78
1062266099,-83
1062267197,-78
1062268310,-75
1062269408,-75
1062270515,-81
1062271614,-80
1062272719,-76
1062273828,-79
1062274931,-79
1062276040,-79
1062277140,-82
1062278240,-80
1062279344,-74
1062280459,-73
1062281555,-74
1062282670,-73
1062283772,-73
1062284885,-76
1062285993,-77
1062287100,-78
1062288205,-75
1062289313,-74
1062290421,-67
1062291520,-72
1062292632,-72
1062293729,-69
1062294834,-70
1062295936,127
1062297041,-81
1062298146,-82
1062299249,-70
1062300361,-82
1062301456,-81
1062302567,-82
1062303667,-81
1062304769,-69
1062305873,-70
1062306990,-71
1062308096,-71
1062309204,-75
1062310304,-70
1062311406,-70
1062312522,-68
1062313627,-76
1062314734,-70
1062315846,-65
1062316953,-70
1062318058,-81
1062319165,-74
1062320274,-85
1062321381,-72
1062322490,-73
1062323600,-74
1062324711,-70
1062325817,-77
1062326917,-69
1062328027,-83
1062329134,-72
1062330240,-68
1062331346,-76
1062332448,-69
1062333556,-75
1062334664,-67
1062335762,-67
1062336874,-68
1062337973,-68
1062339086,-68
1062340184,-70
1062341293,-82
1062342395,-74
1062343507,-87
1062344612,-84
1062345717,-69
1062346831,-69
1062347938,-69
1062349048,-69
1062350145,-69
1062351248,-66
1062352361,-68
1062353458,-65
1062354568,-70
1062355668,-69
1062356779,-84
1062357887,-70
1062358996,-68
1062360095,-70
1062361195,-78
1062362298,-78
1062363409,-81
1062364517,-69
1062365626,-83
1062366733,-69
1062367830,-68
1062368944,-69
1062370044,-65
1062371150,-65
1062372251,-68
1062373359,-86
1062374471,-71
1062375579,-71
1062376673,-70
1062377785,-70
1062378884,-68
1062379999,-83
1062381107,-68
1062382212,-86
1062383314,-70
1062384424,-70
1062385526,-74
1062386634,-73
1062387744,-76
1062388853,-68
1062389947,-71
1062391053,-77
1062392163,-84
1062393265,-76
1062394371,-77
1062395479,-83
1062396588,-81
1062397699,-71
1062398809,-80
1062399915,-82
1062401020,-83
1062402128,-80
1062403233,-74
1062404340,-80
1062405451,-72
1062406551,-71
1062407660,-71
1062408772,-73
1062409872,-79
1062410978,-79
1062412087,-73
1062413188,-75
1062414301,-73
1062415411,-75
1062416517,-74
1062417625,-79
1062418732,-73
1062419838,-79
1062420940,-78
1062422049,-74
1062423155,-75
1062424270,-82
1062425378,-83
1062426488,-70
1062427591,-83
1062428688,-70
1062429800,-83
1062430908,-83
1062432015,-88
1062433121,-67
1062434221,-86
1062435329,-82
1062436439,-82
1062437545,-89
1062438653,-88
1062439759,-70
1062440868,-70
1062441977,-67
1062443084,-67
1062444193,-85
1062445300,-82
1062446404,-82
1062447513,-81
1062448619,-82
1062449719,-70
1062450831,-86
1062451935,-87
1062453046,-87
1062454146,-82
1062455259,-70
1062456364,-70
1062457472,-88
1062458583,-70
1062459690,-67
1062460798,-79
1062461906,-67
1062463018,-83
1062464120,-90
1062465231,-68
1062466334,-67
1062467436,-79
1062468553,-79
1062469659,-79
1062470770,-67
1062471879,-91
1062472992,-81
1062474099,-88
1062475207,-67
1062476311,-87
1062477422,-68
1062478528,-67
1062479638,-80
1062480747,-75
1062481854,-78
1062482966,-68
1062484073,-80
1062485182,-80
1062486286,-70
1062487392,-70
1062488503,-82
1062489607,-82
1062489957,-82
1062491200,-68
1062492311,-68
1062493420,-68
1062494516,-68
1062495627,-80
1062496734,-79
1062497844,-79
1062498949,-80
1062500057,-80
1062501165,-86
1062502279,-90
1062503387,-93
1062504494,-86
1062505591,-86
1062506704,-78
1062507815,-67
1062508919,-79
1062510026,-85
1062511138,-89
1062512239,-81
1062513352,-70
1062514462,-70
1062515571,-81
1062516672,-80
1062517788,-79
1062518896,-86
1062519997,-88
1062521103,-70
1062522214,-91
1062523317,-70
1062524425,-70
1062525536,-67
1062526640,-80
1062527752,-90
1062528861,-82
1062529961,-83
1062531065,-70
1062532176,-70
1062533276,-71
1062534391,-81
1062535497,-91
1062536598,-80
1062537712,-84
1062538817,-70
1062539923,-83
1062541033,-83
1062542142,-83
1062543246,-82
1062544357,-67
1062545462,-80
1062546572,-84
1062547677,-84
1062548783,-83
1062549888,-84
1062551000,-82
1062552104,-81
1062553214,-70
1062554319,-66
1062555423,-65
1062556533,-69
1062557643,-79
1062558748,-75
1062559847,-75
1062560958,-87
1062562061,-73
1062563163,-72
1062564276,-87
1062565381,-77
1062566489,-76
1062567597,-82
1062568699,-79
1062569810,-79
1062570920,-80
1062572029,-75
1062573138,-85
1062574248,-79
1062575351,-84
1062576458,-75
1062577567,-72
1062578675,-80
1062579782,-74
1062580890,-79
1062581999,-83
1062583101,-79
1062584210,-86
1062585311,-72
1062586421,-83
1062587527,-71
1062588637,-68
1062589745,-69
1062590853,-78
1062591961,-73
1062593060,-79
1062594167,-73
1062595277,-76
1062596385,-76
1062597488,-72
1062598596,-69
1062599704,-71
1062600813,-72
1062601919,-72
1062603024,-75
1062604135,-77
1062605241,-72
1062606347,-73
1062607455,-69
1062608561,-69
1062609674,-72
1062610781,-73
1062611887,-80
1062612989,-61
1062614101,-68
1062615207,-66
1062616320,-71
1062617417,-70
1062618530,-75
1062619636,-83
1062620745,-85
1062621848,-89
1062622949,-89
1062625157,-86
1062626264,-86
1062627366,-87
1062628476,-84
1062629583,-86
1062630692,-87
1062631793,-87
1062632905,-87
1062634011,-87
1062635117,-86
1062636223,-89
1062637332,-88
1062642860,-85
1062643968,-88
1062645072,-87
1062646180,-87
1062649495,-86
1062651707,-88
1062652815,-88
1062653921,-88
1062655027,-88
1062657244,-87
1062660565,-89
1062661665,-90
1062662772,-90
1062663879,-86
1062670516,-85
1062671622,-89
1062672725,-87
1062673830,-87
1062674938,-88
1062676045,-87
1062678259,-87
1062679365,-91
1062680472,-87
1062681577,-90
1062687108,-87
1062688215,-85
1062689325,-89
1062690431,-92
1062691533,-91
1062697060,-89
1062698165,-88
1062699271,-84
1062700380,-87
1062701482,-86
1062702587,-86
1062703695,-86
1062704800,-86
1062705909,-88
1062707017,-88
1062708122,-85
1062709229,-85
1062712547,-88
1062713652,-88
1062714757,-86
1062715866,-94
1062716970,-89
1062718075,-86
1062723606,-89
1062724712,-94
1062725819,-90
1062726924,-85
1062733562,-90
1062734670,-85
1062735779,-85
1062739096,-88
1062742415,-89
1062743517,-86
1062744626,-86
1062749053,-88
1062751265,-85
1062752370,-85
1062753477,-95
1062754584,-85
1062760109,-86
1062761215,-86
1062762322,-85
1062763429,-95
1062765641,-87
1062766747,-87
1062768960,-90
1062770068,-93
1062771174,-94
1062772280,-85
1062773385,-87
1062774489,-86
1062777804,-91
1062778912,-88
1062780016,-88
1062781123,-87
1062783333,-86
1062786650,-86
1062787754,-87
1062788864,-88
1062789967,-88
1062791504,-84
1062792607,-84
1062793714,-85
1062794820,-87
1062795927,-81
1062797031,-85
1062798138,-85
1062799241,-88
1062800343,-81
1062801450,-84
1062802556,-88
1062803661,-81
1062804766,-81
1062805871,-84
1062806976,-87
1062808083,-89
1062809189,-84
1062810293,-86
1062811403,-86
1062816925,-86
1062818031,-90
1062819138,-89
1062820245,-89
1062825766,-87
1062826872,-86
1062827978,-86
1062829084,-88
1062834604,-82
1062835710,-83
1062836813,-93
1062837919,-86
1062839025,-88
1062840128,-89
1062841234,-88
1062842341,-89
1062843443,-89
1062844548,-92
1062845654,-85
1062846756,-84
1062853390,-91
1062854495,-97
1062855600,-89
1062862228,-89
1062863333,-91
1062864438,-90
1062867753,-87
1062868859,-88
1062871068,-84
1062872175,-83
1062873278,-82
1062874383,-86
1062875487,-84
1062876591,-87
1062877697,-88
1062878799,-86
1062879904,-82
1062881011,-82
1062882113,-82
1062883219,-87
1062884323,-87
1062885427,-85
1062886534,-85
1062887641,-87
1062888744,-83
1062889849,-83
1062890953,-92
1062892057,-84
1062893165,-87
1062894270,-87
1062895374,-87
1062896481,-87
1062897587,-87
1062898691,-82
1062899794,-82
1062900899,-87
1062902000,-87
1062903107,-86
1062904210,-87
1062905316,-87
1062906421,-87
1062907524,-83
1062908631,-91
1062909736,-85
1062910840,-85
1062911944,-87
1062913049,-87
1062914154,-86
1062915257,-87
1062916361,-83
1062917464,-83
1062918571,-83
1062919674,-85
1062920778,-84
1062921884,-87
1062924091,-87
1062925196,-83
1062926302,-94
1062927405,-82
1062928512,-87
1062929616,-87
1062930717,-90
1062931823,-88
1062932925,-86
1062934032,-84
1062935139,-95
1062936244,-83
1062937349,-85
1062938454,-87
1062939556,-87
1062940665,-86
1062942872,-85
1062943977,-91
1062945083,-91
1062946188,-87
1062947292,-87
1062948395,-89
1062949500,-86
1062950606,-85
1062951711,-82
1062952816,-83
1062953922,-89
1062955027,-89
1062957234,-88
1062958338,-86
1062959439,-83
1062960545,-87
1062961652,-82
1062962759,-90
1062963864,-86
1062964968,-86
1062966075,-86
1062967180,-86
1062968285,-84
1062969391,-86
1062970496,-82
1062971601,-82
1062972707,-89
1062973813,-84
1062974916,-84
1062976019,-87
1062977128,-86
1062978233,-84
1062979339,-83
1062980443,-82
1062981552,-87
1062982654,-85
1062983759,-84
1062984864,-84
1062985967,-86
1062987071,-84
1062988176,-82
1062989281,-82
1062990388,-82
1062991493,-85
1062992596,-86
1062993702,-86
1062994808,-84
1062995911,-84
1062997015,-82
1062998120,-88
1062999223,-88
1063000328,-86
1063001431,-87
1063002536,-86
1063003643,-85
1063004744,-84
1063005848,-86
1063006955,-82
1063008060,-82
1063009164,-85
1063010270,-86
1063011372,-86
1063012476,-85
1063013582,-85
1063014683,-86
1063015789,-82
1063016897,-82
1063018000,-87
1063019104,-87
1063020209,-86
1063021316,-87
1063022420,-86
1063023524,-84
1063024628,-90
1063025734,-90
1063026839,-84
1063027943,-88
1063029049,-86
1063030155,-87
1063031262,-85
1063032367,-86
1063033475,-91
1063034576,-82
1063035681,-83
1063036787,-84
1063037893,-86
1063038999,-87
1063040101,-85
1063041206,-87
1063042311,-83
1063043417,-90
1063044520,-86
1063045626,-86
1063046729,-87
1063047833,-87
1063050044,-85
1063051149,-89
1063052255,-82
1063053360,-82
