time,rssi
1066288546,-62
1066289781,-73
1066290881,-70
1066291990,-66
1066293087,-68
1066294189,-72
1066295292,-64
1066296404,-67
1066297502,-69
1066298619,-62
1066299713,-74
1066300822,-69
1066301932,-63
1066303039,-58
1066304144,-66
1066305245,-70
1066306358,-66
1066307455,-77
1066308571,-86
1066309683,-75
1066310783,-78
1066311886,-82
1066312988,-74
1066314093,-77
1066315204,-71
1066316314,-66
1066317421,-76
1066318527,-79
1066319627,-70
1066320734,-69
1066321842,-69
1066322948,-73
1066324056,-72
1066325160,-78
1066326266,-75
1066327373,-78
1066328478,-72
1066329582,127
1066330690,-69
1066331802,-70
1066332892,-74
1066334002,-71
1066335111,-70
1066336215,-78
1066337314,-73
1066338428,-71
1066339528,-77
1066340638,-77
1066341745,-77
1066342860,-74
1066343960,-69
1066345067,-76
1066346166,-78
1066347269,-76
1066348380,-77
1066349480,-76
1066350589,-76
1066351698,-68
1066352804,-68
1066353907,-72
1066355012,-77
1066356107,-75
1066357216,-75
1066358315,-78
1066359427,-77
1066360525,-75
1066361634,-69
1066362728,-73
1066363841,-72
1066364945,-76
1066366047,-76
1066367147,-78
1066369355,-67
1066370464,-69
1066371573,-73
1066372679,-72
1066373777,-78
1066374890,-77
1066375992,-71
1066377103,-78
1066378202,-75
1066379310,-76
1066380414,-69
1066381523,-72
1066382630,-72
1066383738,-72
1066384842,-71
1066385949,-77
1066387056,-69
1066388161,-69
1066389269,-73
1066390376,-76
1066391478,-72
1066392580,-77
1066393689,-71
1066394797,-77
1066395899,-77
1066397011,-70
1066398121,-75
1066399228,-73
1066400330,-74
1066401437,-74
1066402541,-79
1066403646,-74
1066404753,-74
1066405861,-71
1066406969,-71
1066408075,-79
1066409175,-79
1066410277,-74
1066411393,-75
1066412485,-76
1066413594,-78
1066414694,-76
1066415809,-76
1066416907,-77
1066418013,-80
1066419112,-76
1066421318,-72
1066422433,-74
1066423535,-72
1066424640,-69
1066425746,-68
1066426851,-74
1066427957,-75
1066429064,-74
1066431273,-74
1066432377,-68
1066433491,-72
1066434593,-68
1066435702,-71
1066436806,-68
1066437911,-72
1066439009,127
1066440118,-72
1066441225,-69
1066442330,-68
1066443439,-69
1066444552,-76
1066445650,-75
1066446748,-69
1066447850,-64
1066448957,-71
1066450067,-75
1066451177,-67
1066452277,-66
1066453388,-65
1066454494,-66
1066455601,-53
1066456705,-53
1066457815,-57
1066458919,-65
1066460026,-68
1066461132,-71
1066462241,-74
1066463340,-74
1066464452,-74
1066465559,-74
1066466671,-74
1066467769,-81
1066468878,-86
1066469992,-89
1066471097,-96
1066475520,-81
1066476618,-84
1066477726,-70
1066478832,-80
1066479943,-86
1066481045,-85
1066486556,-92
1066487669,-93
1066488765,-95
1066489878,-88
1066495387,-89
1066496500,-88
1066497595,-88
1066498708,-87
1066505321,-89
1066506424,-89
1066507534,-91
1066514160,-89
1066515270,-88
1066516375,-89
1066523005,-89
1066524108,-94
1066525211,-89
1066531846,-89
1066532953,-88
1066534064,-97
1066540686,-89
1066541792,-89
1066542900,-89
1066544003,-88
1066549516,-90
1066550627,-89
1066551731,-88
1066552838,-89
1066559468,-89
1066560570,-88
1066561680,-99
1066568305,-97
1066569408,-88
1066570515,-88
1066577138,-95
1066578238,-89
1066579349,-88
1066585979,-88
1066587091,-89
1066588194,-96
1066589995,-89
1066591097,-90
1066592196,-87
1066593308,-88
1066594404,-94
1066595508,-88
1066596617,-90
1066597714,-90
1066598818,-86
1066599918,-90
1066601032,-91
1066602131,-85
1066603243,-92
1066604347,-92
1066605451,-89
1066606553,-90
1066607662,-90
1066608759,-91
1066615397,-85
1066616505,-92
1066617614,-91
1066618722,-86
1066624244,-85
1066625352,-86
1066626460,-92
1066627563,-91
1066634195,-93
1066635295,-86
1066636402,-92
