time,bpm
1688988441476,89.0
1688988443594,90.0
1688988446190,91.0
1688988449989,93.0
1688988453795,94.0
1688988456389,92.0
1688988458989,91.0
1688988460198,92.0
1688988462788,93.0
1688988464192,92.0
1688988465386,89.0
1688988466588,88.0
1688988467984,87.0
1688988469194,88.0
1688988470583,84.0
1688988471786,86.0
1688988472991,87.0
1688988474384,89.0
1688988475589,90.0
1688988476983,86.0
1688988478190,84.0
1688988479390,83.0
1688988480782,81.0
1688988481988,78.0
1688988483381,77.0
1688988484589,78.0
1688988485789,74.0
1688988487185,73.0
1688988488383,72.0
1688988489776,70.0
1688988490987,69.0
1688988492188,70.0
1688988493578,69.0
1688988494782,70.0
1688988496179,71.0
1688988498577,69.0
1688988499983,68.0
1688988501192,67.0
1688988502575,66.0
1688988504975,65.0
1688988507576,64.0
1688988512776,63.0
1688988513972,62.0
1688988517775,63.0
1688988519175,64.0
1688988520374,65.0
1688988521773,64.0
1688988522970,65.0
1688988525570,64.0
1688988526772,65.0
1688988528173,64.0
1688988530580,63.0
1688988535771,64.0
1688988538366,63.0
1688988539570,64.0
1688988540970,63.0
1688988542170,64.0
1688988544764,65.0
1688988545970,67.0
1688988547367,70.0
1688988548568,72.0
1688988549772,71.0
1688988551166,70.0
1688988558769,69.0
1688988561365,70.0
1688988565165,71.0
1688988566562,70.0
1688988567771,71.0
1688988570363,72.0
1688988571563,71.0
1688988576764,72.0
1688988579360,71.0
1688988581762,72.0
1688988583163,71.0
1688988584363,70.0
1688988586957,72.0
1688988588160,77.0
1688988589562,75.0
1688988593366,76.0
1688988594557,77.0
1688988595955,78.0
1688988597154,79.0
1688988598555,80.0
1688988599753,82.0
1688988600954,84.0
1688988602359,86.0
1688988604950,87.0
1688988608750,86.0
1688988609949,85.0
1688988611352,82.0
1688988612549,80.0
1688988615146,83.0
1688988616355,86.0
1688988618947,87.0
1688988620151,93.0
1688988621544,91.0
1688988622754,92.0
1688988625348,91.0
1688988629146,92.0
1688988631739,94.0
1688988632947,96.0
1688988634344,97.0
1688988636937,96.0
1688988638141,92.0
1688988639349,86.0
1688988640735,84.0
1688988641940,83.0
1688988644545,82.0
1688988645736,81.0
1688988647135,80.0
1688988648342,78.0
1688988652136,77.0
1688988653536,78.0
1688988657335,77.0
1688988661132,78.0
1688988667529,79.0
1688988668930,78.0
1688988677726,77.0
1688988688120,76.0
1688988690527,77.0
1688988693121,76.0
1688988694518,77.0
1688988695721,76.0
1688988700918,77.0
1688988714923,78.0
1688988716118,77.0
1688988718719,76.0
1688988721315,75.0
1688988726511,74.0
1688988727712,73.0
1688988730317,72.0
1688988731513,71.0
1688988734115,70.0
1688988735319,71.0
1688988739315,72.0
1688988740514,74.0
1688988745708,73.0
1688988748109,74.0
1688988749505,73.0
1688988750705,74.0
1688988759703,75.0
1688988763501,74.0
1688988767312,73.0
1688988776308,72.0
1688988777697,73.0
1688988780105,72.0
1688988782703,73.0
1688988786502,71.0
1688988794298,72.0
1688988795496,71.0
1688988803291,72.0
1688988807099,71.0
1688988809686,72.0
1688988813492,71.0
1688988814689,70.0
1688988819891,69.0
1688988821087,70.0
1688988822487,69.0
1688988830083,70.0
1688988839080,71.0
1688988846682,70.0
1688988850483,71.0
1688988853083,72.0
1688988854474,73.0
1688988855676,72.0
1688988856880,71.0
1688988858273,70.0
1688988862078,71.0
1688988864671,72.0
1688988867272,73.0
1688988868479,74.0
1688988871072,75.0
1688988873668,74.0
1688988876071,73.0
1688988877474,72.0
1688988880070,74.0
1688988882469,73.0
1688988885069,71.0
1688988888871,70.0
1688988890271,69.0
1688988892869,68.0
1688988900463,67.0
1688988904264,66.0
1688988912061,67.0
1688988917058,68.0
1688988919659,70.0
1688988920861,72.0
1688988922256,73.0
1688988926059,74.0
1688988927266,73.0
1688988928657,72.0
1688988931253,73.0
1688988932456,74.0
1688988933658,76.0
1688988935054,80.0
1688988936266,79.0
1688988938856,80.0
1688988940056,79.0
1688988941453,80.0
1688988942654,79.0
1688988945258,80.0
1688988946454,81.0
1688988947851,80.0
1688988949051,79.0
1688988950448,78.0
1688988951651,76.0
1688988952851,75.0
1688988954251,74.0
1688988956846,73.0
1688988964445,72.0
1688988967041,71.0
1688988977240,72.0
1688988978443,73.0
1688988979838,72.0
1688988993834,71.0
1688989004037,70.0
1688989008028,71.0
1688989010433,72.0
1688989011827,71.0
1688989024623,70.0
1688989027222,71.0
1688989028431,72.0
1688989031025,71.0
1688989032225,72.0
1688989033620,71.0
1688989037424,72.0
1688989038622,73.0
1688989042418,72.0
1688989046418,71.0
1688989052817,73.0
1688989054015,74.0
1688989055220,73.0
1688989056614,71.0
1688989057820,70.0
1688989059213,69.0
1688989064216,68.0
1688989066811,69.0
1688989068015,70.0
1688989070612,69.0
1688989072007,70.0
1688989074413,69.0
1688989075807,68.0
1688989079614,67.0
1688989084803,66.0
1688989086007,65.0
1688989096202,64.0
1688989097600,65.0
1688989103998,66.0
1688989106400,67.0
1688989108997,66.0
1688989114195,67.0
