time,bpm
1694264525256,79.0
1694264526445,81.0
1694264534050,80.0
1694264535444,81.0
1694264538043,82.0
1694264540448,83.0
1694264544442,84.0
1694264545644,85.0
1694264546848,87.0
1694264548247,89.0
1694264555846,90.0
1694264557244,88.0
1694264558441,87.0
1694264559652,86.0
1694264561039,83.0
1694264562249,82.0
1694264564839,81.0
1694264566044,80.0
1694264567438,81.0
1694264570039,83.0
1694264573843,82.0
1694264575041,83.0
1694264578844,82.0
1694264581446,83.0
1694264584039,85.0
1694264585247,87.0
1694264586637,90.0
1694264587843,92.0
1694264589240,90.0
1694264590439,92.0
1694264591638,96.0
1694264594244,95.0
1694264596837,93.0
1694264598035,91.0
1694264599436,92.0
1694264600636,90.0
1694264603242,91.0
1694264604435,93.0
1694264608429,92.0
1694264609633,91.0
1694264610834,89.0
1694264612237,88.0
1694264613430,87.0
1694264616036,88.0
1694264617238,89.0
1694264622429,87.0
1694264623630,86.0
1694264630029,85.0
1694264635233,86.0
1694264636429,87.0
1694264640425,85.0
1694264641624,84.0
1694264642829,83.0
1694264650620,84.0
1694264657020,85.0
1694264658226,87.0
1694264659617,86.0
1694264660820,85.0
1694264663418,84.0
1694264666017,83.0
1694264669816,84.0
1694264677419,83.0
1694264680028,84.0
1694264682613,85.0
1694264683821,86.0
1694264685217,85.0
1694264692813,86.0
1694264695415,87.0
1694264699221,88.0
1694264704408,89.0
1694264706811,90.0
1694264709408,88.0
1694264710805,87.0
1694264714618,88.0
1694264717210,89.0
1694264723604,91.0
1694264726008,92.0
1694264728603,90.0
1694264730005,89.0
1694264731214,87.0
1694264732404,86.0
1694264733807,85.0
1694264735003,87.0
1694264736407,88.0
1694264738802,90.0
1694264741400,89.0
1694264744000,88.0
1694264745206,85.0
1694264746594,84.0
1694264747799,85.0
1694264749204,86.0
1694264754204,85.0
1694264755597,84.0
1694264756797,83.0
1694264758002,84.0
1694264763201,85.0
1694264764401,86.0
1694264765794,87.0
1694264766996,88.0
1694264770799,87.0
1694264773399,86.0
1694264777207,87.0
1694264781197,85.0
1694264782392,88.0
1694264783597,86.0
1694264786202,87.0
1694264787590,88.0
1694264788792,86.0
1694264789996,87.0
1694264792600,86.0
1694264797789,87.0
1694264800387,86.0
1694264806787,87.0
1694264807992,88.0
1694264814394,89.0
1694264816987,88.0
1694264818195,89.0
1694264819584,91.0
1694264820788,88.0
1694264825983,89.0
1694264829786,92.0
1694264830984,96.0
1694264833587,97.0
1694264836191,96.0
1694264837383,95.0
1694264838782,94.0
1694264839981,92.0
1694264843782,91.0
1694264846379,92.0
1694264847582,93.0
1694264850185,92.0
1694264851583,91.0
1694264855378,92.0
1694264856579,91.0
1694264857978,90.0
1694264859183,89.0
1694264861776,87.0
1694264862978,85.0
1694264866781,84.0
1694264868180,85.0
1694264871973,86.0
1694264873185,87.0
1694264880972,88.0
1694264882183,89.0
1694264883570,91.0
1694264885980,90.0
1694264888574,89.0
1694264889969,86.0
1694264891175,85.0
1694264892379,83.0
1694264900172,82.0
1694264901374,81.0
1694264905180,82.0
1694264906568,84.0
1694264911567,83.0
1694264912966,82.0
1694264914174,83.0
1694264915561,84.0
1694264916766,85.0
1694264917965,86.0
1694264919365,87.0
1694264921960,85.0
1694264923170,84.0
1694264924363,85.0
1694264925763,86.0
1694264926963,85.0
1694264928358,86.0
1694264929562,85.0
1694264932171,86.0
1694264937166,84.0
1694264938562,85.0
1694264939759,86.0
1694264944959,87.0
1694264946163,89.0
1694264947568,90.0
1694264948757,92.0
1694264949958,93.0
1694264951358,95.0
1694264952556,97.0
1694264953958,100.0
1694264955161,102.0
1694264957754,100.0
1694264958955,99.0
1694264960353,94.0
1694264961554,91.0
1694264962766,88.0
1694264964152,86.0
1694264965358,84.0
1694264966756,81.0
1694264967952,79.0
1694264969158,78.0
1694264970551,77.0
1694264971752,76.0
