time,content
0010000,センシング開始
0031000,カルピスを注ぐ
0051000,コップで飲む
0065000,トングを掴む
0074000,食材を掴む
0082000,食材を置く
0104000,食材を戻す
0111000,食材をかき混ぜる
0256000,食材を掴む
0278000,食材をかき混ぜる
0288000,食材を掴む
0307000,食材をかき混ぜる
0480000,休憩
0496000,食材をかき混ぜる
0502000,休憩
0514000,食材をかき混ぜる
0524000,休憩
0530000,食材をかき混ぜる
0546000,休憩
0574000,焚き火の調整
0649000,食材をかき混ぜる
0669000,休憩
0698000,焚き火の調整
0786000,食材をかき混ぜる
0814000,休憩
0837000,食材をかき混ぜる
0851000,焚き火の調整
0905000,休憩
0916000,焚き火の調整
0943000,食材をかき混ぜる
0972000,焚き火の調整
1000000,コップで飲む
1004000,休憩
1021000,焚き火の調整
1039000,休憩
1078000,食材をかき混ぜる
1133000,休憩
1177000,ソースをかける
1194000,食材をかき混ぜる
1205000,焚き火の調整
1231000,休憩
1240000,ソースをかける
1245000,食材をかき混ぜる
1292000,休憩
1310000,取り分ける
1400000,鉄板をひっくり返す
1493000,食べる
1576000,鉄板を抑える
1601000,肉を置く
1632000,食べる
1760000,センシングストップ
