time,rssi
2049480576,-85
2049481835,-90
2049482932,-86
2049484041,-90
2049485140,-83
2049486229,-81
2049487354,-76
2049488445,-87
2049489537,-79
2049490665,-78
2049491783,-81
2049492868,-81
2049493973,-78
2049495079,-73
2049496183,-78
2049497279,-84
2049498389,-79
2049499486,-81
2049500595,-78
2049501720,-76
2049502814,-84
2049503923,-84
2049505025,-85
2049506137,-81
2049507234,-81
2049508340,-86
2049509446,-80
2049510547,-81
2049511665,-84
2049512770,-78
2049513870,-84
2049514983,-95
2049516079,-88
2049517184,-87
2049518289,-93
2049519376,-85
2049520493,-85
2049521618,-85
2049522708,-89
2049523816,-89
2049524910,-82
2049526021,-82
2049527103,-81
2049528236,-81
2049529333,-81
2049530435,-84
2049531536,-84
2049532643,-90
2049533750,-86
2049534849,-83
2049535973,-82
2049537064,-86
2049538169,-83
2049539275,-82
2049540385,-87
2049541490,-89
2049542597,-85
2049543709,-86
2049544799,-92
2049545913,-78
2049547018,-89
2049548133,-91
2049549233,-90
2049550327,-89
2049551444,-93
2049552546,-93
2049553656,-90
2049554748,-87
2049555859,-82
2049556974,-78
2049558072,-81
2049559171,-82
2049560281,-78
2049561391,-80
2049562493,-83
2049563606,-81
2049564703,-79
2049565805,-77
2049566913,-88
2049568014,-89
2049569124,-86
2049570217,-85
2049571342,-92
2049572439,-84
2049573543,-85
2049574650,-88
2049575760,-87
2049576860,-95
2049577956,-95
2049579073,-89
2049580179,-84
2049581297,-92
2049582393,-93
2049583505,-87
2049584604,-90
2049585712,-93
2049586818,-91
2049587929,-92
2049589029,-92
2049590139,-92
2049591235,-90
2049592348,-82
2049593449,-89
2049594557,-90
2049595666,-83
2049596771,-86
2049597879,-88
2049598982,-95
2049600087,-95
2049601208,-88
2049602300,-87
2049603413,-97
2049604510,-86
2049605597,-87
2049606719,-91
2049607831,-90
2049608908,-85
2049610025,-94
2049611155,-91
2049612254,-90
2049613349,-93
2049614447,-88
2049615548,-87
2049616659,-86
2049617765,-86
2049618876,-85
2049619986,-87
2049621094,-87
2049622189,-85
2049623309,-90
2049624407,-89
2049625490,-90
2049626612,-86
2049627727,-86
2049628826,-93
2049629929,-96
2049631044,-92
2049632147,-91
2049633239,-93
2049634362,-89
2049635470,-94
2049636564,-89
2049637670,-89
2049638780,-94
2049639883,-91
2049640994,-91
2049642103,-93
2049643197,-93
2049644307,-93
2049645418,-94
2049646518,-93
2049647627,-82
2049648728,-96
2049649833,-92
2049650946,-92
2049652059,-92
2049653144,-91
2049654254,-90
2049655355,-91
2049656471,-90
2049657573,-89
2049658677,-87
2049659779,-97
2049660887,-90
2049661997,-89
2049663097,-94
2049664209,-91
2049665305,-92
2049666412,-88
2049667533,-92
2049668625,-94
2049669729,-89
2049670837,-87
2049671961,-92
2049673049,-91
2049674153,-92
2049675260,-91
2049676356,-89
2049677466,-92
2049678576,-95
2049679683,-93
2049680792,-94
2049681901,-92
2049682993,-96
2049684109,-91
2049685209,-91
2049686319,-90
2049687422,-90
2049688527,-91
2049689644,-91
2049690739,-93
2049691843,-92
2049692943,-92
2049694056,-95
2049695160,-93
2049696258,-92
2049697366,-90
2049698475,-92
2049699575,-92
2049700680,-91
2049701806,-90
2049702897,-91
2049704009,-96
2049705099,-92
2049706207,-92
2049707310,-95
2049708429,-96
2049709527,-92
2049710639,-90
2049711753,-91
2049712844,-91
2049713938,-93
2049715051,-95
2049716164,-96
2049717259,-98
2049718361,-88
2049719479,-92
2049720580,-82
2049721687,-84
2049722795,-78
2049723895,-75
2049725002,-80
2049726104,-82
2049727195,-80
2049728292,-80
2049729403,-76
2049730504,-84
2049731637,-83
2049732711,-75
2049733833,-90
2049734927,-96
2049736041,-92
2049737145,-92
2049738241,-93
2049739353,-94
2049740469,-91
2049741566,-89
2049742664,-86
2049743778,-86
2049744883,-88
2049745986,-88
2049747100,-85
2049748198,-88
2049749308,-87
2049750405,-91
2049751519,-92
2049752615,-89
2049753725,-90
2049754825,-95
2049755944,-87
2049757043,-91
2049758142,-88
2049759251,-90
2049760358,-89
2049761475,-93
2049762566,-89
2049763680,-91
2049764782,-90
2049765881,-90
2049766985,-88
2049768089,-91
2049769204,-87
2049770314,-88
2049771419,-88
2049772528,-91
2049773615,-88
2049774732,-91
2049775838,-89
2049776948,-91
2049778050,-87
2049779153,-89
2049780250,-87
2049780824,-92
2049782154,-88
2049783245,-89
2049784368,-90
2049785463,-91
2049786562,-91
2049787661,-93
2049788779,-93
2049789878,-96
2049790974,-93
2049792086,-93
2049793185,-93
2049794306,-92
2049795400,-93
2049796508,-89
2049797593,-88
2049798703,-88
2049799819,-88
2049800933,-87
2049802032,-91
2049803137,-90
2049804249,-90
2049805350,-91
2049806459,-95
2049807563,-95
2049809760,-97
2049810876,-95
2049811994,-95
2049813081,-94
2049814189,-93
2049815304,-96
2049816402,-99
2049817505,-95
2049818611,-98
2049820821,-95
2049821944,-90
2049823031,-95
2049824139,-92
2049825255,-73
2049826347,-73
2049827457,-82
2049828569,-82
2049829667,-73
2049830765,-81
2049831882,-81
2049832982,-81
2049834091,-73
2049835196,-73
2049836304,-80
2049837406,-74
2049838514,-82
2049839625,-73
2049840720,-73
2049841838,-73
2049842931,-73
2049844049,-71
2049845150,-73
2049846261,-74
2049847360,-77
2049848479,-73
2049849573,-74
2049850672,-74
2049851789,-80
2049852890,-79
2049854001,-72
2049855110,-72
2049856213,-73
2049857317,-80
2049858424,-79
2049859531,-73
2049860638,-79
2049861747,-80
2049862836,-79
2049863953,-72
2049865057,-74
2049866170,-73
2049867278,-73
2049868384,-73
2049869489,-73
2049870588,-72
2049871698,-72
2049872801,-73
2049873885,-72
2049874998,-73
2049876107,-81
2049877223,-72
2049878318,-72
2049879428,-74
2049880534,-74
2049881655,-81
2049882744,-74
2049883848,-73
2049884962,-74
2049886065,-82
2049887166,-73
2049888259,-74
2049889376,-75
2049890491,-83
2049891603,-76
2049892702,-75
2049893804,-82
2049894901,-75
2049896011,-77
2049897131,-76
2049898231,-90
2049899339,-87
2049900429,-79
2049901549,-79
2049902652,-77
2049903749,-86
2049904860,-79
2049905971,-79
2049907073,-76
2049908156,-76
2049909277,-85
2049910388,-85
2049911485,-79
2049912587,-78
2049913700,-75
2049914809,-77
2049915908,-77
2049917015,-79
2049918115,-78
2049919226,-82
2049920327,-80
2049921459,-81
2049922544,-87
2049923653,-84
2049924752,-91
2049925861,-88
2049926968,-87
2049928078,-86
2049929181,-92
2049930299,-87
2049931401,-89
2049932503,-86
2049933601,-83
2049934708,-81
2049935823,-79
2049936922,-82
2049938029,-80
2049939131,-89
2049940241,-78
2049941349,-83
2049942453,-85
2049943564,-88
2049944665,-77
2049945762,-80
2049946877,-80
2049947978,-96
2049949071,-78
2049950180,-79
2049951297,-81
2049952395,-82
2049953493,-79
2049954605,-78
2049955711,-80
2049956826,-79
2049957921,-89
2049959023,-89
2049960132,-76
2049961246,-80
2049962344,-80
2049963449,-88
2049964554,-77
2049965677,-76
2049966763,-79
2049967879,-80
2049968965,-88
2049970072,-74
2049971189,-79
2049972293,-88
2049973398,-87
2049974500,-75
2049975619,-75
2049976718,-75
2049977821,-82
2049978925,-81
2049980033,-85
2049981150,-85
2049982244,-85
2049983346,-79
2049984456,-91
2049985539,-88
2049986661,-85
2049987771,-75
2049988871,-87
2049989986,-80
2049991092,-88
2049992186,-79
2049993295,-78
2049994393,-76
2049995493,-80
2049996615,-75
2049997708,-79
2049998824,-81
2049999926,-86
2050001035,-83
2050002131,-80
2050003238,-77
2050004349,-80
2050005457,-79
2050006558,-78
2050007658,-78
2050008774,-78
2050009862,-82
2050010985,-84
2050012094,-82
2050013186,-89
2050014286,-91
2050015397,-77
2050016505,-78
2050017610,-80
2050018721,-93
2050019832,-93
2050020933,-81
2050022045,-81
2050023141,-81
2050024249,-95
2050025354,-78
2050026456,-82
2050027560,-81
2050028679,-82
2050029765,-95
2050030880,-77
2050032005,-80
2050033090,-77
2050034181,-81
2050035300,-78
2050036393,-78
2050037506,-81
2050038606,-78
2050039717,-77
2050040827,-76
2050041932,-71
2050043036,-69
2050044139,-72
2050045228,-74
2050046345,-73
2050047449,-67
2050048565,-73
2050049661,-73
2050050775,-67
2050051879,-67
2050052975,-75
2050054078,-73
2050055189,-78
2050056297,-93
2050057399,-77
2050058505,-78
2050059613,-80
2050060713,-85
2050061830,-72
2050062923,-75
2050064028,-76
2050065155,-74
2050066246,-77
2050067348,-76
2050068454,-77
2050069559,-89
2050070667,-90
2050071783,-76
2050072881,-76
2050073985,-76
2050075088,-77
2050076202,-90
2050077299,-74
2050078410,-76
2050079515,-84
2050080617,-82
2050081122,-74
2050082417,-78
2050083520,-74
2050084626,-80
2050085729,-78
2050086849,-73
2050087937,-75
2050089042,-81
2050090148,-89
2050091251,-87
2050092362,-77
2050093458,-77
2050094555,-91
2050095676,-77
2050096768,-77
2050097879,-78
2050098985,-83
2050100080,-77
2050101203,-73
2050102301,-80
2050103407,-81
2050104514,-75
2050105596,-74
2050106720,-74
2050107825,-73
2050108941,-78
2050110045,-79
2050111146,-74
2050112235,-82
2050113339,-72
2050114449,-76
2050115552,-74
2050116668,-74
2050117769,-82
2050118865,-84
2050119982,-77
2050121093,-75
2050122193,-73
2050123296,-79
2050124401,-77
2050125515,-69
2050126608,-74
2050127714,-74
2050128824,-76
2050129929,-73
2050131018,-73
2050132145,-72
2050133243,-82
2050134349,-77
2050135454,-79
2050136564,-84
2050137668,-77
2050138775,-80
2050139883,-77
2050140989,-77
2050142095,-83
2050143196,-77
2050144305,-92
2050145411,-75
2050146516,-77
2050147622,-86
2050148733,-86
2050149831,-75
2050150928,-75
2050152047,-78
2050153146,-89
2050154257,-77
2050155367,-77
2050156468,-78
2050157575,-77
2050158672,-77
2050159784,-85
2050160897,-74
2050161987,-91
2050163099,-75
2050164204,-78
2050165310,-79
2050166412,-93
2050167505,-89
2050168622,-77
2050169719,-79
2050170836,-78
2050171939,-79
2050173022,-78
2050174142,-79
2050175257,-79
2050176355,-81
2050177460,-97
2050178564,-78
2050179669,-77
2050180777,-80
2050181885,-80
2050182990,-92
2050184095,-76
2050185208,-77
2050186310,-79
2050187411,-92
2050188525,-91
2050189625,-77
2050190732,-77
2050191822,-93
2050192934,-91
2050194045,-91
2050195149,-77
2050196256,-79
2050197367,-85
2050198445,-83
2050199570,-83
2050200680,-76
2050201781,-78
2050202878,-81
2050203990,-81
2050205094,-76
2050206204,-78
2050207295,-78
2050208416,-76
2050209517,-79
2050210619,-76
2050211728,-77
2050212835,-79
2050213941,-91
2050215047,-79
2050216160,-81
2050217256,-90
2050218366,-90
2050219474,-74
2050220560,-75
2050221694,-75
2050222787,-79
2050223886,-75
2050224997,-75
2050226104,-80
2050227201,-87
2050228314,-84
2050229417,-85
2050230528,-79
2050231634,-75
2050232743,-75
2050233839,-80
2050234948,-79
2050236053,-75
2050237155,-79
2050238259,-75
2050239370,-79
2050240477,-79
2050241591,-80
2050242685,-80
2050243783,-79
2050244895,-87
2050245999,-74
2050247107,-81
2050248212,-83
2050249315,-86
2050250421,-87
2050251542,-79
2050252614,-79
2050253730,-87
2050254836,-84
2050255946,-87
2050257061,-81
2050258152,-81
2050259258,-80
2050260369,-73
2050261481,-76
2050262579,-74
2050263687,-81
2050264790,-85
2050265897,-79
2050266997,-77
2050268091,-78
2050269214,-74
2050270314,-74
2050271428,-78
2050272516,-78
2050273620,-85
2050274736,-74
2050275847,-78
2050276942,-76
2050278049,-74
2050279157,-77
2050280259,-79
2050281383,-78
2050282473,-88
2050283570,-87
2050284691,-73
2050285791,-78
2050286894,-74
2050287995,-78
2050289108,-75
2050290218,-74
2050291323,-95
2050292427,-77
2050293529,-76
2050294633,-94
2050295740,-74
2050296862,-91
2050297950,-89
2050299057,-79
2050300172,-75
2050301276,-78
2050302370,-91
2050303479,-74
2050304586,-74
2050305695,-73
2050306794,-75
2050307901,-69
2050309016,-68
2050310112,-73
2050311219,-73
2050312322,-72
2050313411,-74
2050314535,-69
2050315637,-69
2050316751,-69
2050317850,-68
2050318962,-68
2050320058,-74
