time,rssi
2044798747,-76
2044800014,-71
2044801129,-71
2044802224,-65
2044803326,-72
2044804439,-77
2044805535,-82
2044806646,-68
2044807745,-74
2044808848,-72
2044809951,-70
2044811067,-72
2044812158,-67
2044813271,-71
2044814369,-71
2044815481,-70
2044816577,-73
2044817686,-73
2044818790,-71
2044819890,-71
2044821025,-70
2044822106,-69
2044823204,-70
2044824313,-66
2044825412,-76
2044826520,-80
2044827627,-83
2044828728,-80
2044829833,-73
2044830945,-78
2044832045,-77
2044833156,-80
2044834255,-79
2044835361,-74
2044836466,-74
2044837575,-73
2044838670,-73
2044839773,-75
2044840892,-79
2044841985,-77
2044843090,-82
2044844199,-79
2044845300,-80
2044846407,-77
2044847511,-81
2044848614,-78
2044849722,-83
2044850829,-77
2044851935,-81
2044853041,-79
2044854135,-80
2044855242,-84
2044856349,-89
2044857461,-88
2044858561,-87
2044859671,-82
2044860758,-81
2044861883,-93
2044862975,-85
2044864087,-92
2044865185,-88
2044866297,-78
2044867396,-79
2044868498,-80
2044869603,-86
2044870708,-80
2044871820,-82
2044872920,-76
2044874027,-73
2044875135,-71
2044876232,-73
2044877342,-75
2044878441,-83
2044879538,-78
2044880654,-77
2044881745,-76
2044882856,-83
2044883973,-78
2044885065,-77
2044886169,-83
2044887280,-79
2044888384,-78
2044889488,-74
2044890599,-79
2044891702,-82
2044892801,-79
2044893912,-81
2044895009,-81
2044896122,-77
2044897222,-81
2044898321,-76
2044899437,-85
2044900536,-91
2044901645,-86
2044902739,-81
2044903854,-82
2044904959,-84
2044906058,-88
2044907168,-82
2044908267,-102
2044909375,-93
2044910484,-88
2044911584,-87
2044912685,-89
2044913790,-91
2044914896,-89
2044916005,-85
2044917114,-76
2044918215,-73
2044919311,-70
2044920426,-72
2044921532,-83
2044922629,-87
2044923735,-74
2044924839,-86
2044925947,-86
2044927049,-76
2044928155,-75
2044929267,-79
2044930363,-81
2044931474,-72
2044932565,-76
2044933663,-78
2044934763,-74
2044935877,-79
2044936989,-72
2044938092,-72
2044939193,-80
2044940288,-70
2044941403,-78
2044942503,-77
2044943605,-75
2044944711,-79
2044945816,-78
2044946914,-76
2044948024,-76
2044949128,-78
2044950226,-80
2044951340,-78
2044952442,-79
2044953554,-73
2044954649,-70
2044955759,-91
2044956866,-80
2044957973,-77
2044959081,-81
2044960183,-81
2044961288,-83
2044962388,-84
2044963500,-91
2044964602,-82
2044965710,-81
2044966820,-84
2044967916,-84
2044969022,-87
2044970132,-83
2044971230,-85
2044972333,-90
2044973427,-78
2044974549,-76
2044975648,-78
2044976743,-87
2044977855,-73
2044978962,-74
2044980080,-76
2044981173,-65
2044982279,-71
2044983384,-71
2044984489,-71
2044985594,-71
2044986701,-75
2044987799,-66
2044988897,-68
2044990012,-69
2044991121,-66
2044992219,-66
2044993319,-72
2044994430,-72
2044995533,-67
2044996627,-66
2044997749,-72
2044998847,-73
2044999940,-74
2045001061,-85
2045002161,-81
2045003266,-79
2045004376,-79
2045005463,-79
2045006585,-81
2045007681,-84
2045008788,-79
2045009897,-78
2045011011,-80
2045012102,-79
2045013216,-85
2045014314,-83
2045015417,-87
2045016530,-84
2045017635,-86
2045018730,-84
2045019839,-85
2045020941,-89
2045022054,-88
2045023162,-75
2045024261,-79
2045025373,-77
2045026470,-81
2045027577,-78
2045028684,-81
2045029796,-81
2045030900,-79
2045032003,-80
2045033108,-82
2045034216,-81
2045035316,-81
2045036422,-79
2045037520,-90
2045038628,-94
2045039739,-80
2045040846,-80
2045041943,-85
2045043051,-87
2045044141,-82
2045045251,-81
2045046373,-87
2045047452,-84
2045048564,-86
2045049682,-81
2045050770,-88
2045051877,-77
2045052992,-83
2045054085,-74
2045055201,-72
2045056301,-64
2045057411,-75
2045058509,-78
2045059615,-84
2045060720,-74
2045061825,-95
2045062935,-82
2045064040,-81
2045065140,-74
2045066232,-74
2045067342,-91
2045068451,-87
2045069544,-85
2045070653,-87
2045071770,-79
2045072875,-78
2045073978,-92
2045075080,-85
2045076198,-82
2045077296,-92
2045078393,-84
2045079510,-79
2045080598,-87
2045081712,-76
2045082814,-84
2045083918,-84
2045085021,-80
2045086129,-79
2045087232,-78
2045088335,-81
2045089443,-82
2045090545,-69
2045091645,-66
2045092761,-73
2045093862,-73
2045094972,-71
2045096072,-64
2045097176,-74
2045098289,-66
2045098993,-74
2045100319,-73
2045101422,-73
2045102526,-90
2045103621,-85
2045104728,-79
2045105831,-80
2045106929,-81
2045108037,-84
2045109144,-84
2045110250,-81
2045111353,-83
2045112463,-89
2045113562,-80
2045114669,-72
2045115779,-76
2045116877,-68
2045117983,-84
2045119092,-68
2045120191,-71
2045121308,-91
2045122407,-77
2045123495,-79
2045124608,-82
2045125720,-79
2045126816,-76
2045127924,-76
2045129027,-76
2045130139,-78
2045131231,-79
2045132347,-75
2045133446,-78
2045134549,-77
2045135651,-77
2045136763,-79
2045137862,-77
2045138961,-77
2045140065,-81
2045141177,-82
2045142274,-77
2045143384,-76
2045144483,-78
2045145600,-75
2045146696,-75
2045147802,-76
2045148894,-75
2045150007,-75
2045151114,-76
2045152224,-76
2045153321,-74
2045154431,-79
2045155523,-85
2045156633,-87
2045157744,-79
2045158835,-82
2045159945,-86
2045161054,-85
2045162159,-83
2045163259,-74
2045164358,-81
2045165471,-79
2045166581,-85
2045167676,-79
2045168785,-78
2045169896,-83
2045170983,-86
2045172093,-75
2045173195,-74
2045174305,-72
2045175419,-72
2045176515,-90
2045177623,-89
2045178732,-78
2045179834,-79
2045180940,-88
2045182055,-95
2045183149,-79
2045184261,-83
2045185365,-86
2045186464,-83
2045187568,-63
2045188673,-62
2045189774,-63
2045190893,-71
2045191995,-73
2045193091,-69
2045194193,-72
2045195308,-80
2045196403,-72
2045197510,-71
2045198622,-74
2045199729,-69
2045200837,-71
2045201946,-69
2045203042,-69
2045204146,-74
2045205257,-79
2045206358,-71
2045207463,-71
2045208566,-76
2045209672,-79
2045210773,-79
2045211894,-78
2045212987,-77
2045214092,-81
2045215206,-82
2045216296,-79
2045217412,-79
2045218513,-77
2045219613,-81
2045220719,-74
2045221825,-74
2045222928,-78
2045224026,-81
2045225143,-78
2045226243,-74
2045227348,-79
2045228460,-79
2045229559,-73
2045230668,-79
2045231775,-73
2045232873,-83
2045233985,-79
2045235083,-73
2045236192,-78
2045237290,-73
2045238402,-79
2045239501,-79
2045240605,-74
2045241712,-77
2045242815,-81
2045243927,-80
2045245029,-74
2045246129,-80
2045247232,-74
2045248339,-74
2045249445,-79
2045250556,-81
2045251652,-80
2045252755,-79
2045253859,-84
2045254963,-88
2045256068,-82
2045257174,-84
2045258285,-87
2045259381,-77
2045260488,-78
2045261601,-78
2045262700,-72
2045263808,-79
2045264912,-78
2045266022,-72
2045267121,-71
2045268227,-79
2045269327,-78
2045270424,-72
2045271543,-78
2045272639,-77
2045273744,-81
2045274854,-81
2045275954,-81
2045277059,-81
2045278170,-80
2045279265,-79
2045280370,-83
2045281497,-80
2045282585,-79
2045283687,-78
2045284784,-78
2045285897,-75
2045287003,-83
2045288094,-89
2045289210,-92
2045290307,-88
2045291422,-92
2045292521,-74
2045293633,-79
2045294732,-86
2045295844,-81
2045296940,-79
2045298053,-83
2045299150,-91
2045300256,-71
2045301368,-75
2045302467,-84
2045303574,-84
2045304680,-78
2045305779,-92
2045306884,-71
2045307991,-84
2045309094,-76
2045310186,-71
2045311301,-69
2045312397,-91
2045313509,-87
2045314613,-72
2045315717,-88
2045316820,-73
2045317930,-92
2045319031,-89
2045320144,-68
2045321247,-78
2045322352,-68
2045323452,-73
2045324556,-79
2045325665,-77
2045326772,-79
2045327870,-83
2045328974,-74
2045330082,-69
2045331191,-72
2045332287,-74
2045333397,-68
2045334501,-72
2045335603,-72
2045336708,-68
2045337814,-80
2045338920,-71
2045340030,-64
2045341126,-62
2045342233,-75
2045343343,-82
2045344443,-81
2045345549,-84
2045346649,-87
2045347755,-76
2045348860,-77
2045349973,-84
2045351063,-77
2045352172,-84
2045353274,-73
2045354379,-74
2045355485,-83
2045356602,-68
2045357699,-70
2045358801,-67
2045359904,-86
2045361014,-93
2045362118,-90
2045363226,-77
2045364324,-73
2045365436,-81
2045366539,-67
2045367642,-69
2045368746,-70
2045369858,-70
2045370965,-72
2045372055,-68
2045373160,-70
2045374270,-69
2045375369,-69
2045376484,-66
2045377578,-66
2045378692,-68
2045379796,-69
2045380894,-74
