time,rssi
2114820647,-66
2114821902,-86
2114823009,-70
2114824127,-85
2114825230,-67
2114826350,-96
2114827466,-78
2114828573,-91
2114829692,-70
2114831934,-73
2114834179,-72
2114836431,-70
2114838675,-82
2114840917,-76
2114842037,-65
2114843158,-68
2114845405,-67
2114846530,-67
2114847653,-69
2114848774,-68
2114852130,-75
2114854368,-78
2114855491,-68
2114856613,-74
2114858862,-76
2114859986,-73
2114861117,-74
2114862245,-69
2114863374,-74
2114865636,-72
2114866767,-66
2114869020,-79
2114870155,-78
2114871264,-77
2114872396,-78
2114873520,-77
2114874650,-81
2114875780,-79
2114876915,-78
2114878040,-79
2114880282,-76
2114882534,-69
2114883659,-79
2114884788,-76
2114887040,-77
2114888174,-84
2114889299,-73
2114890429,-84
2114891543,-68
2114892670,-63
2114896039,-76
2114897166,-66
2114899419,-68
2114902804,-86
2114903935,-76
2114905064,-77
2114906176,-66
2114907300,-78
2114908415,-59
2114909525,-58
2114910628,-60
2114911754,-64
2114912871,-64
2114917380,-70
2114918509,-82
2114919626,-71
2114920745,-72
2114921866,-83
2115022311,-62
2115024542,-66
2115025660,-80
2115026778,-76
2115030130,-72
2115031252,-75
2115033502,-68
2115035756,-73
2115036872,-73
2115038003,-68
2115039138,-72
2115040279,-67
2115041411,-74
2115043678,-74
2115044817,-68
2115045952,-74
2115047085,-75
2115048220,-74
2115050491,-73
2115051622,-75
2115053884,-68
2115055019,-73
2115057274,-69
2115059530,-68
2115060662,-74
2115061797,-68
2115062934,-74
2115064070,-74
2115066336,-74
2115067465,-76
2115068600,-69
2115069735,-75
2115072000,-68
2115073135,-73
2115074263,-68
2115075397,-74
2115076531,-75
2115077662,-76
2115081054,-73
2115082172,-74
2115085556,-71
2115087819,-72
2115088956,-72
2115090092,-70
2115091221,-80
2115092355,-77
2115093486,-72
2115094616,-92
2115095742,-74
2115096858,-70
2115102480,-72
2115103616,-71
2115105879,-68
2115108152,-71
2115109276,-71
2115111540,-82
2115112675,-90
2115113804,-74
2115114920,-80
2115116038,-95
2115117155,-80
2115118273,-82
2115120510,-82
2115123254,-74
2115125466,-78
2115126581,-76
2115127692,-78
2115129925,-77
2115133269,-74
2115134388,-77
2115135498,-74
2115136613,-78
2115137717,-73
2115138834,-78
2115139956,-75
2115141072,-75
2115142190,-74
2115143311,-78
2115144432,-74
2115145552,-92
2115146674,-75
2115151151,-75
2115153380,-77
2115154496,-90
2115155616,-75
2115156732,-76
2115157854,-74
2115158977,-76
2115160101,-74
2115161225,-91
2115162348,-74
2115163473,-90
2115164596,-74
2115165718,-90
2115166833,-74
2115167955,-87
2115169080,-74
2115170201,-74
2115173578,-96
2115175830,-84
2115178076,-76
2115179200,-76
2115180327,-69
2115184795,-72
2115185906,-69
2115187032,-71
2115188155,-69
2115190398,-68
2115191527,-76
2115192684,-68
