time,rssi
2115690636,-67
2115691769,-64
2115694034,-64
2115695139,-66
2115696273,-63
2115700768,-62
2115704117,-64
2115705215,-63
2115707490,-62
2115708594,-63
2115709716,-62
2115711992,-62
2115713114,-64
2115714253,-62
2115715335,-64
2115717594,-64
2115718665,-62
2115719871,-63
2115722113,-64
2115723237,-64
2115724336,-63
2115727754,-65
2115728840,-64
2115729995,-62
2115731063,-64
2115732255,-64
2115733377,-64
2115734516,-62
2115735621,-62
2115736737,-62
2115737879,-62
2115739016,-66
2115740156,-64
2115741278,-66
2115743497,-64
2115744657,-62
2115745722,-65
2115746898,-65
2115748020,-66
2115749156,-66
2115750278,-66
2115751416,-61
2115752538,-64
2115753677,-61
2115754799,-64
2115755923,-62
2115757058,-63
2115759320,-63
2115760425,-60
2115761580,-64
2115762681,-67
2115764960,-61
2115766080,-64
2115767220,-61
2115768363,-62
2115769482,-61
2115770600,-64
2115771742,-66
2115773958,-66
2115776221,-66
2115777382,-64
2115778522,-65
2115779643,-64
2115782972,-66
2115784164,-64
2115786408,-62
2115788639,-62
2115789760,-64
2115790884,-67
2115793161,-57
2115795409,-62
2115796521,-68
2115797702,-70
2115798824,-72
2115799962,-70
2115801084,-61
2115802223,-69
2115804484,-62
2115805580,-63
2115806700,-98
2115878951,-61
2115880047,-61
2115881230,-62
2115882329,-62
2115883472,-71
2115884615,-78
2115886872,-87
2115889132,-86
2115890273,-82
2115891410,-81
2115892488,-84
2115893671,-73
2115894773,-84
2115897006,-85
2115898176,-82
2115899311,-86
2115900447,-82
2115901572,-87
2115902713,-82
2115903790,-86
2115904955,-90
2115906092,-91
2115907186,-93
2115908325,-87
2115909492,-91
2115910586,-87
2115911774,-90
2115912888,-88
2115913988,-91
2115917398,-85
2115918508,-83
2115919628,-80
2115920815,-89
2115921945,-83
2115923027,-86
2115924169,-71
2115926434,-55
2115927494,-61
2115928649,-87
2115929769,-80
2115930881,-82
2115931992,-61
2115933115,-60
2115934241,-60
2115935315,-52
2115936480,-55
2115937550,-53
2115938718,-56
2115939792,-51
2115940895,-56
2115942058,-54
2115943180,-62
2115944249,-60
2115947631,-97
2115948751,-94
2115949897,-88
2115951000,-86
2115952091,-86
2115955490,-78
2115957798,-100
2115960079,-83
2115961118,-82
2115962300,-84
2115963438,-83
2115965697,-82
2115966830,-83
2115967911,-82
2115969032,-83
2115971339,-84
2115972480,-84
2115973516,-95
2115974678,-86
2115975795,-82
2115976960,-80
2115978080,-88
2115979225,-81
2115981481,-81
2115982603,-83
2115983738,-80
2115984880,-84
2115987116,-82
2115988196,-90
2115989568,-85
2115991117,-80
2115993361,-80
2115994463,-83
2115995565,-80
2115996634,-83
2115997786,-80
2115998853,-84
2115999974,-80
2116002260,-80
2116003401,-83
2116004501,-80
2116009001,-91
2116010021,-82
2116012274,-82
2116013462,-80
2116014587,-91
2116016821,-83
2116017944,-80
2116019063,-92
2116020205,-80
2116021322,-91
2116023510,-90
2116024616,-80
2116025800,-92
2116026862,-83
2116031391,-83
2116032506,-91
2116033622,-83
2116034676,-92
2116035817,-80
2116038035,-79
2116040343,-82
2116041457,-91
2116042585,-83
2116043704,-91
2116044845,-83
2116047032,-80
2116047688,-98
2116055060,-89
2116059512,-83
2116061680,-85
2116062847,-91
2116065103,-94
2116068442,-69
2116069567,-77
2116071826,-68
2116074046,-76
2116075059,-68
2116077335,-68
2116078454,-78
2116079574,-68
2116080695,-78
2116081866,-68
2116082988,-77
2116084107,-68
2116085230,-77
2116086347,-58
2116087408,-67
2116088567,-66
2116089672,-64
2116090755,-62
2116091876,-66
2116093069,-63
2116094143,-68
2116095263,-57
2116096380,-57
2116097528,-55
2116098649,-60
2116099768,-57
2116100891,-58
2116101992,-57
2116103132,-58
2116105389,-59
2116106491,-59
2116107609,-57
2116108713,-60
2116109797,-58
2116110975,-60
2116112114,-58
2116113231,-60
2116114298,-58
2116115467,-60
2116116593,-58
2116117731,-59
2116119973,-60
2116121091,-58
2116122161,-60
2116123277,-57
2116124452,-60
2116125571,-58
2116126582,-60
2116127739,-58
2116128933,-60
2116130053,-58
2116132273,-57
2116133300,-60
2116134512,-57
2116135560,-60
2116136752,-57
2116138975,-57
2116140078,-60
2116141164,-57
2116142315,-58
2116144519,-60
2116147839,-57
2116149055,-64
2116150123,-60
2116151295,-63
2116152349,-63
2116153478,-63
2116155701,-63
2116156799,-61
2116157938,-63
2116159026,-60
2116160118,-62
2116161294,-61
2116163516,-59
2116164525,-62
2116165737,-61
2116166760,-63
2116167919,-60
2116169043,-63
2116170197,-60
2116171275,-63
2116172437,-61
2116173413,-63
2116174660,-61
2116175665,-63
2116176881,-61
2116178013,-60
2116179040,-61
2116180166,-60
2116181282,-59
2116182397,-64
