time,x,y,z
1646090043206,3.288362,-1.1807446,9.857901
1646090043206,3.1135256,-0.5508545,9.855506
1646090043218,2.7351124,-0.38320315,9.307046
1646090043218,3.0057497,-0.45984375,9.903406
1646090043238,2.806963,-0.9148975,9.7142
1646090043238,2.938689,-0.96040285,9.613608
1646090043257,2.9794044,-0.57959473,9.584868
1646090043257,2.6177564,-0.7592212,9.333391
1646090043282,2.5339308,-0.97237796,9.2328005
1646090043282,2.680027,-0.9651929,9.290281
1646090043298,3.0776002,-0.9580079,9.347761
1646090043299,3.168611,-1.0059083,9.275911
1646090043321,3.027305,-0.9029224,9.2184305
1646090043321,2.7015822,-1.0873389,9.204061
1646090043339,2.565066,-1.1711646,9.129815
1646090043339,2.8333082,-0.9867481,9.189691
1646090043353,3.1015503,-0.9651929,9.189691
1646090043353,3.2093263,-1.0059083,9.19927
1646090043372,3.0105398,-1.0226734,9.21364
1646090043372,2.7710378,-1.0202783,9.208851
1646090043392,2.687212,-1.0322535,9.189691
1646090043392,2.7686427,-1.0250684,9.204061
1646090043411,2.8357031,-1.0130934,9.235196
1646090043411,2.8859987,-1.0250684,9.263936
1646090043430,2.8380983,-0.99393314,9.299861
1646090043430,2.7710378,-0.97956306,9.314231
1646090043449,2.787803,-1.0035132,9.326206
1646090043449,2.8692336,-0.977168,9.335787
1646090043469,2.8907888,-0.99393314,9.350157
1646090043469,2.8404932,-0.9987232,9.352551
1646090043487,2.7327175,-0.96040285,9.3309965
1646090043487,2.794988,-0.9651929,9.378897
1646090043508,2.8955786,-1.0585986,9.366921
1646090043508,2.938689,-1.1160791,9.395662
1646090043527,2.8812087,-1.0753639,9.395662
1646090043527,2.799778,-1.0442286,9.386082
1646090043547,2.799778,-1.0154883,9.381292
1646090043547,2.8309133,-1.0274634,9.371712
1646090043565,2.8452833,-1.0729688,9.364527
1646090043565,2.8380983,-1.0801538,9.369317
1646090043584,2.816543,-1.0825489,9.393267
1646090043585,2.792593,-1.0562036,9.381292
1646090043603,2.7901978,-1.0418335,9.388477
1646090043603,2.806963,-1.0346485,9.390872
1646090043624,2.8285182,-1.0178833,9.419612
1646090043624,2.8476784,-0.98435307,9.395662
1646090043643,2.8596535,-1.0083033,9.357342
1646090043643,2.8788135,-1.0083033,9.3381815
1646090043663,2.8476784,-1.0011182,9.321417
1646090043663,2.8309133,-1.0178833,9.309442
1646090043681,2.8524685,-1.0298585,9.328602
1646090043681,2.8428884,-1.0298585,9.295072
1646090043700,2.8261232,-1.0562036,9.297466
1646090043700,2.8285182,-1.0298585,9.307046
1646090043719,2.811753,-0.9987232,9.307046
1646090043720,2.8213332,-0.9436377,9.309442
1646090043739,2.8380983,-0.9364527,9.287886
1646090043739,2.8596535,-0.94603276,9.271121
1646090043758,2.8476784,-0.9508228,9.290281
1646090043758,2.8333082,-0.94603276,9.321417
1646090043777,2.818938,-0.97237796,9.316627
1646090043777,2.811753,-0.94603276,9.328602
1646090043796,2.8261232,-0.9580079,9.340576
1646090043796,2.804568,-0.9388477,9.3309965
1646090043815,2.8093581,-0.92926764,9.307046
1646090043815,2.794988,-0.9244776,9.328602
1646090043834,2.811753,-0.9244776,9.357342
1646090043834,2.8093581,-0.9532178,9.362132
1646090043855,2.8428884,-0.9532178,9.340576
1646090043855,2.802173,-0.9963282,9.333391
1646090043873,2.818938,-1.0322535,9.333391
1646090043874,2.8141482,-1.0801538,9.3453665
1646090043893,2.8500733,-1.0705738,9.369317
1646090043893,2.8548634,-1.0394385,9.369317
1646090043913,2.8740237,-1.0346485,9.400452
1646090043913,2.8548634,-1.0083033,9.395662
1646090043931,2.816543,-0.99393314,9.407638
1646090043931,2.8285182,-1.0083033,9.383687
1646090043950,2.8333082,-0.9963282,9.378897
1646090043950,2.7973828,-0.97956306,9.376502
1646090043970,2.823728,-0.9699829,9.376502
1646090043970,2.811753,-0.974773,9.378897
1646090043990,2.8357031,-0.99393314,9.371712
1646090043990,2.8404932,-1.0059083,9.342972
1646090044009,2.816543,-1.0226734,9.335787
1646090044009,2.8404932,-1.0370435,9.3381815
1646090044027,2.8428884,-1.0514137,9.3453665
1646090044027,2.823728,-1.0130934,9.335787
1646090044046,2.8428884,-0.97956306,9.328602
1646090044046,2.823728,-0.98914313,9.311836
1646090044066,2.816543,-0.9316626,9.311836
1646090044066,2.8404932,-0.97956306,9.319021
1646090044085,2.8333082,-0.9627979,9.328602
1646090044086,2.8309133,-0.9532178,9.297466
1646090044105,2.8380983,-0.97237796,9.297466
1646090044105,2.8572583,-0.9532178,9.287886
1646090044124,2.8596535,-0.9627979,9.302257
1646090044124,2.8859987,-0.9651929,9.311836
1646090044144,2.9027638,-0.974773,9.316627
1646090044145,2.8859987,-1.0011182,9.321417
1646090044162,2.8788135,-0.99393314,9.3381815
1646090044162,2.914739,-0.97237796,9.316627
1646090044182,2.9027638,-0.9963282,9.297466
1646090044182,2.8572583,-0.97237796,9.309442
1646090044200,2.8380983,-0.9651929,9.299861
1646090044200,2.8548634,-0.95561284,9.316627
1646090044220,2.8740237,-0.92926764,9.283096
1646090044220,2.8476784,-0.93405765,9.292676
1646090044240,2.8548634,-0.9508228,9.295072
1646090044240,2.8309133,-0.977168,9.299861
1646090044259,2.8357031,-1.0059083,9.295072
1646090044260,2.8500733,-1.0011182,9.304651
1646090044278,2.8788135,-0.97956306,9.321417
1646090044278,2.8716285,-0.96758795,9.350157
1646090044297,2.8812087,-0.96758795,9.362132
1646090044297,2.8548634,-0.98435307,9.352551
1646090044316,2.8692336,-0.98914313,9.3309965
1646090044316,2.8644435,-0.9963282,9.3309965
1646090044336,2.8859987,-1.0106983,9.347761
1646090044336,2.8716285,-0.9867481,9.350157
1646090044355,2.8812087,-0.974773,9.335787
1646090044355,2.8644435,-0.974773,9.309442
1646090044374,2.8357031,-0.977168,9.316627
1646090044374,2.8788135,-0.9987232,9.323812
1646090044394,2.8955786,-1.0154883,9.3453665
1646090044394,2.8931837,-1.0202783,9.328602
1646090044412,2.9051588,-0.9963282,9.340576
1646090044412,2.9051588,-0.9651929,9.362132
1646090044431,2.919529,-0.9532178,9.369317
1646090044432,2.9578493,-0.9532178,9.398057
1646090044451,2.9698243,-0.91250247,9.426797
1646090044451,2.9338992,-0.8765772,9.457932
1646090044471,2.9865894,-0.8646021,9.424402
1646090044471,2.9626393,-0.8262818,9.424402
1646090044490,2.9410841,-0.84544194,9.376502
1646090044491,2.931504,-0.85023195,9.3453665
1646090044509,2.8836036,-0.8981324,9.323812
1646090044509,2.8572583,-0.8813672,9.333391
1646090044528,2.8764186,-0.88376224,9.311836
1646090044528,2.8380983,-0.847837,9.273516
1646090044548,2.8261232,-0.84065187,9.271121
1646090044548,2.7854078,-0.83586186,9.266331
1646090044566,2.8261232,-0.8669971,9.285491
