time,x,y,z,abu
1.373285420E-1,5.746084079E-2,-1.340752989E-1,2.873042040E-2,1.486720251E-1
1.573329690E-1,-2.873042040E-2,-7.661445439E-2,-9.576806799E-3,8.238280710E-2
1.773258850E-1,-7.661445439E-2,-4.788403213E-2,5.746084079E-2,1.070719542E-1
1.973388540E-1,1.915361360E-2,-5.746084079E-2,1.915361360E-2,6.352534968E-2
2.173357810E-1,-8.619125932E-2,-2.873042040E-2,5.746084079E-2,1.074993882E-1
2.373344790E-1,-2.202665508E-1,3.830722719E-2,-2.873042040E-2,2.254112555E-1
2.573718750E-1,-2.394201756E-1,6.703764945E-2,-2.202665508E-1,3.321647487E-1
2.773304690E-1,-2.873041928E-1,3.830722719E-2,-1.532289088E-1,3.278570440E-1
2.973171870E-1,-2.106897533E-1,9.576806799E-3,-8.619125932E-2,2.278394622E-1
3.173277600E-1,-1.915361285E-1,1.915361360E-2,-2.873042040E-2,1.946237049E-1
3.373190620E-1,-2.202665508E-1,6.703764945E-2,-2.873042040E-2,2.320276641E-1
3.573686980E-1,-1.915361285E-1,6.703764945E-2,-5.746084079E-2,2.109072858E-1
3.773170830E-1,-4.213795066E-1,1.149216816E-1,-1.532289088E-1,4.628679941E-1
3.973279690E-1,-2.968810201E-1,9.576806426E-2,-2.011129409E-1,3.711553276E-1
4.173243750E-1,-4.213795066E-1,2.298433632E-1,0.000000000E0,4.799881875E-1
4.373307290E-1,-6.799532771E-1,3.160346150E-1,9.576806426E-2,7.559006939E-1
4.573436460E-1,-5.650315881E-1,2.202665508E-1,2.394201756E-1,6.519969857E-1
4.773192180E-1,-4.309563041E-1,1.819593310E-1,8.619125932E-2,4.756694938E-1
4.973218230E-1,-4.309563041E-1,1.628057212E-1,-1.532289088E-1,4.854978242E-1
5.173380210E-1,-2.777273953E-1,1.532289088E-1,-1.340752989E-1,3.443657799E-1
5.373315100E-1,-1.149216816E-1,1.340752989E-1,-5.746084079E-2,1.857011764E-1
5.573325520E-1,0.000000000E0,9.576806426E-2,-1.244984865E-1,1.570713063E-1
5.773313540E-1,-1.244984865E-1,0.000000000E0,-1.149216816E-1,1.694310067E-1
5.973228640E-1,1.915361360E-2,-8.619125932E-2,-8.619125932E-2,1.233885217E-1
6.173341660E-1,3.830722719E-2,-6.703764945E-2,-7.661445439E-2,1.087716173E-1
6.373371350E-1,-1.915361360E-2,-4.788403213E-2,-1.149216816E-1,1.259632262E-1
6.573493230E-1,-2.011129409E-1,2.873042040E-2,-4.405331016E-1,4.851198467E-1
6.773189580E-1,5.746084079E-2,-1.819593310E-1,-3.447650373E-1,3.940480647E-1
6.973372390E-1,-1.053448766E-1,-2.298433632E-1,-2.489969730E-1,3.548591371E-1
7.173228640E-1,-1.340752989E-1,-1.915361360E-2,1.340752989E-1,1.905760543E-1
7.373291140E-1,-9.576806426E-2,1.149216816E-1,0.000000000E0,1.495945020E-1
7.573214060E-1,-1.915361285E-1,-1.915361360E-2,-4.118026793E-1,4.545705623E-1
7.773227080E-1,-2.777273953E-1,-1.149216816E-1,-7.182605267E-1,7.786126657E-1
