"time","x","y","z","abs"
2.735233860E-1,6.512228847E-1,-5.171475410E-1,3.447650373E-1,9.002198374E-1
2.935144270E-1,1.187524080E0,-6.703764796E-1,1.915361360E-2,1.363812644E0
3.135261460E-1,1.072602391E0,-5.458779931E-1,3.543418646E-1,1.254598274E0
3.335327600E-1,7.757213712E-1,-4.788403511E-1,1.254561663E0,1.550792279E0
3.535803130E-1,1.149216771E0,-6.607996821E-1,1.235408068E0,1.812067466E0
3.735602080E-1,1.733402014E0,-1.455674648E0,7.182605267E-1,2.374777760E0
3.935494270E-1,1.292868972E0,-1.168370485E0,4.118026793E-1,1.790581251E0
4.137666670E-1,9.385270476E-1,-7.661445141E-1,-7.948749661E-1,1.449012301E0
4.335344790E-1,3.543418646E-1,-4.596867263E-1,-1.130063176E0,1.270398688E0
4.535686980E-1,3.447650373E-1,2.585737705E-1,-1.580173135E0,1.637885973E0
4.735232290E-1,-4.213795066E-1,6.320692301E-1,-3.351882398E-1,8.303152150E-1
4.935348960E-1,-8.714894056E-1,5.650315881E-1,1.331176162E0,1.688426621E0
5.135351560E-1,1.053448766E-1,4.501099288E-1,2.442085743E0,2.485453533E0
5.335434900E-1,1.541865945E0,-4.213795066E-1,1.340752959E0,2.086271741E0
5.535359900E-1,1.264138460E0,-3.734954596E-1,4.309563041E-1,1.386819469E0
5.735365100E-1,2.863465309E0,-1.426944256E0,3.543418646E-1,3.218875835E0
5.935313020E-1,-4.596867263E-1,-3.447650373E-1,-1.043871999E0,1.191571889E0
6.135728120E-1,-5.746084079E-2,-8.427590132E-1,-1.637633920E0,1.842658231E0
6.335240620E-1,2.202665508E-1,-8.331822157E-1,-5.650315881E-1,1.030519604E0
6.535258330E-1,1.187524080E0,-1.177947283E0,1.532289088E-1,1.679658400E0
6.735200520E-1,1.302445769E0,-1.264138460E0,4.979939461E-1,1.882128848E0
6.935213020E-1,1.216254473E0,-1.053448766E-1,8.044517636E-1,1.462024325E0
7.135501040E-1,-2.106897533E-1,7.086837292E-1,1.417367458E0,1.598609806E0
