time,bpm
1699948256,109
1699948258,108
1699948258,107
1699948259,103
1699948260,98
1699948261,96
1699948262,96
1699948273,88
1699948273,91
1699948273,91
1699948273,96
1699948273,85
1699948273,85
1699948273,85
1699948273,88
1699948273,82
1699948273,91
1699948273,89
1699948274,91
1699948275,87
1699948277,85
1699948277,84
1699948278,83
1699948279,85
1699948280,85
1699948281,83
1699948282,83
1699948284,84
1699948284,84
1699948285,84
1699948286,84
1699948289,84
1699948289,84
1699948289,85
1699948290,85
1699948291,85
1699948292,85
1699948299,84
1699948299,84
1699948299,84
1699948300,85
1699948300,83
1699948300,84
1699948301,84
1699948301,82
1699948302,82
1699948303,84
1699948303,82
1699948304,81
1699948305,80
1699948306,80
1699948307,80
1699948308,79
1699948309,79
1699948310,78
1699948311,77
1699948312,76
1699948313,75
1699948314,75
1699948315,75
1699948316,75
1699948317,75
1699948318,75
1699948319,77
1699948320,77
1699948321,77
1699948322,77
1699948329,76
1699948329,77
1699948329,77
1699948329,77
1699948330,78
1699948331,77
1699948331,76
1699948331,78
1699948332,78
1699948333,79
1699948334,76
1699948334,79
1699948336,78
1699948336,79
1699948338,78
1699948338,78
1699948339,78
1699948340,77
1699948342,77
1699948343,77
1699948344,77
1699948345,77
1699948346,76
1699948347,76
1699948348,76
1699948349,77
1699948350,77
1699948351,77
1699948352,77
1699948353,77
1699948361,81
1699948361,79
1699948361,76
1699948361,78
1699948361,78
1699948361,78
1699948362,81
1699948363,81
1699948364,78
1699948364,80
1699948364,80
1699948365,80
1699948366,80
1699948367,81
1699948368,81
1699948369,81
1699948370,81
1699948371,82
1699948372,81
1699948373,81
1699948374,81
1699948375,81
1699948376,81
1699948377,81
1699948378,81
1699948379,81
1699948380,81
1699948381,82
1699948382,83
1699948383,83
1699948388,83
1699948388,83
1699948388,83
1699948389,82
1699948389,83
1699948390,82
1699948392,83
1699948392,81
1699948392,82
1699948393,81
1699948394,80
1699948395,80
1699948396,79
1699948397,79
1699948398,78
1699948399,78
1699948400,77
1699948401,77
1699948402,76
1699948403,76
1699948404,76
1699948405,76
1699948406,77
1699948407,78
1699948408,78
1699948409,79
1699948410,79
1699948411,79
1699948412,79
1699948424,78
1699948424,78
1699948424,79
1699948424,79
1699948424,78
1699948424,79
1699948424,80
1699948425,79
1699948425,79
1699948426,79
1699948427,79
1699948428,79
1699948428,78
1699948429,79
1699948430,79
1699948430,79
1699948431,78
1699948433,79
1699948434,79
1699948434,79
1699948434,78
1699948435,79
1699948436,79
1699948437,79
1699948438,79
1699948439,79
1699948440,78
1699948441,78
1699948441,79
1699948442,78
1699948449,73
1699948449,73
1699948450,73
1699948450,73
1699948450,74
1699948451,75
1699948452,75
1699948453,75
1699948454,76
1699948454,77
1699948455,77
1699948456,75
1699948456,77
1699948456,78
1699948457,78
1699948458,78
1699948459,79
1699948461,78
1699948461,78
1699948462,78
1699948463,78
1699948464,79
1699948465,79
1699948466,79
1699948467,79
1699948468,79
1699948469,81
1699948470,82
1699948473,83
1699948473,82
1699948486,84
1699948486,84
1699948487,84
1699948487,83
1699948487,84
1699948487,84
1699948488,83
1699948488,84
1699948488,83
1699948488,84
1699948489,84
1699948489,83
1699948489,84
1699948489,84
1699948491,84
1699948491,84
1699948492,84
1699948492,84
1699948494,83
1699948495,80
1699948495,83
1699948495,80
1699948498,81
1699948498,80
1699948498,81
1699948500,83
1699948500,86
1699948502,87
1699948503,87
1699948508,86
1699948508,86
1699948508,86
1699948509,86
1699948509,86
1699948510,86
1699948510,86
1699948512,86
1699948513,84
1699948514,84
1699948514,83
1699948516,84
1699948516,87
1699948517,84
1699948518,81
1699948519,81
1699948520,81
1699948521,81
1699948522,81
1699948523,82
1699948524,82
1699948525,82
1699948526,82
1699948527,82
1699948528,81
1699948529,81
1699948530,81
1699948531,81
1699948532,81
1699948533,81
1699948543,83
1699948543,82
1699948543,82
1699948543,82
1699948543,82
1699948544,83
1699948544,83
1699948544,82
1699948544,82
1699948545,81
1699948545,83
1699948546,80
1699948547,80
1699948547,83
1699948548,80
1699948549,80
1699948550,80
1699948551,80
1699948553,80
1699948553,80
1699948555,80
1699948555,80
1699948556,80
1699948557,80
1699948558,80
1699948559,80
1699948561,81
1699948561,81
1699948562,81
1699948563,81
1699948569,85
1699948569,85
1699948569,82
1699948569,84
1699948570,82
1699948570,86
1699948570,84
1699948571,85
1699948591,85
1699948591,85
1699948591,93
1699948591,84
1699948591,87
1699948591,84
1699948591,85
1699948592,86
1699948592,93
1699948592,91
1699948592,85
1699948592,90
1699948592,93
1699948593,92
1699948593,84
1699948600,81
1699948600,81
1699948600,82
1699948600,82
1699948600,83
1699948601,80
1699948601,82
1699948601,80
1699948601,92
1699948601,84
1699948602,82
1699948603,83
1699948603,88
1699948603,92
1699948603,87
1699948604,82
1699948605,83
1699948606,83
1699948607,83
1699948608,79
1699948609,79
1699948610,77
1699948611,77
1699948612,78
1699948613,78
1699948614,78
1699948615,78
1699948616,77
1699948617,77
1699948618,77
1699948619,77
1699948621,77
1699948622,79
1699948622,79
1699948625,79
1699948630,79
1699948630,80
1699948630,79
1699948630,80
1699948630,80
1699948630,80
1699948630,79
1699948631,79
1699948632,80
1699948633,80
1699948634,80
1699948635,80
1699948636,80
1699948637,80
1699948638,80
1699948639,80
