time,bpm
1699948254,75
1699948255,75
1699948256,75
1699948257,75
1699948258,75
1699948259,75
1699948260,75
1699948261,74
1699948263,74
1699948263,74
1699948264,73
1699948265,73
1699948266,73
1699948275,74
1699948275,73
1699948275,74
1699948275,73
1699948275,73
1699948275,73
1699948276,74
1699948277,74
1699948277,74
1699948279,73
1699948279,74
1699948279,73
1699948280,75
1699948282,76
1699948282,77
1699948284,76
1699948284,76
1699948285,74
1699948286,73
1699948287,72
1699948288,72
1699948289,70
1699948290,70
1699948291,70
1699948292,76
1699948293,75
1699948294,75
1699948295,75
1699948296,75
1699948297,74
1699948298,74
1699948304,77
1699948304,76
1699948304,77
1699948304,76
1699948304,77
1699948304,77
1699948305,77
1699948307,77
1699948307,77
1699948308,77
1699948309,77
1699948310,77
1699948311,77
1699948312,77
1699948313,77
1699948314,77
1699948315,77
1699948316,77
1699948317,77
1699948318,76
1699948319,77
1699948320,77
1699948321,77
1699948322,76
1699948323,76
1699948324,75
1699948325,75
1699948326,75
1699948327,75
1699948328,74
1699948334,71
1699948334,71
1699948334,71
1699948335,72
1699948335,72
1699948336,72
1699948336,71
1699948337,72
1699948338,72
1699948339,72
1699948340,72
1699948340,72
1699948341,72
1699948342,72
1699948343,72
1699948344,72
1699948345,72
1699948346,72
1699948347,72
1699948348,72
1699948349,71
1699948350,71
1699948351,71
1699948352,71
1699948353,71
1699948354,71
1699948355,71
1699948356,71
1699948357,71
1699948358,71
1699948365,71
1699948365,71
1699948365,71
1699948365,71
1699948365,71
1699948366,71
1699948366,71
1699948367,71
1699948368,69
1699948369,69
1699948370,70
1699948371,70
1699948373,70
1699948373,70
1699948374,70
1699948375,70
1699948376,69
1699948377,69
1699948378,70
1699948379,69
1699948380,69
1699948381,69
1699948382,69
1699948383,68
1699948384,69
1699948385,70
1699948387,70
1699948387,70
1699948395,70
1699948395,69
1699948395,69
1699948395,69
1699948396,69
1699948396,70
1699948396,69
1699948396,70
1699948396,70
1699948397,70
1699948398,70
1699948399,70
1699948400,70
1699948401,70
1699948402,70
1699948403,70
1699948404,70
1699948405,70
1699948406,70
1699948407,70
1699948408,70
1699948409,70
1699948410,70
1699948411,70
1699948413,70
1699948414,70
1699948414,70
1699948416,70
1699948417,70
1699948418,70
1699948424,70
1699948424,71
1699948424,71
1699948425,70
1699948425,72
1699948425,70
1699948425,72
1699948426,71
1699948428,70
1699948429,71
1699948430,71
1699948430,70
1699948432,70
1699948433,69
1699948434,70
1699948435,70
1699948435,69
1699948436,70
1699948437,70
1699948438,70
1699948439,70
1699948440,71
1699948441,71
1699948442,71
1699948443,71
1699948444,70
1699948445,73
1699948446,73
1699948447,73
1699948448,73
1699948455,72
1699948455,73
1699948455,72
1699948455,72
1699948455,73
1699948455,72
1699948456,72
1699948457,72
1699948458,74
1699948459,74
1699948460,73
1699948462,73
1699948463,73
1699948464,74
1699948465,75
1699948466,76
1699948467,76
1699948468,76
1699948469,76
1699948470,76
1699948471,75
1699948472,75
1699948473,75
1699948474,75
1699948475,75
1699948476,75
1699948478,76
1699948478,76
1699948485,76
1699948485,74
1699948485,76
1699948485,75
1699948485,75
1699948485,75
1699948485,74
1699948486,74
1699948487,73
1699948488,72
1699948489,73
1699948490,73
1699948491,73
1699948492,73
1699948494,74
1699948495,73
1699948495,75
1699948496,73
1699948497,73
1699948498,74
1699948499,75
1699948500,76
1699948501,76
1699948502,76
1699948503,76
1699948504,75
1699948505,75
1699948506,75
1699948507,76
1699948508,75
1699948514,76
1699948514,76
1699948515,76
1699948515,76
1699948516,76
1699948516,76
1699948516,76
1699948517,76
1699948518,76
1699948518,75
1699948519,77
1699948520,77
1699948522,77
1699948523,78
1699948524,78
1699948524,78
1699948525,79
1699948526,79
1699948527,79
1699948528,78
1699948529,78
1699948530,77
1699948531,78
1699948532,78
1699948533,78
1699948534,78
1699948537,78
1699948537,78
1699948538,78
1699948540,78
1699948549,78
1699948549,77
1699948549,80
1699948549,79
1699948549,78
1699948549,80
1699948550,78
1699948550,80
1699948550,80
1699948550,78
1699948550,78
1699948551,78
1699948553,79
1699948553,81
1699948554,81
1699948556,80
1699948556,79
1699948556,79
1699948557,79
1699948558,79
1699948561,78
1699948562,78
1699948563,77
1699948565,77
1699948566,78
1699948567,79
1699948568,80
1699948591,78
1699948591,78
1699948591,79
1699948592,78
1699948592,78
1699948592,78
1699948592,78
1699948592,82
1699948592,82
1699948593,78
1699948593,78
1699948593,78
1699948594,78
1699948594,80
1699948595,80
1699948595,78
1699948595,81
1699948595,78
1699948595,79
1699948595,78
1699948595,78
1699948596,78
1699948597,78
1699948598,78
1699948599,78
1699948604,78
1699948604,80
1699948605,78
1699948605,80
1699948606,80
1699948606,78
1699948606,78
1699948607,80
1699948608,80
1699948608,78
1699948609,80
1699948610,80
1699948611,80
1699948612,80
1699948613,80
1699948614,79
1699948615,78
1699948616,77
1699948617,77
1699948618,77
1699948619,76
1699948621,75
1699948622,74
1699948623,75
1699948624,75
1699948624,75
1699948625,76
1699948626,76
1699948627,77
1699948634,77
1699948634,77
1699948634,77
1699948634,77
1699948635,77
1699948635,77
1699948635,77
1699948636,77
1699948636,77
1699948637,77
1699948638,77
