time,status
1699948254,normal
1699948255,normal
1699948256,normal
1699948257,normal
1699948258,normal
1699948259,normal
1699948260,relief
1699948261,normal
1699948263,normal
1699948263,relief
1699948264,normal
1699948265,normal
1699948266,normal
1699948275,relief
1699948275,surprise
1699948275,relief
1699948275,normal
1699948275,normal
1699948275,normal
1699948276,normal
1699948277,normal
1699948277,normal
1699948279,surprise
1699948279,relief
1699948279,surprise
1699948280,normal
1699948282,surprise
1699948282,normal
1699948284,normal
1699948284,relief
1699948285,normal
1699948286,relief
1699948287,normal
1699948288,relief
1699948289,normal
1699948290,normal
1699948291,surprise
1699948292,normal
1699948293,normal
1699948294,normal
1699948295,normal
1699948296,relief
1699948297,normal
1699948298,normal
1699948304,relief
1699948304,surprise
1699948304,surprise
1699948304,relief
1699948304,normal
1699948304,normal
1699948307,normal
1699948307,normal
1699948307,normal
1699948308,normal
1699948309,normal
1699948310,normal
1699948311,normal
1699948312,normal
1699948313,normal
1699948314,normal
1699948315,normal
1699948316,normal
1699948317,relief
1699948318,normal
1699948319,normal
1699948320,normal
1699948321,relief
1699948322,normal
1699948323,normal
1699948324,normal
1699948325,normal
1699948326,normal
1699948327,relief
1699948328,normal
1699948334,normal
1699948334,normal
1699948334,surprise
1699948335,normal
1699948335,normal
1699948336,relief
1699948336,surprise
1699948337,normal
1699948338,normal
1699948339,normal
1699948340,normal
1699948340,normal
1699948341,normal
1699948342,normal
1699948343,normal
1699948344,normal
1699948345,normal
1699948346,normal
1699948347,normal
1699948348,normal
1699948349,normal
1699948350,normal
1699948351,normal
1699948352,normal
1699948353,normal
1699948354,normal
1699948355,normal
1699948356,normal
1699948357,normal
1699948358,normal
1699948365,normal
1699948365,normal
1699948365,normal
1699948365,normal
1699948365,normal
1699948366,normal
1699948366,normal
1699948367,relief
1699948368,normal
1699948369,normal
1699948370,normal
1699948371,normal
1699948373,normal
1699948373,normal
1699948374,normal
1699948375,relief
1699948376,normal
1699948377,surprise
1699948378,relief
1699948379,normal
1699948380,normal
1699948381,normal
1699948382,normal
1699948383,surprise
1699948384,normal
1699948385,normal
1699948387,normal
1699948387,normal
1699948395,normal
1699948395,relief
1699948395,normal
1699948395,normal
1699948396,surprise
1699948396,relief
1699948396,surprise
1699948396,normal
1699948396,normal
1699948397,normal
1699948398,normal
1699948399,normal
1699948400,normal
1699948401,normal
1699948402,normal
1699948403,normal
1699948404,normal
1699948405,normal
1699948406,normal
1699948407,normal
1699948408,normal
1699948409,normal
1699948410,normal
1699948411,normal
1699948413,normal
1699948414,normal
1699948414,normal
1699948416,normal
1699948417,normal
1699948418,normal
1699948424,normal
1699948424,surprise
1699948424,relief
1699948425,surprise
1699948425,relief
1699948425,surprise
1699948425,normal
1699948426,normal
1699948428,normal
1699948429,normal
1699948430,relief
1699948430,normal
1699948432,normal
1699948433,surprise
1699948434,normal
1699948435,relief
1699948435,surprise
1699948436,normal
1699948437,normal
1699948438,normal
1699948439,normal
1699948440,normal
1699948441,normal
1699948442,normal
1699948443,normal
1699948444,surprise
1699948445,normal
1699948446,normal
1699948447,normal
1699948455,surprise
1699948455,normal
1699948455,relief
1699948455,surprise
1699948455,surprise
1699948455,relief
1699948455,normal
1699948456,normal
1699948457,surprise
1699948458,normal
1699948459,relief
1699948460,normal
1699948462,normal
1699948463,surprise
1699948464,surprise
1699948465,normal
1699948466,normal
1699948467,normal
1699948468,normal
1699948469,normal
1699948470,normal
1699948471,normal
1699948472,normal
1699948473,normal
1699948474,normal
1699948475,normal
1699948476,normal
1699948478,normal
1699948478,normal
1699948485,relief
1699948485,surprise
1699948485,relief
1699948485,normal
1699948485,normal
1699948485,relief
1699948485,normal
1699948486,relief
1699948487,normal
1699948488,normal
1699948489,normal
1699948490,normal
1699948491,normal
1699948492,normal
1699948494,normal
1699948495,surprise
1699948495,relief
1699948496,normal
1699948497,normal
1699948498,surprise
1699948499,normal
1699948500,normal
1699948501,normal
1699948502,normal
1699948503,relief
1699948504,normal
1699948505,normal
1699948506,surprise
1699948507,normal
1699948508,normal
1699948514,normal
1699948514,normal
1699948515,normal
1699948515,normal
1699948516,normal
1699948516,normal
1699948516,normal
1699948517,normal
1699948518,relief
1699948518,surprise
1699948519,normal
1699948520,normal
1699948522,normal
1699948523,normal
1699948524,normal
1699948524,normal
1699948525,normal
1699948526,normal
1699948527,relief
1699948528,normal
1699948529,normal
1699948530,surprise
1699948531,normal
1699948532,normal
1699948533,normal
1699948534,normal
1699948537,normal
1699948537,normal
1699948538,normal
1699948540,normal
1699948549,relief
1699948549,surprise
1699948549,relief
1699948549,relief
1699948549,surprise
1699948549,relief
1699948550,surprise
1699948550,normal
1699948550,relief
1699948550,normal
1699948550,normal
1699948551,normal
1699948553,surprise
1699948553,normal
1699948554,normal
1699948556,relief
1699948556,normal
1699948556,normal
1699948557,normal
1699948558,normal
1699948561,normal
1699948562,relief
1699948563,normal
1699948565,surprise
1699948566,normal
1699948567,normal
1699948591,normal
1699948591,normal
1699948591,normal
1699948591,normal
1699948592,normal
1699948592,normal
1699948592,normal
1699948592,surprise
1699948592,normal
1699948592,relief
1699948593,normal
1699948593,normal
1699948593,normal
1699948594,surprise
1699948595,relief
1699948594,normal
1699948595,normal
1699948595,relief
1699948595,relief
1699948595,relief
1699948595,normal
1699948595,normal
1699948596,normal
1699948597,normal
1699948598,normal
1699948599,normal
1699948604,surprise
1699948604,relief
1699948605,surprise
1699948605,normal
1699948606,relief
1699948606,normal
1699948606,surprise
1699948607,normal
1699948608,relief
1699948608,surprise
1699948609,normal
1699948610,normal
1699948611,normal
1699948612,normal
1699948613,relief
1699948614,normal
1699948615,relief
1699948616,normal
1699948617,normal
1699948618,normal
1699948619,normal
1699948621,normal
1699948622,surprise
1699948623,normal
1699948624,normal
1699948624,normal
1699948625,normal
1699948626,surprise
1699948627,normal
1699948634,normal
1699948634,normal
1699948634,normal
1699948634,normal
1699948635,normal
1699948635,normal
1699948636,normal
1699948635,normal
1699948636,normal
1699948637,normal
