time,bpm
1699948259,110
1699948260,113
1699948261,114
1699948262,114
1699948263,114
1699948264,112
1699948265,111
1699948268,111
1699948268,112
1699948268,111
1699948269,113
1699948270,112
1699948271,112
1699948272,110
1699948273,110
1699948274,105
1699948275,102
1699948276,102
1699948277,100
1699948283,101
1699948283,105
1699948283,101
1699948283,109
1699948284,110
1699948284,108
1699948285,110
1699948285,109
1699948286,110
1699948287,110
1699948288,110
1699948289,110
1699948290,109
1699948291,109
1699948292,109
1699948293,109
1699948294,109
1699948295,110
1699948296,109
1699948297,109
1699948298,110
1699948299,110
1699948300,110
1699948301,110
1699948302,110
1699948303,110
1699948304,110
1699948305,110
1699948306,110
1699948307,110
1699948315,110
1699948315,110
1699948315,110
1699948315,110
1699948316,109
1699948317,109
1699948318,110
1699948318,109
1699948318,110
1699948318,110
1699948319,109
1699948320,109
1699948321,109
1699948322,110
1699948323,110
1699948324,110
1699948325,110
1699948326,110
1699948327,110
1699948328,110
1699948329,110
1699948330,110
1699948331,109
1699948332,109
1699948333,109
1699948334,109
1699948335,109
1699948336,108
1699948337,108
1699948344,109
1699948344,109
1699948344,109
1699948344,108
1699948344,108
1699948344,109
1699948345,109
1699948346,109
1699948347,109
1699948347,108
1699948348,109
1699948349,109
1699948350,109
1699948351,109
1699948352,109
1699948353,109
1699948354,109
1699948355,109
1699948356,109
1699948357,109
1699948358,109
1699948359,109
1699948360,108
1699948361,108
1699948363,108
1699948365,107
1699948366,107
1699948366,107
1699948367,107
1699948373,107
1699948373,107
1699948373,107
1699948373,107
1699948373,107
1699948373,108
1699948374,107
1699948375,107
1699948376,106
1699948377,106
1699948378,105
1699948379,105
1699948380,105
1699948381,106
1699948382,106
1699948383,106
1699948384,105
1699948385,105
1699948386,105
1699948387,105
1699948388,105
1699948389,105
1699948390,104
1699948391,104
1699948392,104
1699948393,104
1699948394,105
1699948395,106
1699948396,105
1699948397,105
1699948403,106
1699948404,106
1699948404,106
1699948404,106
1699948405,106
1699948405,106
1699948405,106
1699948406,106
1699948407,107
1699948408,107
1699948409,106
1699948411,107
1699948411,106
1699948411,107
1699948412,107
1699948413,107
1699948414,107
1699948416,107
1699948417,107
1699948418,107
1699948419,107
1699948420,107
1699948421,107
1699948422,107
1699948422,107
1699948424,107
1699948425,107
1699948425,106
1699948426,106
1699948427,106
1699948435,107
1699948435,107
1699948435,107
1699948435,106
1699948435,106
1699948435,107
1699948435,105
1699948436,106
1699948436,102
1699948437,105
1699948438,105
1699948439,104
1699948440,105
1699948441,105
1699948442,102
1699948443,101
1699948444,101
1699948445,102
1699948446,101
1699948447,101
1699948448,96
1699948449,96
1699948450,97
1699948451,98
1699948452,98
1699948453,98
1699948454,98
1699948455,98
1699948456,98
1699948457,98
1699948464,91
1699948465,88
1699948465,87
1699948465,88
1699948465,87
1699948465,89
1699948465,88
1699948466,87
1699948466,88
1699948467,88
1699948468,88
1699948470,88
1699948470,91
1699948472,93
1699948472,93
1699948473,93
1699948474,92
1699948475,92
1699948477,92
1699948478,92
1699948479,92
1699948480,92
1699948481,92
1699948483,92
1699948483,91
1699948484,90
1699948485,90
1699948486,90
1699948487,90
1699948488,90
1699948495,88
1699948495,88
1699948495,88
1699948495,87
1699948495,89
1699948495,88
1699948495,88
1699948496,88
1699948499,88
1699948499,88
1699948499,88
1699948500,88
1699948501,87
1699948502,87
1699948503,87
1699948504,87
1699948505,87
1699948506,87
1699948507,86
1699948508,86
1699948509,86
1699948510,86
1699948511,85
1699948512,84
1699948515,87
1699948515,87
1699948515,84
1699948516,88
1699948517,87
1699948518,87
1699948524,85
1699948524,85
1699948524,86
1699948524,86
1699948526,85
1699948526,84
1699948526,86
1699948526,86
1699948527,85
1699948528,83
1699948529,83
1699948530,83
1699948531,83
1699948532,83
1699948533,82
1699948534,82
1699948535,82
1699948538,82
1699948539,82
1699948543,82
1699948543,82
1699948543,81
1699948543,81
1699948543,81
1699948544,81
1699948544,81
1699948545,81
1699948546,82
1699948547,82
1699948548,82
1699948555,83
1699948555,83
1699948555,82
1699948555,83
1699948556,83
1699948557,84
1699948558,82
1699948558,84
1699948559,85
1699948559,83
1699948559,83
1699948561,84
1699948561,84
1699948563,84
1699948564,84
1699948565,84
1699948566,84
1699948567,84
1699948568,86
1699948569,89
1699948570,88
1699948571,87
1699948591,87
1699948591,90
1699948591,87
1699948591,85
1699948591,84
1699948591,84
1699948591,87
1699948591,87
1699948591,87
1699948592,87
1699948592,85
1699948592,88
1699948592,89
1699948592,89
1699948592,85
1699948592,88
1699948593,89
1699948593,85
1699948593,90
1699948593,87
1699948594,85
1699948595,85
1699948596,86
1699948598,86
1699948599,86
1699948600,86
1699948601,86
1699948602,86
1699948603,86
1699948604,85
1699948605,85
1699948606,85
1699948607,85
1699948614,85
1699948614,84
1699948614,84
1699948614,84
1699948614,84
1699948614,85
1699948614,85
1699948615,83
1699948616,82
1699948617,82
1699948618,82
1699948619,82
1699948622,82
1699948622,82
1699948623,82
1699948623,82
1699948624,82
1699948625,82
1699948626,82
1699948627,82
1699948629,82
1699948629,82
1699948630,82
1699948631,81
1699948632,81
1699948633,80
1699948634,80
1699948635,79
1699948636,79
1699948637,79
