time,status
1699949852,normal
1699949853,normal
1699949859,surprise
1699949859,surprise
1699949859,surprise
1699949859,surprise
1699949859,normal
1699949864,relief
1699949864,surprise
1699949864,normal
1699949865,surprise
1699949866,surprise
1699949866,normal
1699949867,relief
1699949868,relief
1699949868,relief
1699949868,normal
1699949876,surprise
1699949876,surprise
1699949876,normal
1699949876,normal
1699949877,normal
1699949877,relief
1699949877,normal
1699949879,surprise
1699949878,relief
1699949879,normal
1699949880,normal
1699949881,normal
1699949882,normal
1699949889,normal
1699949889,surprise
1699949889,surprise
1699949889,surprise
1699949883,normal
1699949889,normal
1699949894,surprise
1699949894,normal
1699949894,relief
1699949894,surprise
1699949894,normal
1699949895,surprise
1699949896,relief
1699949896,normal
1699949897,normal
1699949897,normal
1699949898,normal
1699949904,normal
1699949904,normal
1699949904,normal
1699949904,normal
1699949905,relief
1699949906,relief
1699949907,normal
1699949908,normal
1699949910,normal
1699949911,normal
1699949912,normal
1699949919,relief
1699949919,relief
1699949919,relief
1699949919,relief
1699949919,normal
1699949924,normal
1699949924,normal
1699949924,normal
1699949924,normal
1699949919,normal
1699949924,surprise
1699949925,normal
1699949927,normal
1699949926,surprise
1699949927,normal
1699949928,normal
1699949934,normal
1699949934,normal
1699949934,normal
1699949934,normal
1699949934,normal
1699949935,normal
1699949936,normal
1699949937,normal
1699949938,normal
1699949938,normal
1699949939,normal
1699949940,normal
1699949941,normal
1699949948,normal
1699949948,normal
1699949948,normal
1699949948,normal
1699949948,normal
1699949948,surprise
1699949949,normal
1699949954,normal
1699949954,normal
1699949954,normal
1699949954,normal
1699949954,normal
1699949956,normal
1699949956,normal
1699949956,relief
1699949958,normal
1699949959,normal
1699949963,normal
1699949963,surprise
1699949963,normal
1699949964,normal
1699949966,relief
1699949966,surprise
1699949967,relief
1699949969,relief
1699949969,relief
1699949969,surprise
1699949970,normal
1699949971,normal
1699949972,normal
1699949973,normal
1699949974,normal
1699949975,normal
1699949979,normal
1699949979,normal
1699949979,normal
1699949979,normal
1699949984,relief
1699949984,relief
1699949984,surprise
1699949986,normal
1699949985,relief
1699949986,relief
1699949988,surprise
1699949994,surprise
1699949994,surprise
1699949994,surprise
1699949994,surprise
1699949994,relief
1699949994,surprise
1699949994,relief
1699949994,surprise
1699949995,normal
1699949996,normal
1699949997,surprise
1699949998,normal
1699950000,normal
1699950000,normal
1699950001,normal
1699950002,normal
1699950003,normal
1699950008,surprise
1699950007,surprise
1699950008,surprise
1699950008,surprise
1699950009,normal
1699950014,relief
1699950015,surprise
1699950014,surprise
1699950015,surprise
1699950015,relief
1699950016,relief
1699950016,normal
1699950017,normal
1699950018,surprise
1699950018,normal
1699950019,normal
1699950024,normal
1699950024,normal
1699950024,normal
1699950024,normal
1699950025,normal
1699950026,normal
1699950027,normal
1699950029,normal
1699950029,normal
1699950030,surprise
1699950031,relief
1699950031,surprise
1699950032,normal
1699950033,normal
1699950038,normal
1699950038,normal
1699950038,normal
1699950038,normal
1699950039,normal
1699950044,surprise
1699950044,surprise
1699950044,surprise
1699950039,normal
1699950044,surprise
1699950044,surprise
1699950047,surprise
1699950046,relief
1699950047,normal
1699950054,normal
1699950054,normal
1699950054,normal
1699950054,normal
1699950054,surprise
1699950054,normal
1699950055,normal
1699950055,normal
1699950057,normal
1699950057,relief
1699950060,normal
1699950059,relief
1699950060,normal
1699950061,normal
1699950062,normal
1699950063,normal
1699950069,normal
1699950069,normal
1699950069,normal
1699950069,normal
1699950069,normal
1699950074,normal
1699950074,normal
1699950074,normal
1699950074,normal
1699950074,normal
1699950076,normal
1699950076,normal
1699950077,surprise
1699950077,normal
1699950078,normal
1699950084,surprise
1699950084,surprise
1699950084,normal
1699950084,surprise
1699950084,surprise
1699950084,normal
1699950085,normal
1699950086,normal
1699950087,normal
1699950088,normal
1699950089,surprise
1699950090,normal
1699950091,normal
1699950099,surprise
1699950099,relief
1699950099,relief
1699950099,relief
1699950099,relief
1699950099,relief
1699950104,normal
1699950104,normal
1699950104,normal
1699950099,normal
1699950104,relief
1699950104,relief
1699950105,surprise
1699950105,relief
1699950106,normal
1699950107,normal
1699950114,relief
1699950114,relief
1699950114,relief
1699950114,relief
1699950114,normal
1699950114,surprise
1699950114,normal
1699950115,normal
1699950116,normal
1699950117,surprise
1699950118,normal
1699950119,normal
1699950120,normal
1699950121,surprise
1699950122,normal
1699950123,normal
1699950134,relief
1699950134,relief
1699950134,relief
1699950124,normal
1699950134,surprise
1699950135,normal
1699950135,normal
1699950135,normal
1699950135,surprise
1699950135,relief
1699950135,relief
1699950136,surprise
1699950136,normal
1699950137,surprise
1699950144,normal
1699950138,normal
1699950144,normal
1699950144,normal
1699950144,normal
1699950144,surprise
1699950145,relief
1699950145,normal
1699950146,normal
1699950147,normal
1699950148,normal
1699950149,normal
1699950150,normal
1699950151,normal
1699950152,normal
1699950153,normal
1699950155,normal
1699950157,normal
1699950159,normal
1699950159,surprise
1699950164,normal
1699950164,normal
1699950164,normal
1699950164,normal
1699950164,normal
1699950164,normal
1699950164,surprise
1699950165,normal
1699950166,normal
1699950167,relief
1699950168,normal
1699950174,surprise
1699950174,surprise
1699950174,surprise
1699950174,normal
1699950174,normal
1699950175,normal
1699950176,normal
1699950178,normal
1699950179,normal
1699950180,normal
1699950181,normal
1699950183,normal
1699950185,normal
1699950189,normal
1699950189,normal
1699950189,normal
1699950189,normal
1699950194,normal
1699950194,normal
1699950194,normal
