time,bpm
1699951918,79
1699951920,78
1699951921,79
1699951923,80
1699951928,81
1699951928,82
1699951928,83
1699951929,82
1699951935,81
1699951935,79
1699951935,80
1699951935,78
1699951935,78
1699951937,77
1699951938,76
1699951945,75
1699951945,75
1699951945,76
1699951947,74
1699951948,73
1699951951,72
1699951953,74
1699951959,75
1699951959,74
1699951965,76
1699951965,75
1699951969,75
1699951973,74
1699951975,75
1699951981,76
1699951986,77
1699951986,78
1699951996,79
1699952005,80
1699952005,81
1699952012,82
1699952015,84
1699952018,83
1699952025,81
1699952025,82
1699952025,80
1699952026,79
1699952028,78
1699952035,79
1699952035,79
1699952035,80
1699952035,80
1699952037,79
1699952039,80
1699952042,82
1699952050,81
1699952054,80
1699952055,79
1699952055,81
1699952055,80
1699952055,82
1699952058,83
1699952064,82
1699952065,83
1699952065,82
1699952068,81
1699952072,83
1699952074,84
1699952074,82
1699952080,78
1699952080,79
1699952080,81
1699952083,77
1699952084,78
1699952085,77
1699952088,78
1699952095,79
1699952097,78
1699952098,77
1699952102,76
1699952110,78
1699952110,77
1699952110,79
1699952113,80
1699952119,79
1699952125,76
1699952125,77
1699952125,78
1699952127,75
1699952129,76
1699952134,75
1699952135,74
1699952140,73
1699952140,74
1699952146,75
1699952147,76
1699952150,77
1699952155,78
1699952157,79
1699952158,80
1699952159,79
1699952162,78
1699952164,77
1699952170,76
1699952170,79
1699952170,77
1699952175,78
1699952176,77
1699952180,78
1699952185,79
1699952185,78
1699952186,76
1699952187,75
1699952190,74
1699952191,75
1699952193,76
1699952194,75
1699952195,76
1699952200,77
1699952201,78
1699952205,78
1699952206,77
1699952206,79
1699952210,78
1699952215,77
1699952215,78
1699952219,77
1699952223,76
1699952230,78
1699952235,77
1699952235,79
1699952235,80
1699952237,79
1699952238,77
1699952246,78
1699952246,80
1699952247,81
1699952251,80
1699952252,78
