time,status
1699951935,relief
1699951935,normal
1699951935,normal
1699951935,normal
1699951936,normal
1699951937,normal
1699951938,normal
1699951939,relief
1699951945,normal
1699951945,surprise
1699951945,surprise
1699951946,surprise
1699951946,surprise
1699951947,relief
1699951948,surprise
1699951948,normal
1699951949,relief
1699951950,surprise
1699951950,normal
1699951951,relief
1699951952,normal
1699951953,surprise
1699951960,normal
1699951960,normal
1699951960,normal
1699951960,normal
1699951960,relief
1699951965,normal
1699951965,normal
1699951965,normal
1699951965,normal
1699951960,normal
1699951965,normal
1699951965,surprise
1699951966,surprise
1699951967,normal
1699951968,normal
1699951975,normal
1699951975,surprise
1699951969,normal
1699951975,relief
1699951975,surprise
1699951975,normal
1699951977,relief
1699951976,normal
1699951977,surprise
1699951978,normal
1699951979,normal
1699951980,normal
1699951981,surprise
1699951982,normal
1699951983,normal
1699951987,normal
1699951986,normal
1699951987,surprise
1699951987,normal
1699951988,normal
1699951990,normal
1699951995,normal
1699951995,normal
1699951995,normal
1699951995,relief
1699951995,relief
1699951995,normal
1699951996,normal
1699951997,relief
1699951998,relief
1699951999,normal
1699952005,normal
1699952005,normal
1699952005,normal
1699952005,normal
1699952005,relief
1699952005,normal
1699952006,relief
1699952007,normal
1699952008,normal
1699952009,normal
1699952010,normal
1699952011,normal
1699952012,relief
1699952013,normal
1699952018,relief
1699952018,relief
1699952018,normal
1699952022,relief
1699952022,normal
1699952022,surprise
1699952025,surprise
1699952025,surprise
1699952022,normal
1699952025,normal
1699952025,normal
1699952026,normal
1699952027,relief
1699952028,normal
1699952035,surprise
1699952035,surprise
1699952035,surprise
1699952035,surprise
1699952035,normal
1699952035,normal
1699952036,normal
1699952036,normal
1699952037,normal
1699952038,normal
1699952039,surprise
1699952040,normal
1699952041,surprise
1699952042,normal
1699952043,normal
1699952050,relief
1699952050,relief
1699952050,relief
1699952044,normal
1699952050,normal
1699952055,surprise
1699952055,normal
1699952055,normal
1699952055,normal
1699952055,normal
1699952055,relief
1699952055,normal
1699952056,normal
1699952057,normal
1699952058,normal
1699952065,normal
1699952065,normal
1699952065,normal
1699952065,normal
1699952065,normal
1699952065,normal
1699952066,normal
1699952067,normal
1699952068,normal
1699952069,normal
1699952070,normal
1699952071,normal
1699952072,normal
1699952073,normal
1699952074,normal
1699952080,relief
1699952080,relief
1699952080,surprise
1699952081,normal
1699952083,normal
1699952084,normal
1699952084,surprise
1699952084,normal
1699952086,relief
1699952086,surprise
1699952086,relief
1699952087,normal
1699952089,relief
1699952088,normal
1699952089,normal
1699952095,normal
1699952095,normal
1699952095,normal
1699952095,normal
1699952095,normal
1699952096,surprise
1699952096,relief
1699952097,surprise
1699952098,surprise
1699952099,normal
1699952100,surprise
1699952101,relief
1699952102,normal
1699952103,normal
1699952104,normal
1699952110,surprise
1699952110,relief
1699952105,normal
1699952110,normal
1699952111,relief
1699952115,relief
1699952115,relief
1699952115,relief
1699952115,relief
1699952115,surprise
1699952115,surprise
1699952116,normal
1699952117,surprise
1699952118,normal
1699952119,normal
1699952125,surprise
1699952125,surprise
1699952125,surprise
1699952125,normal
1699952125,normal
1699952127,relief
1699952126,surprise
1699952127,relief
1699952128,surprise
1699952129,normal
1699952130,relief
1699952131,normal
1699952132,normal
1699952133,normal
1699952134,normal
1699952140,relief
1699952140,relief
1699952140,normal
1699952140,surprise
1699952140,normal
1699952145,normal
1699952145,normal
1699952145,normal
1699952145,surprise
1699952145,relief
1699952145,surprise
1699952146,normal
1699952147,relief
1699952148,normal
1699952149,normal
1699952155,normal
1699952155,surprise
1699952155,normal
1699952156,normal
1699952155,normal
1699952156,normal
1699952157,relief
1699952158,surprise
1699952158,surprise
1699952159,normal
1699952160,surprise
1699952161,normal
1699952162,surprise
1699952163,normal
1699952164,relief
1699952165,normal
1699952169,normal
1699952170,normal
1699952170,normal
1699952175,normal
1699952175,normal
1699952175,normal
1699952175,normal
1699952175,normal
1699952175,normal
1699952175,normal
1699952176,surprise
1699952177,normal
1699952178,relief
1699952185,relief
1699952185,surprise
1699952185,surprise
1699952185,relief
1699952185,surprise
1699952185,relief
1699952186,surprise
1699952186,normal
1699952187,surprise
1699952188,normal
1699952189,normal
1699952190,normal
1699952191,normal
1699952192,normal
1699952193,normal
1699952194,normal
1699952195,normal
1699952196,normal
1699952200,normal
1699952200,normal
1699952205,normal
1699952200,normal
1699952205,surprise
1699952205,normal
1699952205,normal
1699952205,surprise
1699952205,surprise
1699952206,normal
1699952207,surprise
1699952208,normal
1699952209,normal
1699952215,normal
1699952215,normal
1699952216,normal
1699952215,normal
1699952216,surprise
1699952217,relief
1699952217,normal
1699952218,relief
1699952218,normal
1699952219,relief
1699952220,normal
1699952221,relief
1699952222,surprise
1699952223,normal
1699952224,normal
1699952230,normal
1699952230,normal
1699952230,normal
1699952225,normal
1699952230,normal
1699952235,normal
