time,status
1699937076,normal
1699937076,normal
1699937076,normal
1699937076,normal
1699937076,normal
1699937077,normal
1699937078,normal
1699937078,relief
1699937079,normal
1699937080,normal
1699937081,normal
1699937082,normal
1699937083,normal
1699937084,normal
1699937085,surprise
1699937086,normal
1699937087,normal
1699937088,normal
1699937089,normal
1699937090,normal
1699937091,normal
1699937093,normal
1699937093,normal
1699937094,normal
1699937095,normal
1699937096,normal
1699937097,surprise
1699937098,normal
1699937100,normal
1699937100,normal
1699937106,normal
1699937106,surprise
1699937106,relief
1699937107,normal
1699937107,normal
1699937107,normal
1699937107,normal
1699937108,normal
1699937109,normal
1699937111,normal
1699937112,surprise
1699937113,relief
1699937114,normal
1699937115,normal
1699937116,normal
1699937117,normal
1699937118,normal
1699937119,surprise
1699937120,normal
1699937121,normal
1699937122,normal
1699937123,normal
1699937124,relief
1699937125,normal
1699937126,normal
1699937127,normal
1699937128,normal
1699937129,normal
1699937130,normal
1699937131,normal
1699937137,normal
1699937137,normal
1699937137,relief
1699937137,relief
1699937137,normal
1699937137,surprise
1699937138,normal
1699937139,normal
1699937140,normal
1699937141,normal
1699937142,normal
1699937143,normal
1699937144,surprise
1699937145,normal
1699937146,normal
1699937147,normal
1699937148,normal
1699937149,normal
1699937150,normal
1699937151,normal
1699937152,normal
1699937154,normal
1699937155,normal
1699937156,normal
1699937157,normal
1699937158,normal
1699937159,normal
1699937160,normal
1699937166,normal
1699937166,normal
1699937166,normal
1699937166,normal
1699937167,normal
1699937167,normal
1699937168,normal
1699937168,normal
1699937169,normal
1699937170,normal
1699937171,normal
1699937172,normal
1699937173,normal
1699937174,normal
1699937175,normal
1699937176,normal
1699937177,normal
1699937178,normal
1699937179,normal
1699937180,normal
1699937182,normal
1699937182,normal
1699937183,normal
1699937184,surprise
1699937185,surprise
1699937186,surprise
1699937187,normal
1699937188,normal
1699937189,normal
1699937190,normal
1699937196,normal
1699937196,surprise
1699937196,relief
1699937197,surprise
1699937197,surprise
1699937197,normal
1699937198,relief
1699937199,normal
1699937200,normal
1699937201,normal
1699937202,surprise
1699937203,normal
1699937204,relief
1699937205,surprise
1699937205,normal
1699937206,relief
1699937207,normal
1699937208,normal
1699937209,normal
1699937210,normal
1699937211,normal
1699937212,normal
1699937213,normal
1699937214,normal
1699937215,normal
1699937216,normal
1699937217,normal
1699937218,normal
1699937219,normal
1699937220,normal
1699937226,relief
1699937226,normal
1699937226,normal
1699937226,normal
1699937226,normal
1699937226,normal
1699937227,relief
1699937228,normal
1699937229,normal
1699937230,normal
1699937231,relief
1699937232,relief
1699937233,relief
1699937234,normal
1699937235,relief
1699937236,normal
1699937237,relief
1699937238,relief
1699937239,normal
1699937240,normal
1699937241,normal
1699937242,normal
1699937243,normal
1699937244,normal
1699937245,normal
1699937246,normal
1699937247,normal
1699937248,normal
1699937249,surprise
1699937250,normal
1699937256,normal
1699937256,normal
1699937256,normal
1699937257,surprise
1699937258,relief
1699937258,relief
1699937259,normal
1699937260,normal
1699937261,normal
1699937262,normal
1699937264,normal
1699937264,normal
1699937264,relief
1699937264,normal
1699937265,normal
1699937266,normal
1699937267,normal
1699937268,normal
1699937269,normal
1699937270,normal
1699937271,normal
1699937272,normal
1699937273,normal
1699937274,normal
1699937275,normal
1699937276,normal
1699937277,normal
1699937278,normal
1699937279,normal
1699937280,normal
1699937286,normal
1699937286,normal
1699937286,normal
1699937286,surprise
1699937286,normal
1699937287,relief
1699937288,surprise
1699937288,normal
1699937289,relief
1699937290,normal
1699937291,normal
1699937292,normal
1699937293,normal
1699937295,normal
1699937296,normal
1699937298,surprise
1699937298,normal
1699937299,normal
1699937300,normal
1699937302,normal
1699937303,normal
1699937304,surprise
1699937305,normal
1699937306,normal
1699937307,surprise
1699937308,normal
1699937309,normal
1699937310,normal
1699937316,normal
1699937316,surprise
1699937311,normal
1699937317,normal
1699937316,relief
1699937317,normal
1699937318,normal
1699937319,normal
1699937320,normal
1699937321,normal
1699937323,surprise
1699937322,normal
1699937323,relief
1699937324,normal
1699937325,normal
1699937326,normal
1699937327,normal
1699937328,normal
1699937329,normal
1699937330,normal
1699937331,normal
1699937332,surprise
1699937333,normal
1699937334,normal
1699937335,normal
1699937336,normal
1699937337,normal
1699937338,surprise
1699937339,surprise
1699937340,normal
1699937341,normal
1699937346,normal
1699937346,surprise
1699937347,normal
1699937347,normal
1699937347,surprise
1699937348,normal
1699937349,surprise
1699937350,relief
1699937350,normal
1699937351,normal
1699937352,normal
1699937353,normal
1699937354,normal
1699937355,relief
1699937356,normal
1699937357,normal
1699937358,normal
1699937359,normal
1699937360,normal
1699937361,normal
1699937362,normal
1699937363,normal
1699937364,normal
1699937365,normal
1699937366,normal
1699937367,normal
1699937368,normal
1699937369,normal
1699937370,normal
1699937371,normal
1699937376,surprise
1699937376,relief
1699937377,surprise
1699937377,surprise
1699937377,relief
1699937377,surprise
1699937378,normal
1699937379,normal
1699937380,surprise
1699937381,normal
1699937382,normal
1699937383,normal
1699937384,normal
1699937385,relief
1699937386,relief
1699937387,normal
1699937388,relief
1699937389,normal
1699937390,relief
1699937391,normal
1699937392,normal
1699937393,normal
1699937394,normal
1699937395,normal
1699937396,normal
1699937397,normal
1699937398,surprise
1699937399,normal
1699937400,normal
1699937406,normal
1699937401,normal
1699937406,relief
1699937408,normal
1699937408,normal
1699937408,relief
1699937408,normal
1699937409,surprise
1699937409,relief
1699937410,normal
1699937411,normal
