time,bpm
1685343351686,75
1685343356678,74
1685343358072,75
1685343359275,74
1685343361868,75
1685343366865,76
1685343373264,77
1685343379633,78
1685343381027,79
1685343386024,78
1685343392406,79
1685343395002,77
1685343393800,78
1685343400184,79
1685343401385,78
1685343402781,79
1685343406576,78
1685343407770,77
1685343419350,75
1685343417952,76
1685343423138,76
1685343425733,75
1685343437114,76
1685343443499,76
1685343447487,76
1685343448686,77
1685343458875,80
1685343457668,79
1685343460258,82
1685343462660,81
1685343464052,79
1685343466648,78
1685343469049,77
1685343470438,76
1685343478025,74
1685343485808,73
1685343489598,72
1685343493399,73
1685343498580,74
1685343500989,75
1685343502373,76
1685343506168,75
1685343508758,76
1685343509967,75
1685343512553,76
1685343517741,76
1685343513755,75
1685343520141,78
1685343521532,77
1685343525327,78
1685343526532,79
1685343529118,80
1685343536902,79
1685343538100,78
1685343539301,77
1685343543288,76
1685343549674,75
1685343550874,74
1685343564853,73
1685343570039,72
1685343573828,73
1685343580211,74
1685343582806,75
1685343596782,72
1685343600769,71
1685343609561,73
1685343610947,74
1685343614740,73
1685343618538,74
1685343621128,72
1685343622330,73
1685343624923,74
1685343627515,73
1685343631310,72
1685343639088,73
1685343641489,74
1685343644082,76
1685343645476,77
1685343646676,78
1685343647881,79
1685343649265,80
1685343651868,79
1685343653064,80
1685343659449,79
1685343662042,78
1685343663242,77
1685343664637,76
1685343665842,77
1685343676022,76
1685343677407,77
1685343678612,76
1685343681203,75
1685343691383,77
1685343702959,76
1685343706751,75
1685343709344,74
1685343724547,73
1685343732300,74
1685343736093,74
1685343737292,75
1685343738685,76
1685343739892,77
1685343741281,76
1685343745074,75
1685343750065,78
1685343751457,80
1685343752661,81
1685343754054,82
1685343755253,83
1685343764234,81
1685343768029,80
1685343769232,79
1685343771818,78
1685343775615,75
1685343782012,73
1685343783396,74
1685343787192,76
1685343789782,77
1685343803758,76
1685343808947,77
1685343812740,78
1685343817929,76
1685343815330,77
1685343820325,75
1685343822922,76
1685343824312,75
1685343825512,77
1685343826710,76
1685343830700,77
1685343842075,78
1685343843474,79
1685343844672,80
1685343849860,79
1685343852265,77
1685343856244,75
1685343862635,76
1685343867626,77
1685343871421,76
1685343872815,77
1685343877810,79
1685343875409,79
1685343883001,82
1685343884192,83
1685343886790,84
1685343888183,86
1685343889381,87
1685343890582,89
1685343891987,91
1685343893175,93
1685343894571,95
1685343899564,89
1685343898363,96
1685343900964,83
1685343903356,84
1685343907341,82
1685343911136,80
1685343914936,81
1685343916130,83
1685343917523,84
1685343918724,86
1685343921319,87
1685343922529,86
1685343925112,84
1685343930298,85
1685343931496,86
1685343932895,85
1685343935302,83
1685343939278,79
1685343934094,84
1685343941708,78
1685343946869,77
1685343948068,78
1685343949461,77
1685343960847,74
1685343953260,76
1685343963434,76
1685343964832,77
1685343972417,76
1685343973618,75
1685343975009,74
1685343977605,73
1685343978812,72
1685343981398,71
1685343987789,72
1685343991582,73
1685343995377,74
1685343999165,78
1685344000562,80
1685344001757,79
1685344003152,78
1685344008149,77
1685344010743,77
1685344011944,78
1685344018340,83
1685344015934,82
1685344014534,81
1685344023516,87
1685344027309,89
1685344024748,88
1685344032497,91
1685344035093,92
1685344036291,94
1685344037490,95
1685344038890,96
1685344040083,100
1685344041478,101
1685344042677,103
1685344045271,108
1685344043883,106
1685344047878,110
1685344049062,112
1685344050264,113
1685344051658,114
1685344055452,113
1685344061843,115
1685344064432,118
1685344065635,120
1685344067023,122
1685344068225,123
1685344069426,124
1685344077206,123
1685344078408,121
1685344079801,118
1685344082198,113
1685344083596,111
1685344088586,100
1685344086187,105
1685344089986,98
1685344091179,96
1685344093773,94
1685344094979,93
1685344096367,92
1685344097568,94
1685344100171,95
1685344101374,96
1685344102756,97
1685344105352,99
1685344106551,100
1685344110341,97
1685344115530,98
1685344118126,105
1685344119321,107
1685344121926,113
1685344123117,120
1685344124512,122
1685344125713,124
1685344128306,123
1685344129502,120
1685344130906,119
1685344132096,114
1685344133325,108
1685344135899,87
1685344138487,85
1685344141080,75
1685344142280,74
1685344144877,71
1685344143674,72
1685344148669,69
1685344150064,71
1685344151263,74
1685344152468,75
1685344153862,78
1685344155055,74
1685344156450,71
1685344158853,69
1685344162843,75
1685344165238,71
1685344167834,73
1685344169225,71
1685344170425,72
1685344171623,75
1685344175610,81
1685344176810,80
1685344180601,77
1685344182007,78
1685344184398,79
1685344185791,80
1685344187003,82
1685344189585,80
1685344192179,81
1685344197170,75
1685344195977,76
1685344201159,74
1685344206151,73
1685344209957,72
1685344211339,73
1685344213938,75
1685344215132,80
1685344217726,85
1685344218930,86
1685344221525,83
1685344225312,80
1685344224111,81
1685344226707,81
1685344231699,82
1685344235501,85
1685344239479,89
1685344240678,91
1685344241904,92
1685344244474,91
1685344247063,90
1685344250861,89
1685344252254,87
1685344258641,87
1685344259840,91
1685344262433,97
1685344265029,100
1685344270019,104
1685344271412,105
1685344273820,103
1685344276405,102
1685344277799,101
1685344280201,110
1685344281595,114
1685344284188,115
1685344287982,110
1685344289180,108
1685344291775,110
1685344298161,110
1685344299359,109
1685344294369,111
