time,bpm
1685343301665,97
1685343302724,97
1685343303726,96
1685343304719,97
1685343305728,98
1685343306733,93
1685343307680,93
1685343313690,95
1685343314743,95
1685343315739,95
1685343321789,94
1685343318751,95
1685343322762,94
1685343323758,93
1685343324756,93
1685343325702,93
1685343326758,91
1685343327760,90
1685343328755,91
1685343329764,91
1685343330769,92
1685343331714,92
1685343332776,92
1685343333768,92
1685343334777,94
1685343335774,95
1685343338784,97
1685343340793,97
1685343339780,98
1685343337733,98
1685343345796,98
1685343346792,98
1685343349744,98
1685343350806,98
1685343351806,98
1685343354805,96
1685343355748,96
1685343356807,96
1685343357799,92
1685343358810,89
1685343359812,88
1685343360808,87
1685343361761,87
1685343362846,88
1685343363814,89
1685343364823,89
1685343365810,90
1685343368819,90
1685343371852,91
1685343373777,89
1685343374832,92
1685343375832,92
1685343376827,93
1685343381837,92
1685343380846,93
1685343383843,92
1685343385801,92
1685343387848,92
1685343388854,92
1685343390856,92
1685343392854,92
1685343393860,92
1685343395857,92
1685343396867,92
1685343402874,93
1685343403821,93
1685343405872,93
1685343406882,93
1685343412895,92
1685343410888,92
1685343408879,92
1685343417897,92
1685343418898,93
1685343419895,93
1685343420906,93
1685343421841,93
1685343423909,94
1685343424899,92
1685343425910,92
1685343426917,91
1685343428908,91
1685343430914,91
1685343433865,91
1685343434918,91
1685343436923,91
1685343441935,91
1685343443934,90
1685343440935,92
1685343444944,90
1685343437924,91
1685343445883,90
1685343446940,90
1685343447941,90
1685343448940,90
1685343449946,90
1685343450947,90
1685343451889,90
1685343452956,90
1685343453947,88
1685343454964,89
1685343456963,87
1685343459957,86
1685343458989,86
1685343462969,84
1685343465966,84
1685343466968,83
1685343471979,83
1685343470976,83
1685343473978,83
1685343477979,83
1685343478987,83
1685343479987,83
1685343480981,83
1685343481938,83
1685343482993,83
1685343483991,83
1685343485992,83
1685343486997,82
1685343493950,83
1685343496012,85
1685343497003,86
1685343499985,85
1685343504022,85
1685343505016,85
1685343507024,85
1685343508017,86
1685343509024,86
1685343510018,87
1685343511026,86
1685343511974,86
1685343513027,86
1685343515028,89
1685343516024,90
1685343517033,90
1685343517979,90
1685343522044,89
1685343525042,87
1685343527048,86
1685343533060,87
1685343534058,87
1685343529045,87
1685343536010,87
1685343537065,87
1685343538066,87
1685343540064,86
1685343541102,86
1685343542012,86
1685343543081,87
1685343544073,87
1685343545074,87
1685343546082,87
1685343550109,87
1685343552094,87
1685343556093,88
1685343557098,88
1685343558099,88
1685343564104,87
1685343566062,87
1685343567116,87
1685343568113,88
1685343569111,90
1685343570118,90
1685343571118,90
1685343572073,90
1685343574125,90
1685343575131,90
1685343582175,93
1685343581143,91
1685343584100,93
1685343585148,93
1685343586147,93
1685343587156,93
1685343593163,89
1685343591162,89
1685343594173,88
1685343596116,89
1685343598172,89
1685343599184,88
1685343600178,87
1685343601177,88
1685343602132,88
1685343603192,88
1685343604184,88
1685343606191,86
1685343611205,88
1685343608147,86
1685343614151,85
1685343616207,84
1685343617209,84
1685343618215,84
1685343619215,84
1685343625224,83
1685343626177,83
1685343628221,83
1685343629234,83
1685343630233,83
1685343631242,84
1685343632189,84
1685343634240,85
1685343635250,86
1685343636244,90
1685343638196,88
1685343642264,87
1685343637254,88
1685343646262,85
1685343647264,86
1685343652276,88
1685343653279,88
1685343654278,88
