time,x,y,z
1694932325095,-0.03023783,0.011759156,-0.002443461
1694932325133,-0.048258353,0.002443461,-0.008552114
1694932325173,-0.05131268,-0.015882496,0.0018325958
1694932325217,0.012980887,-0.023365596,0.001985312
1694932325254,0.02107485,-0.010079277,0.0047342055
1694932325294,-0.03191771,-0.0065668016,-0.021838432
1694932325335,-0.019089539,0.030543262,0.0125227375
1694932325376,0.043829583,-1.5271631E-4,-0.05665775
1694932325416,-0.030085113,-0.025809057,-0.115453534
1694932325457,-0.07696902,0.017715093,-0.03390302
1694932325497,-0.109650314,-0.0036651916,-0.07422013
1694932325538,0.031612277,-0.053603426,-0.06872234
1694932325578,0.40851614,-0.093462385,-0.16615535
1694932325619,0.45066583,-0.3200934,-0.7510588
1694932325659,-0.5123632,0.34773505,-0.16814066
1694932325700,-0.59757894,0.2779437,-0.18845193
1694932325740,-0.5206099,0.12889257,-0.16050485
1694932325780,-0.23258694,-0.03283401,-0.22510384
1694932325821,-0.0076358155,-0.21212296,-0.24098633
1694932325862,0.35002577,-0.32162055,-0.20754147
1694932325902,0.47143525,-0.2405282,-0.1769982
1694932325943,0.052381694,-0.11377365,-0.14126259
1694932325983,-1.2666291,-0.83077675,-0.17928895
1694932326024,-1.370629,-0.45570546,-0.27351493
1694932326064,0.6356053,-0.06627888,-0.6049093
1694932326105,1.128879,-0.1001819,-1.4669929
1694932326145,-0.28817567,-0.43844852,-1.973553
1694932326186,-0.051923547,-0.27488935,-2.9278772
1694932326226,1.0815369,-0.26328292,-3.2863023
1694932326267,1.696831,-0.14340061,-3.074332
1694932326307,2.1132884,-0.2454151,-2.5072963
1694932326348,0.95722586,-0.23350324,-1.8739818
1694932326390,0.50701815,-0.11942416,-1.4069754
1694932326431,0.5111415,-0.03268129,-0.92011577
1694932326471,0.05787948,0.09040806,-0.47128254
1694932326512,-0.09758572,0.17852537,-0.11362094
1694932326552,0.41722095,0.2509129,-0.13958271
1694932326593,0.9469938,0.106137834,-0.12293663
1694932326634,0.6711882,0.24373524,-0.6088799
1694932326674,0.15195273,0.40744713,-1.1461359
1694932326714,-2.075262,0.52687126,-1.6549866
