time,x,y,z
1694932325217,0.015593781,0.003957629,0.080462456
1694932325259,0.1423032,0.089338124,0.19650841
1694932325296,0.23291768,0.083459914,-0.018294334
1694932325337,0.2190345,-0.20893925,0.087815285
1694932325378,0.12801231,-0.027267754,-0.2646656
1694932325420,-0.014241165,0.025954008,-0.29532814
1694932325461,-0.10363668,-0.0026688576,-0.14332008
1694932325500,0.11155643,-0.4386869,0.33949852
1694932325544,0.8090652,-0.78949946,0.94447327
1694932325583,1.2338536,-1.3394122,1.4132824
1694932325625,0.8334835,1.7213858,-0.31657314
1694932325665,0.29604346,0.72639066,-0.44036198
1694932325706,-0.47465223,0.3877902,-1.0214825
1694932325746,-0.9751422,-0.109844565,-1.0146351
1694932325788,-1.1703068,-0.13130593,-0.5284138
1694932325826,-0.7333825,-0.82422936,-0.010089874
1694932325867,-0.13040978,-0.66561544,0.02165699
1694932325912,0.22308904,0.10989785,0.032450676
1694932325950,1.8284667,-0.42775434,4.3433647
1694932325991,2.579859,-0.7244307,-3.8065014
1694932326029,3.5375702,-1.7300996,-0.33809853
1694932326074,5.855404,-1.4980568,3.0003767
1694932326111,5.3984575,3.2874131,1.5291224
1694932326150,2.5364137,3.2083287,0.8430662
1694932326191,-3.0068817,-1.2747171,1.5228252
1694932326232,-3.5673738,-2.7861228,0.26443577
1694932326273,-3.5682282,-3.135385,-0.82950974
1694932326313,-2.2810054,-0.7120049,-0.9418621
1694932326354,-1.6006887,-2.9675965,0.0017652512
1694932326395,-0.84106463,-2.8979363,0.32191372
1694932326438,-0.5812271,-1.1193128,0.027789116
1694932326480,-0.50069624,-0.47169113,0.30162907
1694932326517,-0.11576009,-0.6774429,0.3083868
1694932326557,-1.0805173,0.19905233,0.99829865
1694932326606,-0.6588905,3.3650408,1.1896257
1694932326639,0.09715748,3.2082276,0.018716812
1694932326678,0.91182506,4.5445013,-2.1685596
1694932326720,0.30328068,2.3527346,-2.942615
1694932326760,1.3425491,-6.5767684,-3.5653944
1694932326798,0.6190597,-9.01342,-1.5503163
1694932326838,1.2585391,-4.652481,0.23399162
1694932326879,0.6338799,0.15853715,-1.7994094
1694932326924,-0.041228294,1.199333,-1.0058041
1694932326963,-0.15107417,1.3385369,1.6762257
1694932327003,0.9553902,2.4569306,1.1558256
1694932327043,1.0733683,3.310605,-1.4826155
1694932327085,1.0060279,1.5991133,-1.3584185
1694932327129,0.6988287,0.16102147,-1.438993
1694932327165,0.6034162,1.3402816,-0.675189
1694932327207,0.7783489,-0.1925168,0.028485298
1694932327248,1.0905526,-0.16511178,1.9104233
1694932327288,1.4024072,-0.9406829,2.449256
1694932327328,0.8110546,-0.111311436,2.1061745
1694932327377,0.58963394,-0.84396744,1.4977074
1694932327407,0.10799599,-0.9969535,-0.100515366
1694932327446,-0.10851157,-1.0473075,-0.3573475
1694932327487,-0.5689186,-0.68925714,-0.2335844
1694932327525,-0.66458154,-0.16864395,-0.2503624
1694932327569,-0.2682643,-1.2315493,0.8922167
1694932327610,-0.20662308,-1.0773177,1.3229761
1694932327652,-0.49124026,-0.6553774,0.7946272
1694932327690,-0.23039699,-0.34658432,0.5118542
1694932327730,-0.022385597,-0.5191846,0.28224945
1694932327778,0.40934515,-0.52178407,-0.035939217
1694932327811,0.2525177,-0.046099663,-1.0930572
1694932327851,-0.1650331,-0.010462046,-1.7545533
1694932327892,-0.59837675,0.38663912,-2.0971818
1694932327937,-0.91008806,0.5328598,-1.436801
1694932327977,-0.73333883,0.52839184,-1.166894
1694932328014,-1.032269,0.5085392,-0.32633018
1694932328054,-0.83451366,0.50547624,-0.37720585
1694932328095,-0.060447693,0.38697863,-0.5751486
1694932328134,0.81916475,0.28032398,-0.7453356
1694932328195,0.6848693,0.08116293,-0.089049816
1694932328216,0.28227186,0.43628526,0.14054012
1694932328255,0.06629276,0.44113898,0.048769474
1694932328298,0.14510727,0.31548,0.50006676
1694932328336,0.1341734,0.3093934,0.5148492
1694932328378,0.093010426,0.3572271,0.34641647
1694932328419,-0.026237965,0.27949333,0.20083189
1694932328460,0.09025669,0.046778202,-0.17783165
1694932328503,0.08700514,-0.010838747,-0.09490681
1694932328540,-0.12168884,0.10460448,-0.31796026
1694932328579,-0.08626032,0.11456251,-0.022037983
1694932328622,-0.018738747,-0.10596514,-0.015262604
1694932328663,0.113554,-0.111814976,0.16084433
1694932328706,0.17467833,-0.4074111,0.4472003
1694932328741,0.14720154,-0.102329254,0.19317245
1694932328783,0.16463566,-0.060227394,0.4055953
1694932328823,0.15802717,0.09733915,0.27413082
1694932328864,0.0910964,0.2673297,0.15286684
1694932328906,0.17322493,-0.05497217,0.20842409
1694932328949,0.16554117,-0.08284807,0.03320837
1694932328986,0.15171719,-0.23419905,-0.1324544
1694932329027,0.030401707,-0.2503934,-0.20072985
1694932329066,-0.22709036,-0.26559734,-0.49853897
1694932329107,-0.43668747,-0.55593204,-0.85098314
1694932329148,-0.67401123,-0.540792,-1.2697029
1694932329188,-0.9061656,-1.1201963,-2.159875
1694932329237,-1.1215792,-1.9393568,-3.3058028
1694932329270,-1.4403286,-3.717389,-7.050919
1694932329311,-3.1906095,-8.683584,-18.340998
1694932329350,-1.6659765,-14.208879,-20.886877
1694932329391,7.6905375,-10.876125,-7.2591825
1694932329431,22.13153,-8.079777,15.572575
1694932329476,-1.2854509,5.839162,12.82644
1694932329518,7.078987,2.5753164,11.176121
1694932329551,1.1174316,0.7828288,4.525966
1694932329592,0.87269735,-2.115789,-0.07539177
1694932329636,0.5467067,-2.927569,-1.7730453
1694932329674,0.55659676,-3.189969,-3.1560953
1694932329716,-0.08255386,-2.8354754,-4.2273774
1694932329761,-0.2275114,-0.8062744,-5.0824127
1694932329795,-0.5848179,-0.4703865,-4.2253575
1694932329837,-0.2389636,-0.21709871,-3.7121923
1694932329878,-0.47331047,0.30589628,-2.9636803
1694932329917,-0.22221184,-0.41833687,-1.8604014
1694932329966,-0.2265935,-0.6162815,-0.77779007
1694932329997,-0.12007332,-0.30702972,-0.36226988
1694932330037,-0.33099985,-0.17171288,0.5505519
1694932330078,-0.2509284,0.1477952,0.5216379
1694932330121,-0.086624146,-0.061139584,0.91564417
1694932330161,0.6384816,-0.50646687,1.527585
1694932330199,1.186616,-0.29797888,1.1798587
1694932330242,1.6802917,-0.48860836,0.32530928
1694932330291,1.3093886,0.089772224,-0.30283117
1694932330322,0.16694069,1.3987551,-0.9091158
1694932330364,-1.0661836,0.7249708,-0.6616461
1694932330402,-1.0855894,0.21313715,0.056159496
1694932330443,-0.5742173,-0.28423357,-0.388721
1694932330488,-0.16279268,-1.2022161,0.067754745
1694932330529,-0.10505295,-0.581182,-0.5434146
1694932330564,-0.49301434,-0.12070131,-0.6075778
1694932330607,-0.64871025,0.35326242,-1.1893291
1694932330650,-0.7317066,1.0416303,-1.3577578
1694932330687,-0.46747637,0.66110325,-1.628304
1694932330728,-0.24951363,-0.28007555,-1.765125
1694932330770,-0.008010387,-0.63191605,-1.7857409
1694932330813,0.06663656,-0.30656815,-2.0498228
1694932330850,7.457733E-4,-0.897244,-1.2992139
1694932330889,-0.0776577,-1.7209482,-0.42262363
1694932330932,0.040087223,-0.97313166,-0.61342
1694932330983,-0.2794118,-0.22154617,-1.0760341
1694932331013,-0.32432222,-0.7419672,-1.1786237
1694932331051,-0.45485878,-0.9656334,-0.88412476
1694932331092,-0.3606751,-1.2928724,-0.6481023
1694932331132,-0.6443422,-1.0227237,-0.27473402
1694932331184,-0.6457901,-1.4401326,-0.026467323
1694932331215,-0.60839677,-0.5884547,-0.16388416
1694932331254,-1.05656,0.39805984,-0.424263
1694932331294,-0.7754719,-0.38953924,-0.546051
1694932331342,-0.34220505,-0.8383465,-0.3488803
1694932331379,0.012473345,-0.5790386,-1.0063815
1694932331417,0.0015972853,-0.1695962,-1.1816592
1694932331458,-0.4615556,-0.1401105,-0.8702607
1694932331499,-0.58619535,-0.22239828,-0.8518839
1694932331540,-1.1074172,-0.19898415,-0.5706463
1694932331580,-1.0928478,-0.3970046,-0.61240673
1694932331620,-0.8982158,-0.31471205,-0.691772
1694932331662,-0.88860047,-0.11043787,-0.80642796
1694932331701,-0.80261475,-0.24881554,-0.45578718
1694932331741,-0.9746401,-0.44678116,-0.26296425
1694932331783,-0.69884884,-1.3966799,0.091450214
1694932331823,-0.17227829,-1.6360707,-0.48144817
1694932331870,0.041619956,-1.2589107,-0.98118496
1694932331903,0.13965851,-1.9082637,-0.34357262
1694932331945,0.7977434,-1.557826,0.274755
1694932331988,1.237679,-0.6376066,0.7486701
1694932332023,1.4773322,-0.66364336,1.2053647
1694932332066,1.3325564,1.8657207,0.16809416
1694932332105,0.6564487,1.8113914,-0.1105876
1694932332147,0.86286974,0.46585608,0.4208064
1694932332193,1.1416827,-0.56067085,0.6071062
1694932332226,0.97088444,-0.41226578,1.2302456
1694932332268,0.87883544,-0.64319897,1.8503723
1694932332309,0.7581892,-0.30174923,1.0710373
1694932332348,0.62955725,0.46039295,0.25555325
1694932332393,0.8325954,-0.009483337,0.24057198
1694932332430,0.049449682,-0.16539478,-0.5800562
1694932332469,-0.826249,0.85410404,-1.3514438
1694932332512,-1.950127,1.0176377,-2.0342474
1694932332558,-2.064268,-0.18346882,-2.3459744
1694932332591,-1.7194241,-1.4085493,-2.0461125
1694932332632,-1.0122157,-2.025391,-4.8999696
1694932332676,-1.112637,-0.06574392,-5.2912636
1694932332713,-1.2017541,1.4637277,-3.3132682
1694932332754,-1.5646433,-0.3148837,-0.9968505
1694932332796,-0.19186234,-2.2304978,1.0544186
1694932332835,0.37842977,-5.058529,2.2843695
1694932332875,0.8569343,-4.9433475,1.4098268
1694932332925,1.8523288,-2.8533363,3.108625
1694932332957,1.5170691,0.2530017,2.0326433
1694932333001,0.49082088,2.9097059,-0.078517914
1694932333039,0.11644524,3.5425525,-1.2008495
1694932333077,0.38629568,3.49162,-1.017611
1694932333117,1.4147305,2.3256824,-1.107719
1694932333161,2.1234188,1.4482388,-1.7113175
1694932333198,2.0276737,-1.1197166,0.092161655
1694932333239,2.2084267,-2.4384904,2.115068
1694932333281,2.3509157,-2.8025246,3.3411875
1694932333322,2.3947566,-3.185007,3.6962843
1694932333363,-0.1142118,-1.1414418,1.5864015
1694932333403,-3.0340886,1.7495036,-1.1501579
1694932333447,-4.9665723,1.6441135,-0.7867212
1694932333483,-4.9990125,1.5977378,-0.5238757
1694932333525,-4.416354,2.2418218,-1.3439007
1694932333574,-4.065105,2.8365135,-1.1357665
1694932333603,-3.1862526,3.1395793,-1.9590683
1694932333646,-2.7785237,0.92651653,-0.9553175
1694932333688,2.5112872,-7.703151,2.3549862
1694932333727,7.820445,-6.0109296,1.5554214
1694932333778,5.1315184,-4.307763,1.9749002
1694932333807,2.485365,-3.1231775,2.0953755
1694932333848,0.09121585,0.118635654,0.84258795
1694932333891,-1.746932,2.8481514,-1.766005
1694932333928,-1.5156131,3.8151307,-2.2786312
1694932333988,-1.352258,3.9712298,-3.0935862
1694932334014,-1.4898884,3.1773357,-2.4500551
1694932334049,-0.144665,2.4200714,-3.33515
1694932334089,3.2656665,-2.5020041,-0.5548644
1694932334130,5.4392376,-4.19267,1.8137445
1694932334181,6.8172398,-3.34875,3.574007
1694932334211,5.73478,-1.4445572,1.851778
1694932334252,0.6319103,-0.38712,0.66614103
1694932334292,-3.418634,1.5230567,-1.449059
1694932334333,-6.2625093,1.4953,-1.6480064
