time,x,y,z
1666845841447,0.3617124,0.64701366,2.2005377
1666845841465,-0.14192301,0.00339365,-0.49164104
1666845841483,-0.65967655,-0.53333855,-1.6860151
1666845841502,-0.6066042,-0.19139194,-0.37484074
1666845841519,0.054953933,0.60997105,1.2255354
1666845841539,0.4613039,1.0072374,0.8595934
1666845841556,-0.06716192,0.3357153,0.11028576
1666845841574,-0.8089199,-0.71955085,-1.0254922
1666845841592,-1.124052,-1.1524997,-1.3640127
1666845841610,-1.1188731,-1.0817752,-0.40105915
1666845841628,-0.8748927,-0.60288334,0.66174793
1666845841646,-0.6321913,0.09778905,1.764924
1666845841664,-0.5980272,-0.24570799,1.3806057
1666845841682,-0.93168545,-0.67535186,0.66926765
1666845841700,-1.3720071,-0.72746253,-0.24623775
1666845841718,-1.3335576,-0.78170013,-0.2165699
1666845841737,-1.3420558,-1.2150741,0.7551584
1666845841755,-1.5001156,-0.8227706,1.1968307
1666845841773,-1.5519361,-0.14635205,0.87672997
1666845841791,-0.75333047,-0.49934053,0.93542767
1666845841811,-0.6998327,-0.6567161,1.0858088
1666845841828,-0.44450784,-0.075610876,1.5304632
1666845841846,-0.42045808,0.19123769,1.5056791
1666845841864,-0.98535776,-0.3794179,1.3081608
1666845841882,-1.1099348,-0.11142373,4.199913
1666845841900,-0.0228374,0.9864867,3.5410976
1666845841918,0.66293263,0.71582866,0.9598141
1666845841937,1.0606403,0.07774162,0.22542858
1666845841956,0.6331768,-1.7649405,-1.4658885
1666845841972,0.59534085,-1.623708,-4.350892
1666845841992,-0.9796879,-1.4880424,-0.85649014
1666845842009,-2.3908372,-9.1552734E-5,-0.41141224
1666845842027,-0.5277134,-1.1411066,4.8067245
1666845842046,-1.4655572,-1.6043086,6.136817
1666845842063,-0.28132308,-1.3724573,0.82820415
1666845842081,-0.29055607,-0.9549775,-0.23567867
1666845842099,-0.3461368,-1.5263097,-1.2060432
1666845842117,0.15865457,-0.81465816,-1.5176606
1666845842136,0.23066777,-0.65774727,-0.7661133
1666845842154,-0.10118097,-2.2864213,0.33657074
1666845842172,1.8020029,-0.8163791,0.18209553
1666845842191,2.0616236,-0.6949744,-2.4382267
1666845842209,1.9176054,-0.2869196,-2.6515875
1666845842227,1.2453551,0.33349657,-3.7305982
1666845842244,-0.18571723,-0.2039628,-3.0937586
1666845842262,0.53960145,0.07682657,-3.3148472
