time,pressure
1666845841449,1002.6039
1666845841468,1002.56824
1666845841488,1002.57544
1666845841508,1002.5923
1666845841528,1002.6229
1666845841548,1002.5535
1666845841569,1002.5524
1666845841589,1002.57434
1666845841610,1002.611
1666845841628,1002.63196
1666845841648,1002.62573
1666845841670,1002.6119
1666845841688,1002.5638
1666845841710,1002.5618
1666845841732,1002.5571
1666845841748,1002.58856
1666845841769,1002.6153
1666845841789,1002.6075
1666845841810,1002.63965
1666845841828,1002.6664
1666845841848,1002.687
1666845841869,1002.6606
1666845841892,1002.6622
1666845841911,1002.6796
1666845841937,1002.6207
1666845841948,1002.62524
1666845841968,1002.5353
1666845841991,1002.5169
1666845842009,1002.6223
1666845842028,1002.6865
1666845842049,1002.5375
1666845842067,1002.4945
1666845842090,1002.4736
1666845842112,1002.49396
1666845842134,1002.50385
1666845842149,1002.50934
1666845842169,1002.4892
1666845842190,1002.4752
1666845842209,1002.5123
1666845842228,1002.56323
1666845842249,1002.63586
1666845842270,1002.6064
1666845842290,1002.5823
1666845842313,1002.592
1666845842328,1002.63947
1666845842348,1002.61743
1666845842368,1002.5928
1666845842389,1002.6104
1666845842408,1002.5962
1666845842428,1002.57794
1666845842449,1002.57263
1666845842468,1002.61847
1666845842487,1002.5954
1666845842509,1002.5514
1666845842528,1002.514
1666845842549,1002.5342
1666845842568,1002.5809
1666845842589,1002.57263
1666845842609,1002.46967
1666845842628,1002.3759
1666845842650,1002.3972
1666845842669,1002.44434
1666845842688,1002.4676
1666845842710,1002.5012
1666845842728,1002.51526
1666845842748,1002.5389
1666845842769,1002.5806
1666845842788,1002.64435
1666845842811,1002.56116
1666845842829,1002.5292
1666845842848,1002.5445
1666845842868,1002.56995
1666845842891,1002.6045
1666845842911,1002.55634
1666845842928,1002.5301
1666845842948,1002.5537
1666845842968,1002.52106
1666845842988,1002.6036
1666845843008,1002.66925
1666845843029,1002.70557
1666845843048,1002.70605
1666845843069,1002.64667
1666845843091,1002.6104
1666845843108,1002.6101
1666845843129,1002.6798
1666845843150,1002.7393
1666845843168,1002.717
1666845843190,1002.7934
1666845843208,1002.9704
1666845843230,1002.9931
1666845843248,1003.019
1666845843269,1002.8589
1666845843290,1002.75775
1666845843308,1002.70465
1666845843329,1002.64325
1666845843350,1002.6222
1666845843368,1002.6101
1666845843392,1002.6049
1666845843408,1002.6165
1666845843428,1002.6348
1666845843449,1002.6681
1666845843468,1002.69446
1666845843491,1002.6735
1666845843509,1002.6232
1666845843529,1002.5532
1666845843548,1002.5968
1666845843567,1002.5662
1666845843588,1002.55493
1666845843608,1002.5031
1666845843628,1002.5276
1666845843648,1002.56415
1666845843670,1002.69293
1666845843688,1002.72327
1666845843709,1002.7342
1666845843729,1002.69324
1666845843749,1002.6729
1666845843771,1002.7095
1666845843788,1002.7225
1666845843810,1002.6817
1666845843828,1002.58527
1666845843848,1002.6179
1666845843871,1002.6342
1666845843889,1002.6751
1666845843911,1002.6092
1666845843929,1002.59576
1666845843948,1002.5265
1666845843972,1002.58716
1666845843989,1002.535
1666845844009,1002.5903
1666845844028,1002.52747
1666845844049,1002.44836
1666845844069,1002.4337
1666845844088,1002.4846
1666845844110,1002.5042
1666845844129,1002.5343
1666845844149,1002.52106
1666845844169,1002.56415
1666845844188,1002.57697
1666845844208,1002.57196
1666845844228,1002.57495
1666845844249,1002.5607
1666845844268,1002.5898
1666845844290,1002.56915
1666845844309,1002.54083
1666845844328,1002.56116
1666845844350,1002.57355
1666845844369,1002.5887
1666845844389,1002.5637
1666845844408,1002.55963
1666845844429,1002.5476
1666845844451,1002.5515
1666845844468,1002.5601
1666845844490,1002.54
1666845844508,1002.545
1666845844528,1002.5407
1666845844553,1002.5514
1666845844568,1002.55774
1666845844589,1002.56415
1666845844609,1002.57556
1666845844631,1002.5892
1666845844649,1002.62775
1666845844668,1002.62823
1666845844689,1002.6265
1666845844708,1002.6223
1666845844728,1002.62384
1666845844750,1002.6424
1666845844768,1002.5939
1666845844789,1002.5501
1666845844809,1002.5648
1666845844830,1002.5876
1666845844849,1002.6059
1666845844870,1002.5557
1666845844888,1002.6092
1666845844909,1002.5939
1666845844929,1002.59827
1666845844948,1002.5912
1666845844969,1002.612
1666845844988,1002.6059
1666845845012,1002.5964
1666845845029,1002.6095
1666845845048,1002.6043
1666845845071,1002.62036
1666845845088,1002.59827
1666845845109,1002.63306
1666845845130,1002.6132
1666845845148,1002.6051
1666845845168,1002.6135
1666845845188,1002.63763
1666845845208,1002.57935
1666845845230,1002.61066
1666845845248,1002.5973
1666845845268,1002.5914
1666845845288,1002.6036
1666845845310,1002.6031
1666845845332,1002.5964
1666845845348,1002.6031
1666845845368,1002.63794
1666845845388,1002.6209
1666845845411,1002.64996
1666845845428,1002.64966
1666845845450,1002.65656
1666845845468,1002.62103
1666845845488,1002.62933
1666845845508,1002.6209
1666845845528,1002.6295
1666845845549,1002.63293
1666845845568,1002.64166
1666845845589,1002.6065
1666845845608,1002.5954
1666845845628,1002.58264
1666845845649,1002.6176
1666845845668,1002.62524
1666845845688,1002.5974
1666845845708,1002.62823
1666845845728,1002.63434
1666845845749,1002.63635
1666845845768,1002.6151
1666845845789,1002.63837
1666845845810,1002.63666
1666845845830,1002.58655
1666845845848,1002.64087
1666845845868,1002.5937
1666845845890,1002.61066
1666845845912,1002.5845
1666845845928,1002.6526
1666845845949,1002.57715
1666845845968,1002.6056
1666845845988,1002.6106
1666845846008,1002.63214
1666845846029,1002.62994
1666845846048,1002.622
1666845846069,1002.6049
1666845846091,1002.63916
1666845846108,1002.60333
