time,id,rssi
1708890600370 , 74:03:bd:e1:55:30 , -80
1708890605898 , 58:27:8c:a0:76:c1 , -81
1708890610273 , 58:27:8c:a0:76:c1 , -82
1708890615386 , 58:27:8c:a0:76:c1 , -83
1708890620599 , 58:27:8c:a0:76:c1 , -85
1708890625639 , 58:27:8c:a0:76:c1 , -85
1708890630820 , 58:27:8c:a0:76:c1 , -85
1708890635983 , 58:27:8c:a0:76:c1 , -85
1708890821549 , 6a:db:f5:00:eb:9f , -86
1708890826500 , 6a:db:f5:00:eb:9f , -86
1708890831400 , 6a:db:f5:00:eb:9f , -86
1708890836636 , 58:27:8c:a0:76:c1 , -88
1708890841684 , 58:27:8c:a0:76:c1 , -88
1708890846740 , 58:27:8c:a0:76:c1 , -88
1708890852173 , 58:27:8c:a0:76:c1 , -88
1708890856939 , 58:27:8c:a0:76:c1 , -88
1708890862152 , 58:27:8c:a0:76:c1 , -88
1708890867269 , 58:27:8c:a0:76:c1 , -88
1708890872237 , 58:27:8c:a0:76:c1 , -88
1708890881473 , 1e:b1:7f:13:d7:15 , -91
1708890886445 , 1e:b1:7f:13:d7:15 , -91
1708890891491 , 58:27:8c:a0:76:c1 , -85
1708890896919 , 58:27:8c:a0:76:c1 , -85
1708890901714 , 58:27:8c:a0:76:c1 , -82
1708890906787 , 58:27:8c:a0:76:c1 , -82
1708890911879 , 58:27:8c:a0:76:c1 , -82
1708890917048 , 58:27:8c:a0:76:c1 , -82
1708890922630 , 58:27:8c:a0:76:c1 , -82
1708890927385 , 58:27:8c:a0:76:c1 , -82
1708890932253 , 58:27:8c:a0:76:c1 , -82
1708890937303 , 58:27:8c:a0:76:c1 , -86
1708890942550 , 58:27:8c:a0:76:c1 , -86
1708890947651 , 58:27:8c:a0:76:c1 , -86
1708890952724 , 58:27:8c:a0:76:c1 , -86
1708890958106 , 58:27:8c:a0:76:c1 , -86
1708890962992 , 58:27:8c:a0:76:c1 , -86
1708890968096 , 58:27:8c:a0:76:c1 , -86
1708890972986 , 58:27:8c:a0:76:c1 , -86
1708890978361 , 5a:cf:f5:fc:6c:17 , -67
1708890983269 , 5a:cf:f5:fc:6c:17 , -67
1708890988396 , 6a:db:f5:00:eb:9f , -87
1708890993621 , 6a:db:f5:00:eb:9f , -87
1708890998692 , 6a:db:f5:00:eb:9f , -87
1708891003752 , 6a:db:f5:00:eb:9f , -87
1708891008754 , 6a:db:f5:00:eb:9f , -87
1708891013759 , 6a:db:f5:00:eb:9f , -87
1708891018161 , 6a:db:f5:00:eb:9f , -87
1708891023118 , 74:03:bd:e1:55:30 , -88
1708891028202 , 74:03:bd:e1:55:30 , -87
1708891033495 , 6a:db:f5:00:eb:9f , -87
1708891038339 , 6a:db:f5:00:eb:9f , -87
1708891043533 , 6a:db:f5:00:eb:9f , -87
1708891048662 , 6a:db:f5:00:eb:9f , -87
1708891053746 , 6a:db:f5:00:eb:9f , -87
1708891058792 , 58:27:8c:a0:76:c1 , -86
1708891063959 , 58:27:8c:a0:76:c1 , -86
1708891069101 , 58:27:8c:a0:76:c1 , -86
1708891074304 , 58:27:8c:a0:76:c1 , -86
1708891079308 , 58:27:8c:a0:76:c1 , -86
1708891084435 , 58:27:8c:a0:76:c1 , -86
1708891089466 , 58:27:8c:a0:76:c1 , -86
1708891094589 , 58:27:8c:a0:76:c1 , -86
1708891099563 , 58:27:8c:a0:76:c1 , -86
1708891104799 , 1e:b1:7f:13:d7:15 , -90
1708891109826 , 1e:b1:7f:13:d7:15 , -90
1708891114575 , 1e:b1:7f:13:d7:15 , -90
1708891115168 , 1e:b1:7f:13:d7:15 , -90
1708891115595 , 1e:b1:7f:13:d7:15 , -90
1708891116640 , 1e:b1:7f:13:d7:15 , -90
1708891117696 , 1e:b1:7f:13:d7:15 , -90
1708891118720 , 1e:b1:7f:13:d7:15 , -90
1708891119755 , 1e:b1:7f:13:d7:15 , -90
1708891120791 , 1e:b1:7f:13:d7:15 , -90
1708891121836 , 74:03:bd:e1:55:30 , -89
1708891139318 , 6a:db:f5:00:eb:9f , -88
1708891139319 , 74:03:bd:e1:55:30 , -82
1708891139319 , 08:10:86:98:96:93 , -83
1708891139319 , 58:27:8c:90:49:50 , -89
1708891139319 , 08:10:86:98:27:42 , -89
1708891139319 , 52:c4:dd:de:28:e2 , -77
1708891139319 , 58:27:8c:90:49:51 , -88
1708891139319 , 50:c4:dd:c6:8f:37 , -68
1708891139319 , 74:03:bd:e1:55:37 , -90
1708891139319 , 08:10:86:98:a1:53 , -87
1708891139319 , 10:66:82:7f:ca:16 , -76
1708891139319 , 90:96:f3:40:13:59 , -92
1708891139319 , 08:10:86:98:a1:52 , -79
1708891139319 , 02:16:78:25:d0:d0 , -90
1708891139319 , 90:96:f3:40:13:5f , -91
1708891139319 , 30:f7:72:b7:4c:28 , -72
1708891139319 , 12:66:82:7f:ca:16 , -78
1708891139319 , 38:e0:8e:cd:cd:3b , -85
1708891139319 , 92:96:f3:40:13:53 , -81
1708891139319 , 90:96:f3:40:13:5a , -92
1708891139319 , 30:f7:72:b7:4c:29 , -83
1708891139319 , 08:10:86:98:70:f6 , -79
1708891139319 , 58:27:8c:90:49:53 , -91
1708891139319 , 08:10:86:98:96:92 , -75
1708891139319 , 50:c4:dd:c6:8f:30 , -65
1708891139319 , 50:c4:dd:ce:28:e2 , -83
1708891139319 , 08:10:86:98:70:f7 , -81
1708891144627 , 58:27:8c:a0:76:c1 , -80
1708891144627 , 6a:db:f5:00:eb:9f , -88
1708891144627 , 74:03:bd:e1:55:30 , -82
1708891144627 , 08:10:86:98:96:93 , -83
1708891144627 , 58:27:8c:90:49:50 , -89
1708891144627 , 08:10:86:98:27:42 , -89
1708891144628 , 52:c4:dd:de:28:e2 , -77
1708891144628 , 58:27:8c:90:49:51 , -88
1708891144628 , 50:c4:dd:c6:8f:37 , -67
1708891144628 , 74:03:bd:e1:55:37 , -91
1708891144628 , 08:10:86:98:a1:53 , -86
1708891144628 , 10:66:82:7f:ca:16 , -79
1708891144628 , 90:96:f3:40:13:59 , -91
1708891144628 , 08:10:86:98:a1:52 , -79
1708891144628 , 02:16:78:25:d0:d0 , -90
1708891144628 , 90:96:f3:40:13:5f , -91
1708891144628 , 30:f7:72:b7:4c:28 , -72
1708891144628 , 12:66:82:7f:ca:16 , -78
1708891144629 , 38:e0:8e:cd:cd:3b , -88
1708891144629 , 92:96:f3:40:13:53 , -81
1708891144629 , 90:96:f3:40:13:5a , -92
1708891144629 , 30:f7:72:b7:4c:29 , -85
